empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CVGI|0|NASDAQ|2020|03|27|14|30|297000|1.98|1.56|1.57|1.95|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
CVGI|1|NASDAQ|2020|03|26|14|30|806800|2.49|1.89|2.02|2.03|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
CVGI|2|NASDAQ|2020|03|25|14|30|570400|1.91|1.4|1.83|1.51|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
CVGI|3|NASDAQ|2020|03|24|14|30|454200|1.86|1.38|1.4|1.75|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
CVGI|4|NASDAQ|2020|03|23|14|30|267000|1.79|1.55|1.59|1.79|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
CVGI|5|NASDAQ|2020|03|20|14|30|541800|2.09|1.68|1.79|1.96|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
CVGI|6|NASDAQ|2020|03|19|14|30|391900|2.04|1.48|1.95|1.58|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
CVGI|7|NASDAQ|2020|03|18|14|30|356600|2.33|1.53|1.56|2.15|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
CVGI|8|NASDAQ|2020|03|17|14|30|483300|2.55|1.96|2.3|2.47|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
CVGI|9|NASDAQ|2020|03|16|14|30|359800|3|2.5|2.52|2.83|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
CVGI|10|NASDAQ|2020|03|13|14|30|288100|3.2|2.93|3.02|3.2|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
CVGI|11|NASDAQ|2020|03|12|14|30|459500|3.23|2.71|2.99|2.79|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
CVGI|12|NASDAQ|2020|03|11|14|30|314000|3.27|2.96|3.02|3.23|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
CVGI|13|NASDAQ|2020|03|10|14|30|264000|3.44|3.18|3.35|3.38|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
CVGI|14|NASDAQ|2020|03|09|14|30|176900|3.44|3.2|3.23|3.3|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
CVGI|15|NASDAQ|2020|03|06|15|30|111200|3.83|3.57|3.6|3.7|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
CVGI|16|NASDAQ|2020|03|05|15|30|274000|4.01|3.64|3.72|4.01|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
CVGI|17|NASDAQ|2020|03|04|15|30|167500|4.14|3.91|4.11|4.12|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
CVGI|18|NASDAQ|2020|03|03|15|30|224800|4.22|3.87|4.07|4.11|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
CVGI|19|NASDAQ|2020|03|02|15|30|155300|4.42|4.06|4.11|4.37|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
CVGI|20|NASDAQ|2020|02|28|15|30|451100|4.55|4.03|4.36|4.1|autopartswholesale|1.8|1.6|2.4|2.84|-|7347|usa|1.22|1.19|-36.299999|Mar 17 BMO|services|76.099998|39.380001
