empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
DENN|0|NASDAQ|2020|03|27|14|30|1198100|10|8.35|8.4|9.65|restaurants|3.2|0.5|0.6|4.41|-|4000|usa|-|-|9.31|Feb 11 AMC|services|96|392.109985
DENN|1|NASDAQ|2020|03|26|14|30|1284200|10.29|9.31|10.06|9.37|restaurants|3.2|0.5|0.6|4.41|-|4000|usa|-|-|9.31|Feb 11 AMC|services|96|392.109985
DENN|2|NASDAQ|2020|03|25|14|30|3909500|11.44|7.79|9.46|8.1|restaurants|3.2|0.5|0.6|4.41|-|4000|usa|-|-|9.31|Feb 11 AMC|services|96|392.109985
DENN|3|NASDAQ|2020|03|24|14|30|2167000|7.72|6.49|7.69|6.64|restaurants|3.2|0.5|0.6|4.41|-|4000|usa|-|-|9.31|Feb 11 AMC|services|96|392.109985
DENN|4|NASDAQ|2020|03|23|14|30|1927400|6.34|5.15|5.91|5.66|restaurants|3.2|0.5|0.6|4.41|-|4000|usa|-|-|9.31|Feb 11 AMC|services|96|392.109985
DENN|5|NASDAQ|2020|03|20|14|30|1985400|6.73|5.26|5.47|6.41|restaurants|3.2|0.5|0.6|4.41|-|4000|usa|-|-|9.31|Feb 11 AMC|services|96|392.109985
DENN|6|NASDAQ|2020|03|19|14|30|1803800|6.2|4.5|6|5.11|restaurants|3.2|0.5|0.6|4.41|-|4000|usa|-|-|9.31|Feb 11 AMC|services|96|392.109985
DENN|7|NASDAQ|2020|03|18|14|30|1449400|7.24|4.76|5|7|restaurants|3.2|0.5|0.6|4.41|-|4000|usa|-|-|9.31|Feb 11 AMC|services|96|392.109985
DENN|8|NASDAQ|2020|03|17|14|30|1405700|8.86|7.22|7.43|8.23|restaurants|3.2|0.5|0.6|4.41|-|4000|usa|-|-|9.31|Feb 11 AMC|services|96|392.109985
DENN|9|NASDAQ|2020|03|16|14|30|929600|10.6|8.14|8.21|10.45|restaurants|3.2|0.5|0.6|4.41|-|4000|usa|-|-|9.31|Feb 11 AMC|services|96|392.109985
DENN|10|NASDAQ|2020|03|13|14|30|1041600|11.56|10.24|10.74|11.09|restaurants|3.2|0.5|0.6|4.41|-|4000|usa|-|-|9.31|Feb 11 AMC|services|96|392.109985
DENN|11|NASDAQ|2020|03|12|14|30|1105700|11.75|10.46|10.5|11.75|restaurants|3.2|0.5|0.6|4.41|-|4000|usa|-|-|9.31|Feb 11 AMC|services|96|392.109985
DENN|12|NASDAQ|2020|03|11|14|30|1091000|14.27|12.56|12.59|14.22|restaurants|3.2|0.5|0.6|4.41|-|4000|usa|-|-|9.31|Feb 11 AMC|services|96|392.109985
DENN|13|NASDAQ|2020|03|10|14|30|787000|15.06|13.95|14.59|14.95|restaurants|3.2|0.5|0.6|4.41|-|4000|usa|-|-|9.31|Feb 11 AMC|services|96|392.109985
DENN|14|NASDAQ|2020|03|09|14|30|1018200|15.02|14.36|14.49|14.68|restaurants|3.2|0.5|0.6|4.41|-|4000|usa|-|-|9.31|Feb 11 AMC|services|96|392.109985
DENN|15|NASDAQ|2020|03|06|15|30|643300|15.76|15.1|15.46|15.5|restaurants|3.2|0.5|0.6|4.41|-|4000|usa|-|-|9.31|Feb 11 AMC|services|96|392.109985
DENN|16|NASDAQ|2020|03|05|15|30|711300|16.68|15.71|15.94|16.530001|restaurants|3.2|0.5|0.6|4.41|-|4000|usa|-|-|9.31|Feb 11 AMC|services|96|392.109985
DENN|17|NASDAQ|2020|03|04|15|30|518000|16.85|16.370001|16.780001|16.67|restaurants|3.2|0.5|0.6|4.41|-|4000|usa|-|-|9.31|Feb 11 AMC|services|96|392.109985
DENN|18|NASDAQ|2020|03|03|15|30|733800|17.68|16.51|16.540001|17.68|restaurants|3.2|0.5|0.6|4.41|-|4000|usa|-|-|9.31|Feb 11 AMC|services|96|392.109985
DENN|19|NASDAQ|2020|03|02|15|30|486400|17.74|17.120001|17.690001|17.370001|restaurants|3.2|0.5|0.6|4.41|-|4000|usa|-|-|9.31|Feb 11 AMC|services|96|392.109985
