empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
DOX|0|NASDAQ|2020|03|27|14|30|1411900|54.32|51.700001|51.860001|54.32|businesssoftwareservices|4.8|1.3|1.3|14.39|2.53|24516|channelislands|0|0|6.91|Feb 04 AMC|technology|98.400002|7380.000488
DOX|1|NASDAQ|2020|03|26|14|30|1201000|56.209999|52|55.66|52.07|businesssoftwareservices|4.8|1.3|1.3|14.39|2.53|24516|channelislands|0|0|6.91|Feb 04 AMC|technology|98.400002|7380.000488
DOX|2|NASDAQ|2020|03|25|14|30|999800|53.82|49.360001|51.68|51.209999|businesssoftwareservices|4.8|1.3|1.3|14.39|2.53|24516|channelislands|0|0|6.91|Feb 04 AMC|technology|98.400002|7380.000488
DOX|3|NASDAQ|2020|03|24|14|30|1454600|51.470001|47.75|50.830002|48.139999|businesssoftwareservices|4.8|1.3|1.3|14.39|2.53|24516|channelislands|0|0|6.91|Feb 04 AMC|technology|98.400002|7380.000488
DOX|4|NASDAQ|2020|03|23|14|30|1121100|46.73|44.049999|46.130001|46.52|businesssoftwareservices|4.8|1.3|1.3|14.39|2.53|24516|channelislands|0|0|6.91|Feb 04 AMC|technology|98.400002|7380.000488
DOX|5|NASDAQ|2020|03|20|14|30|1715700|49.060001|45.369999|46.66|46.849998|businesssoftwareservices|4.8|1.3|1.3|14.39|2.53|24516|channelislands|0|0|6.91|Feb 04 AMC|technology|98.400002|7380.000488
DOX|6|NASDAQ|2020|03|19|14|30|1605200|48.41|44.630001|46.279999|47.93|businesssoftwareservices|4.8|1.3|1.3|14.39|2.53|24516|channelislands|0|0|6.91|Feb 04 AMC|technology|98.400002|7380.000488
DOX|7|NASDAQ|2020|03|18|14|30|1105700|51.450001|46.34|48.869999|48.779999|businesssoftwareservices|4.8|1.3|1.3|14.39|2.53|24516|channelislands|0|0|6.91|Feb 04 AMC|technology|98.400002|7380.000488
DOX|8|NASDAQ|2020|03|17|14|30|1833900|52.080002|46.830002|51.77|51.68|businesssoftwareservices|4.8|1.3|1.3|14.39|2.53|24516|channelislands|0|0|6.91|Feb 04 AMC|technology|98.400002|7380.000488
DOX|9|NASDAQ|2020|03|16|14|30|1177200|55.93|50.720001|50.799999|53.049999|businesssoftwareservices|4.8|1.3|1.3|14.39|2.53|24516|channelislands|0|0|6.91|Feb 04 AMC|technology|98.400002|7380.000488
DOX|10|NASDAQ|2020|03|13|14|30|1584600|60.200001|55.849998|58.560001|58.200001|businesssoftwareservices|4.8|1.3|1.3|14.39|2.53|24516|channelislands|0|0|6.91|Feb 04 AMC|technology|98.400002|7380.000488
