empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
DRIV|0|NASDAQ|2020|03|27|14|30|26000|11.29|10.975|11.24|11.05|exchangetradedfund|-|-|-|-|1.16|-|usa|-|-|-|-|financial|-|-
DRIV|1|NASDAQ|2020|03|26|14|30|14200|11.62|11.2|11.562|11.21|exchangetradedfund|-|-|-|-|1.16|-|usa|-|-|-|-|financial|-|-
DRIV|2|NASDAQ|2020|03|25|14|30|23900|11.46|10.73|11.074|10.92|exchangetradedfund|-|-|-|-|1.16|-|usa|-|-|-|-|financial|-|-
DRIV|3|NASDAQ|2020|03|24|14|30|19900|10.856|10.396|10.8|10.505|exchangetradedfund|-|-|-|-|1.16|-|usa|-|-|-|-|financial|-|-
DRIV|4|NASDAQ|2020|03|23|14|30|21100|9.885|9.51|9.77|9.77|exchangetradedfund|-|-|-|-|1.16|-|usa|-|-|-|-|financial|-|-
DRIV|5|NASDAQ|2020|03|20|14|30|22200|10.47|9.81|9.82|10.21|exchangetradedfund|-|-|-|-|1.16|-|usa|-|-|-|-|financial|-|-
DRIV|6|NASDAQ|2020|03|19|14|30|8900|10.13|9.695|10.081|9.78|exchangetradedfund|-|-|-|-|1.16|-|usa|-|-|-|-|financial|-|-
DRIV|7|NASDAQ|2020|03|18|14|30|22500|10.184|9.32|9.9|9.75|exchangetradedfund|-|-|-|-|1.16|-|usa|-|-|-|-|financial|-|-
DRIV|8|NASDAQ|2020|03|17|14|30|61000|10.72|9.82|9.82|10.25|exchangetradedfund|-|-|-|-|1.16|-|usa|-|-|-|-|financial|-|-
DRIV|9|NASDAQ|2020|03|16|14|30|49400|10.87|9.59|10.25|9.59|exchangetradedfund|-|-|-|-|1.16|-|usa|-|-|-|-|financial|-|-
DRIV|10|NASDAQ|2020|03|13|14|30|16500|11.68|10.88|11.645|11.56|exchangetradedfund|-|-|-|-|1.16|-|usa|-|-|-|-|financial|-|-
DRIV|11|NASDAQ|2020|03|12|14|30|32200|11.997|10.71|10.9|11.92|exchangetradedfund|-|-|-|-|1.16|-|usa|-|-|-|-|financial|-|-
