empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
EGRX|0|NASDAQ|2020|03|27|14|30|128300|42.93|39.970001|40.130001|41.639999|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|1|NASDAQ|2020|03|26|14|30|182700|44.470001|40.959999|42.459999|41.540001|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|2|NASDAQ|2020|03|25|14|30|201300|42.849998|40.470001|41.459999|40.900002|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|3|NASDAQ|2020|03|24|14|30|193700|41.560001|37.945|40.939999|40.299999|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|4|NASDAQ|2020|03|23|14|30|175200|39.43|36.310001|38.669998|37.450001|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|5|NASDAQ|2020|03|20|14|30|252200|39.779999|36.779999|36.869999|39.139999|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|6|NASDAQ|2020|03|19|14|30|207000|41.720001|37.43|39.360001|37.830002|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|7|NASDAQ|2020|03|18|14|30|246200|40.400002|35.189999|38.560001|36.16|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|8|NASDAQ|2020|03|17|14|30|368100|40.66|35.419998|38.299999|38.52|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|9|NASDAQ|2020|03|16|14|30|263300|39.25|35.310001|36.950001|38.91|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|10|NASDAQ|2020|03|13|14|30|551700|39.509998|33.799999|39.310001|35.82|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|11|NASDAQ|2020|03|12|14|30|410800|39.334999|34.07|34.369999|37.049999|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|12|NASDAQ|2020|03|11|14|30|243800|39.525002|37.939999|39.07|38.720001|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|13|NASDAQ|2020|03|10|14|30|273700|39.630001|37.779999|39.580002|38.23|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|14|NASDAQ|2020|03|09|14|30|255100|40.130001|37.450001|37.450001|39.029999|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|15|NASDAQ|2020|03|06|15|30|216600|42.099998|39.630001|40.849998|39.630001|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|16|NASDAQ|2020|03|05|15|30|175100|42.900002|40.599998|40.959999|42.23|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|17|NASDAQ|2020|03|04|15|30|303600|45.375|42.799999|43|44.189999|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|18|NASDAQ|2020|03|03|15|30|384500|44.310001|41.349998|43.990002|41.689999|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|19|NASDAQ|2020|03|02|15|30|433200|47.259998|40.650002|41.860001|46.200001|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|20|NASDAQ|2020|02|28|15|30|265700|47.189999|44.830002|45.900002|45.189999|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|21|NASDAQ|2020|02|27|15|30|202100|48.259998|46.91|46.93|47.610001|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|22|NASDAQ|2020|02|26|15|30|111900|50.285|48.310001|48.689999|49.57|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|23|NASDAQ|2020|02|25|15|30|136000|51.509998|49.23|49.32|51.240002|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|24|NASDAQ|2020|02|24|15|30|167600|51.580002|50.053001|51.099998|50.540001|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|25|NASDAQ|2020|02|21|15|30|107300|52.599998|51.669998|52.169998|52.25|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|26|NASDAQ|2020|02|20|15|30|139100|53.299999|51.889999|52.299999|52.59|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|27|NASDAQ|2020|02|19|15|30|112700|53.380001|52.294998|52.869999|53.290001|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|28|NASDAQ|2020|02|18|15|30|166100|53.509998|52.369999|53.209999|52.369999|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|29|NASDAQ|2020|02|14|15|30|77100|53.990002|52.599998|52.709999|53.68|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|30|NASDAQ|2020|02|13|15|30|96900|55.509998|53.509998|53.689999|55.130001|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|31|NASDAQ|2020|02|12|15|30|105800|57.544998|55.73|55.799999|57.27|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|32|NASDAQ|2020|02|11|15|30|62000|57.904999|56.380001|56.860001|57.360001|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|33|NASDAQ|2020|02|10|15|30|133100|58.130001|56.259998|57.080002|57.27|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|34|NASDAQ|2020|02|07|15|30|106700|58.91|57|57.400002|58.110001|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|35|NASDAQ|2020|02|06|15|30|141200|59.115002|57.290001|58.310001|58.119999|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|36|NASDAQ|2020|02|05|15|30|154600|58.32|56.07|57.720001|56.080002|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|37|NASDAQ|2020|02|04|15|30|139600|56.509998|54.970001|55.5|55.040001|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|38|NASDAQ|2020|02|03|15|30|105900|54.610001|53.07|54.470001|53.84|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|39|NASDAQ|2020|01|31|15|30|144200|54.84|53.645|53.82|54.75|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|40|NASDAQ|2020|01|30|15|30|107500|55.939999|54.349998|54.849998|55.740002|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|41|NASDAQ|2020|01|29|15|30|55300|57.75|55.68|55.759998|56.990002|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|42|NASDAQ|2020|01|28|15|30|100300|57.080002|56.389999|56.740002|56.389999|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|43|NASDAQ|2020|01|27|15|30|98600|56.860001|55.52|56.290001|55.900002|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|44|NASDAQ|2020|01|24|15|30|83700|58.27|56.450001|56.93|58.27|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|45|NASDAQ|2020|01|23|15|30|154400|58.279999|57|57.98|57.93|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|46|NASDAQ|2020|01|22|15|30|74300|59.060001|57.099998|57.91|58.5|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|47|NASDAQ|2020|01|21|15|30|115300|59.5|58.150002|58.369999|58.619999|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
EGRX|48|NASDAQ|2020|01|17|15|30|80300|59.985001|58.720001|58.970001|59.790001|drugsgeneric|12.4|4.5|4.6|40.369999|-|108|usa|0.22|0.19|15.67|Mar 02 BMO|healthcare|98.599998|537.73999
