empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ELGX|0|NASDAQ|2020|03|27|14|30|331200|0.92|0.7|0.74|0.92|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|1|NASDAQ|2020|03|26|14|30|167300|0.81|0.65|0.8|0.71|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|2|NASDAQ|2020|03|25|14|30|429300|0.72|0.63|0.68|0.68|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|3|NASDAQ|2020|03|24|14|30|163200|0.74|0.65|0.66|0.73|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|4|NASDAQ|2020|03|23|14|30|149700|0.75|0.62|0.68|0.74|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|5|NASDAQ|2020|03|20|14|30|538100|0.77|0.62|0.72|0.74|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|6|NASDAQ|2020|03|19|14|30|194800|0.88|0.66|0.67|0.77|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|7|NASDAQ|2020|03|18|14|30|143000|0.94|0.65|0.76|0.84|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|8|NASDAQ|2020|03|17|14|30|211600|0.89|0.78|0.86|0.86|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|9|NASDAQ|2020|03|16|14|30|380500|1.14|0.6|0.82|0.6|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|10|NASDAQ|2020|03|13|14|30|114900|0.99|0.82|0.92|0.87|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|11|NASDAQ|2020|03|12|14|30|122400|0.9|0.78|0.81|0.81|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|12|NASDAQ|2020|03|11|14|30|236500|1.13|0.9|0.94|0.98|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|13|NASDAQ|2020|03|10|14|30|381100|1.13|0.88|1|1.1|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|14|NASDAQ|2020|03|09|14|30|325700|1.15|0.6|1.07|1.15|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|15|NASDAQ|2020|03|06|15|30|480200|1.23|1.12|1.16|1.2|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|16|NASDAQ|2020|03|05|15|30|203800|1.32|1.17|1.19|1.27|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|17|NASDAQ|2020|03|04|15|30|366900|1.38|1.19|1.29|1.27|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|18|NASDAQ|2020|03|03|15|30|287000|1.33|1.2|1.21|1.26|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|19|NASDAQ|2020|03|02|15|30|151100|1.3|1.18|1.25|1.22|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|20|NASDAQ|2020|02|28|15|30|525600|1.44|1.13|1.25|1.44|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|21|NASDAQ|2020|02|27|15|30|546800|1.54|1.2|1.45|1.4|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|22|NASDAQ|2020|02|26|15|30|1182900|1.77|1.17|1.44|1.3|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|23|NASDAQ|2020|02|25|15|30|2522100|1.65|1.03|1.34|1.19|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|24|NASDAQ|2020|02|24|15|30|1442300|1.15|0.69|1.11|0.79|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|25|NASDAQ|2020|02|21|15|30|380900|0.9|0.81|0.83|0.85|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|26|NASDAQ|2020|02|20|15|30|523900|0.95|0.84|0.85|0.94|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|27|NASDAQ|2020|02|19|15|30|521100|0.92|0.85|0.89|0.88|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|28|NASDAQ|2020|02|18|15|30|165500|0.89|0.83|0.85|0.87|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|29|NASDAQ|2020|02|14|15|30|292900|0.89|0.83|0.85|0.84|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|30|NASDAQ|2020|02|13|15|30|370600|0.94|0.83|0.85|0.9|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|31|NASDAQ|2020|02|12|15|30|391200|0.95|0.83|0.9|0.85|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|32|NASDAQ|2020|02|11|15|30|581000|0.88|0.8|0.84|0.86|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
ELGX|33|NASDAQ|2020|02|10|15|30|847200|0.98|0.82|0.84|0.95|medicalinstrumentssupplies|1.6|1.2|1.7|-|-|488|usa|2.86|2.69|31.799999|Feb 19 AMC|healthcare|70.800003|15.84
