empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ERII|0|NASDAQ|2020|03|27|14|30|416400|7.1|6.7|6.73|7.02|pollutiontreatmentcontrols|2.7|3.7|4.1|34.689999|-|188|usa|0|0|117.669998|Mar 05 AMC|industrialgoods|42.700001|347.600006
ERII|1|NASDAQ|2020|03|26|14|30|266000|7.57|7.01|7.26|7.26|pollutiontreatmentcontrols|2.7|3.7|4.1|34.689999|-|188|usa|0|0|117.669998|Mar 05 AMC|industrialgoods|42.700001|347.600006
ERII|2|NASDAQ|2020|03|25|14|30|303500|7.57|7.05|7.13|7.19|pollutiontreatmentcontrols|2.7|3.7|4.1|34.689999|-|188|usa|0|0|117.669998|Mar 05 AMC|industrialgoods|42.700001|347.600006
ERII|3|NASDAQ|2020|03|24|14|30|317500|7.27|6.86|7.2|7.11|pollutiontreatmentcontrols|2.7|3.7|4.1|34.689999|-|188|usa|0|0|117.669998|Mar 05 AMC|industrialgoods|42.700001|347.600006
ERII|4|NASDAQ|2020|03|23|14|30|440200|6.81|6.11|6.7|6.56|pollutiontreatmentcontrols|2.7|3.7|4.1|34.689999|-|188|usa|0|0|117.669998|Mar 05 AMC|industrialgoods|42.700001|347.600006
ERII|5|NASDAQ|2020|03|20|14|30|489800|7.36|6.38|6.5|7.25|pollutiontreatmentcontrols|2.7|3.7|4.1|34.689999|-|188|usa|0|0|117.669998|Mar 05 AMC|industrialgoods|42.700001|347.600006
ERII|6|NASDAQ|2020|03|19|14|30|333200|7.58|6.6|7.21|6.75|pollutiontreatmentcontrols|2.7|3.7|4.1|34.689999|-|188|usa|0|0|117.669998|Mar 05 AMC|industrialgoods|42.700001|347.600006
ERII|7|NASDAQ|2020|03|18|14|30|612700|7.49|6.27|6.71|7.26|pollutiontreatmentcontrols|2.7|3.7|4.1|34.689999|-|188|usa|0|0|117.669998|Mar 05 AMC|industrialgoods|42.700001|347.600006
ERII|8|NASDAQ|2020|03|17|14|30|459700|7.76|6.82|7.73|6.97|pollutiontreatmentcontrols|2.7|3.7|4.1|34.689999|-|188|usa|0|0|117.669998|Mar 05 AMC|industrialgoods|42.700001|347.600006
ERII|9|NASDAQ|2020|03|16|14|30|313700|7.58|6.74|6.8|7|pollutiontreatmentcontrols|2.7|3.7|4.1|34.689999|-|188|usa|0|0|117.669998|Mar 05 AMC|industrialgoods|42.700001|347.600006
ERII|10|NASDAQ|2020|03|13|14|30|380500|7.73|7.28|7.49|7.62|pollutiontreatmentcontrols|2.7|3.7|4.1|34.689999|-|188|usa|0|0|117.669998|Mar 05 AMC|industrialgoods|42.700001|347.600006
ERII|11|NASDAQ|2020|03|12|14|30|653000|8.28|6.87|7.14|8.28|pollutiontreatmentcontrols|2.7|3.7|4.1|34.689999|-|188|usa|0|0|117.669998|Mar 05 AMC|industrialgoods|42.700001|347.600006
ERII|12|NASDAQ|2020|03|11|14|30|458400|9.01|8.5|8.5|8.74|pollutiontreatmentcontrols|2.7|3.7|4.1|34.689999|-|188|usa|0|0|117.669998|Mar 05 AMC|industrialgoods|42.700001|347.600006
ERII|13|NASDAQ|2020|03|10|14|30|383700|9.28|8.5|9|9.25|pollutiontreatmentcontrols|2.7|3.7|4.1|34.689999|-|188|usa|0|0|117.669998|Mar 05 AMC|industrialgoods|42.700001|347.600006
ERII|14|NASDAQ|2020|03|09|14|30|558100|9.13|8.3|9.05|8.86|pollutiontreatmentcontrols|2.7|3.7|4.1|34.689999|-|188|usa|0|0|117.669998|Mar 05 AMC|industrialgoods|42.700001|347.600006
ERII|15|NASDAQ|2020|03|06|15|30|564500|10.74|9.87|10.5|10.04|pollutiontreatmentcontrols|2.7|3.7|4.1|34.689999|-|188|usa|0|0|117.669998|Mar 05 AMC|industrialgoods|42.700001|347.600006
ERII|16|NASDAQ|2020|03|05|15|30|185100|9.72|9.45|9.61|9.66|pollutiontreatmentcontrols|2.7|3.7|4.1|34.689999|-|188|usa|0|0|117.669998|Mar 05 AMC|industrialgoods|42.700001|347.600006
ERII|17|NASDAQ|2020|03|04|15|30|155100|9.92|9.68|9.88|9.85|pollutiontreatmentcontrols|2.7|3.7|4.1|34.689999|-|188|usa|0|0|117.669998|Mar 05 AMC|industrialgoods|42.700001|347.600006
ERII|18|NASDAQ|2020|03|03|15|30|153100|10.19|9.57|9.73|9.92|pollutiontreatmentcontrols|2.7|3.7|4.1|34.689999|-|188|usa|0|0|117.669998|Mar 05 AMC|industrialgoods|42.700001|347.600006
ERII|19|NASDAQ|2020|03|02|15|30|215100|9.93|9.63|9.92|9.89|pollutiontreatmentcontrols|2.7|3.7|4.1|34.689999|-|188|usa|0|0|117.669998|Mar 05 AMC|industrialgoods|42.700001|347.600006
