empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ESSA|0|NASDAQ|2020|03|27|14|30|28000|14|13.43|13.81|13.43|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|1|NASDAQ|2020|03|26|14|30|21700|14.05|13.47|13.95|13.47|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|2|NASDAQ|2020|03|25|14|30|21400|13.75|11.88|13.75|12.95|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|3|NASDAQ|2020|03|24|14|30|45200|13.72|11.76|13.5|11.76|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|4|NASDAQ|2020|03|23|14|30|40300|13.48|11.96|12.15|12.89|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|5|NASDAQ|2020|03|20|14|30|121600|14.48|10.47|13.29|13.78|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|6|NASDAQ|2020|03|19|14|30|64200|14.39|13.51|14|13.88|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|7|NASDAQ|2020|03|18|14|30|30600|13.89|13.12|13.78|13.89|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|8|NASDAQ|2020|03|17|14|30|35900|14.89|10.5|14.6|10.5|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|9|NASDAQ|2020|03|16|14|30|28200|12.46|10.55|10.56|12.36|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|10|NASDAQ|2020|03|13|14|30|38900|13|11.98|12.62|12.42|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|11|NASDAQ|2020|03|12|14|30|29700|13.35|11.5|11.8|12.99|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|12|NASDAQ|2020|03|11|14|30|21000|13.86|13.3|13.47|13.56|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|13|NASDAQ|2020|03|10|14|30|21200|14.26|13.49|13.85|14.14|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|14|NASDAQ|2020|03|09|14|30|26500|14.85|13.52|13.72|14.28|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|15|NASDAQ|2020|03|06|15|30|14900|15.38|12.63|14.94|13.72|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|16|NASDAQ|2020|03|05|15|30|16800|16.110001|14.76|15.2|15.76|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|17|NASDAQ|2020|03|04|15|30|16300|16.57|15.76|16.459999|16.57|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|18|NASDAQ|2020|03|03|15|30|19200|16.99|16.02|16.450001|16.99|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|19|NASDAQ|2020|03|02|15|30|74300|17.120001|16.639999|17.030001|16.639999|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|20|NASDAQ|2020|02|28|15|30|28900|16.540001|16.25|16.540001|16.25|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
ESSA|21|NASDAQ|2020|02|27|15|30|14000|17.4|16.02|16.209999|16.02|savingsloans|5|-|-|11.25|3.19|243|usa|0|0|42.860001|Feb 24 AMC|financial|43.5|153.429993
