empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
EXLS|0|NASDAQ|2020|01|31|15|30|176300|74.489998|72.519997|73.110001|74.269997|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|1|NASDAQ|2020|01|30|15|30|283900|74.5|73.540001|74.489998|73.709999|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|2|NASDAQ|2020|01|29|15|30|104900|74.510002|73.660004|73.849998|74.32|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|3|NASDAQ|2020|01|28|15|30|162900|74.669998|73.400002|74.32|73.459999|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|4|NASDAQ|2020|01|27|15|30|155400|73.800003|72.489998|73.349998|72.489998|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|5|NASDAQ|2020|01|24|15|30|175800|74.860001|73.370003|73.629997|74.110001|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|6|NASDAQ|2020|01|23|15|30|285500|73.870003|72.720001|73.75|73.150002|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|7|NASDAQ|2020|01|22|15|30|162000|73.470001|72.440002|73.120003|72.5|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|8|NASDAQ|2020|01|21|15|30|146200|72.610001|72.089996|72.269997|72.190002|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|9|NASDAQ|2020|01|17|15|30|114300|73.110001|72.019997|72.25|72.650002|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|10|NASDAQ|2020|01|16|15|30|140500|72.599998|71.919998|72.589996|72.489998|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|11|NASDAQ|2020|01|15|15|30|194700|72.279999|70.440002|71.93|70.959999|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|12|NASDAQ|2020|01|14|15|30|130500|71.660004|70.610001|71.059998|71.660004|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|13|NASDAQ|2020|01|13|15|30|217600|71.800003|70.540001|71.790001|70.589996|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|14|NASDAQ|2020|01|10|15|30|110300|70.900002|70.230003|70.400002|70.699997|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|15|NASDAQ|2020|01|09|15|30|208200|70.690002|69.629997|70.5|69.629997|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|16|NASDAQ|2020|01|08|15|30|87100|70.779999|69.760002|70.5|69.760002|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|17|NASDAQ|2020|01|07|15|30|115000|70.459999|69.389999|69.730003|69.870003|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|18|NASDAQ|2020|01|06|15|30|108600|70.239998|68.910004|70.160004|69.910004|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|19|NASDAQ|2020|01|03|15|30|155700|70.529999|69.040001|70.5|69.279999|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|20|NASDAQ|2020|01|02|15|30|155600|70.25|69.040001|70|69.839996|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|21|NASDAQ|2019|12|31|15|30|103600|69.989998|69.190002|69.459999|69.43|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|22|NASDAQ|2019|12|30|15|30|186700|69.910004|68.440002|69.580002|69.910004|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|23|NASDAQ|2019|12|27|15|30|96700|70.190002|69.379997|69.75|70.190002|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|24|NASDAQ|2019|12|26|15|30|91900|70.57|69.809998|70.110001|70.57|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|25|NASDAQ|2019|12|24|15|30|81700|70.660004|70.120003|70.57|70.660004|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|26|NASDAQ|2019|12|23|15|30|119500|70.900002|70.190002|70.660004|70.900002|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|27|NASDAQ|2019|12|20|15|30|762100|71.019997|70.220001|70.75|70.900002|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|28|NASDAQ|2019|12|19|15|30|126300|70.900002|69.540001|70.839996|70.290001|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|29|NASDAQ|2019|12|18|15|30|164700|70.690002|69.589996|70.379997|70.690002|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|30|NASDAQ|2019|12|17|15|30|212100|70.949997|69.989998|70.370003|70.809998|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|31|NASDAQ|2019|12|16|15|30|213900|70.900002|70.160004|70.809998|70.889999|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|32|NASDAQ|2019|12|13|15|30|149900|69.879997|69.239998|69.709999|69.459999|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|33|NASDAQ|2019|12|12|15|30|95500|70.330002|69.150002|69.459999|69.32|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|34|NASDAQ|2019|12|11|15|30|85600|69.68|68.849998|69.459999|69.68|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|35|NASDAQ|2019|12|10|15|30|136300|70.160004|69.019997|69.470001|69.349998|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
EXLS|36|NASDAQ|2019|12|09|15|30|112300|69.75|69|69.470001|69.669998|informationtechnologyservices|0.9|2.7|2.7|50.419998|-|29100|usa|0.38|0.35|12.04|Feb 27 BMO|technology|95.199997|2540
