empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
FALN|0|NASDAQ|2020|03|27|14|30|191200|22.478001|21.67|22.1|21.98|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|1|NASDAQ|2020|03|26|14|30|155000|22.219999|20.93|22.110001|20.93|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|2|NASDAQ|2020|03|25|14|30|68700|21.698999|20.59|20.99|20.59|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|3|NASDAQ|2020|03|24|14|30|198300|20.780001|19.660999|20.572001|19.93|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|4|NASDAQ|2020|03|23|14|30|173000|20.549999|19.52|19.635|19.83|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|5|NASDAQ|2020|03|20|14|30|136500|20.360001|19.469999|19.489|19.690001|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|6|NASDAQ|2020|03|19|14|30|152700|20.709999|19.940001|19.945|20.1|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|7|NASDAQ|2020|03|18|14|30|172400|21.75|19.799999|20.42|21.42|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|8|NASDAQ|2020|03|17|14|30|123600|22.85|21.146999|22.120001|22.42|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|9|NASDAQ|2020|03|16|14|30|214200|23.219999|21.48|22.673|21.879999|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|10|NASDAQ|2020|03|13|14|30|110400|23.620001|23.1|23.280001|23.620001|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|11|NASDAQ|2020|03|12|14|30|411700|23.9|21.25|22.65|23.34|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|12|NASDAQ|2020|03|11|14|30|62700|24.969999|24.26|24.42|24.76|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|13|NASDAQ|2020|03|10|14|30|230300|25.4|24.700001|25.305|25.379999|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|14|NASDAQ|2020|03|09|14|30|206300|25.950001|24.280001|24.690001|24.719999|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|15|NASDAQ|2020|03|06|15|30|51500|26.605|26.25|26.579|26.49|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|16|NASDAQ|2020|03|05|15|30|36300|26.98|26.75|26.799999|26.98|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|17|NASDAQ|2020|03|04|15|30|99300|27.200001|27.01|27.120001|27.01|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|18|NASDAQ|2020|03|03|15|30|91200|27.200001|26.700001|26.815001|26.92|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|19|NASDAQ|2020|03|02|15|30|195500|26.85|26.48|26.799999|26.58|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|20|NASDAQ|2020|02|28|15|30|177000|26.889999|25.959999|26.780001|26.049999|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|21|NASDAQ|2020|02|27|15|30|81900|27.1|26.6|26.700001|26.83|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|22|NASDAQ|2020|02|26|15|30|76200|27.190001|26.959999|27.030001|26.99|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|23|NASDAQ|2020|02|25|15|30|113000|27.393|26.950001|26.99|27.33|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
FALN|24|NASDAQ|2020|02|24|15|30|89800|27.389999|27.24|27.25|27.370001|exchangetradedfund|-|-|-|-|4.8|-|usa|-|-|-|-|financial|-|-
