empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
FDUS|0|NASDAQ|2020|03|27|14|30|454100|7.92|6.77|7.46|7.47|assetmanagement|1.45|-|-|5.69|20.91|-|usa|-|-|7.5|Feb 27 AMC|financial|32.299999|182.490005
FDUS|1|NASDAQ|2020|03|26|14|30|695900|9.1|6.85|7.54|6.85|assetmanagement|1.45|-|-|5.69|20.91|-|usa|-|-|7.5|Feb 27 AMC|financial|32.299999|182.490005
FDUS|2|NASDAQ|2020|03|25|14|30|526400|8.3|6.18|6.6|6.37|assetmanagement|1.45|-|-|5.69|20.91|-|usa|-|-|7.5|Feb 27 AMC|financial|32.299999|182.490005
FDUS|3|NASDAQ|2020|03|24|14|30|416400|6.81|5.5|6.18|5.6|assetmanagement|1.45|-|-|5.69|20.91|-|usa|-|-|7.5|Feb 27 AMC|financial|32.299999|182.490005
FDUS|4|NASDAQ|2020|03|23|14|30|557400|6.46|4.45|4.92|6.46|assetmanagement|1.45|-|-|5.69|20.91|-|usa|-|-|7.5|Feb 27 AMC|financial|32.299999|182.490005
FDUS|5|NASDAQ|2020|03|20|14|30|348200|7.78|6.15|6.61|6.72|assetmanagement|1.45|-|-|5.69|20.91|-|usa|-|-|7.5|Feb 27 AMC|financial|32.299999|182.490005
FDUS|6|NASDAQ|2020|03|19|14|30|758400|6.9|4.53|6.78|4.72|assetmanagement|1.45|-|-|5.69|20.91|-|usa|-|-|7.5|Feb 27 AMC|financial|32.299999|182.490005
FDUS|7|NASDAQ|2020|03|18|14|30|491000|6.84|4.63|4.72|6.84|assetmanagement|1.45|-|-|5.69|20.91|-|usa|-|-|7.5|Feb 27 AMC|financial|32.299999|182.490005
FDUS|8|NASDAQ|2020|03|17|14|30|496100|8.52|7|7.19|8.51|assetmanagement|1.45|-|-|5.69|20.91|-|usa|-|-|7.5|Feb 27 AMC|financial|32.299999|182.490005
FDUS|9|NASDAQ|2020|03|16|14|30|486700|8.5|5.05|8.29|5.21|assetmanagement|1.45|-|-|5.69|20.91|-|usa|-|-|7.5|Feb 27 AMC|financial|32.299999|182.490005
