empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
FFIC|0|NASDAQ|2020|03|27|14|30|96500|13.68|12.79|13.19|13.3|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|1|NASDAQ|2020|03|26|14|30|112400|13.73|12.58|13.73|12.58|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|2|NASDAQ|2020|03|25|14|30|138000|13.44|11.9|12.46|12.33|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|3|NASDAQ|2020|03|24|14|30|150900|12.35|11.12|12.3|11.36|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|4|NASDAQ|2020|03|23|14|30|131400|11.09|9.98|10.98|10.74|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|5|NASDAQ|2020|03|20|14|30|391800|11.99|10.68|10.68|11.13|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|6|NASDAQ|2020|03|19|14|30|368800|11.75|9.77|11.18|10.74|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|7|NASDAQ|2020|03|18|14|30|176900|13.57|10.55|10.78|13.3|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|8|NASDAQ|2020|03|17|14|30|180700|14.47|12.17|14.07|13.6|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|9|NASDAQ|2020|03|16|14|30|146100|13.96|8.86|13.37|9.28|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|10|NASDAQ|2020|03|13|14|30|191900|14.93|14.01|14.78|14.61|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|11|NASDAQ|2020|03|12|14|30|174000|15.4|13.43|13.98|14.24|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|12|NASDAQ|2020|03|11|14|30|153900|16.27|15.38|15.54|16.059999|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|13|NASDAQ|2020|03|10|14|30|135100|16.68|15.72|16.43|16.48|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|14|NASDAQ|2020|03|09|14|30|173200|17.59|16.09|16.139999|17|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|15|NASDAQ|2020|03|06|15|30|187600|18.41|17.959999|18.290001|17.959999|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|16|NASDAQ|2020|03|05|15|30|181200|18.799999|18.360001|18.49|18.610001|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|17|NASDAQ|2020|03|04|15|30|85300|19.08|18.52|19.02|18.9|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|18|NASDAQ|2020|03|03|15|30|157200|19.110001|18.559999|18.690001|18.91|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|19|NASDAQ|2020|03|02|15|30|92400|19.02|17.799999|19.01|18.07|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|20|NASDAQ|2020|02|28|15|30|208000|18.889999|17.780001|18.16|18.1|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|21|NASDAQ|2020|02|27|15|30|106500|19.23|18.41|18.42|19.049999|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|22|NASDAQ|2020|02|26|15|30|99300|19.700001|19.07|19.17|19.32|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
FFIC|23|NASDAQ|2020|02|25|15|30|87700|19.65|19.15|19.26|19.620001|savingsloans|3.5|-|-|9.18|6.37|453|usa|0.2|0.2|13.86|Apr 30 AMC|financial|77.800003|360.480011
