empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
FINX|0|NASDAQ|2020|03|27|14|30|119500|24.719999|23.879999|24.049999|24.51|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|1|NASDAQ|2020|03|26|14|30|188900|25.33|24.1|25.257999|24.1|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|2|NASDAQ|2020|03|25|14|30|272300|24.462|22.846001|23.610001|23|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|3|NASDAQ|2020|03|24|14|30|229100|22.719999|21.58|22.559999|21.58|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|4|NASDAQ|2020|03|23|14|30|243200|20.719999|19.65|20.296|20.6|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|5|NASDAQ|2020|03|20|14|30|209400|22.379999|20.540001|20.540001|21.870001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|6|NASDAQ|2020|03|19|14|30|258200|21.719999|20.094999|21.25|20.84|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|7|NASDAQ|2020|03|18|14|30|334800|21.796|19.83|20.889999|21.309999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|8|NASDAQ|2020|03|17|14|30|234000|23.326|21.934999|23.25|22.940001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|9|NASDAQ|2020|03|16|14|30|326100|24.009001|21.030001|22.74|21.030001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|10|NASDAQ|2020|03|13|14|30|214200|26.09|24.219999|26.09|25.65|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|11|NASDAQ|2020|03|12|14|30|371500|25.34|23.57|23.959999|25|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|12|NASDAQ|2020|03|11|14|30|293000|27.75|26.5|26.85|27.57|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|13|NASDAQ|2020|03|10|14|30|283200|28.639999|27.122|28.469|28.209999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|14|NASDAQ|2020|03|09|14|30|582500|27.9|26.799999|26.84|27.190001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|15|NASDAQ|2020|03|06|15|30|284900|29.695|28.955|29.620001|29.309999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|16|NASDAQ|2020|03|05|15|30|504500|30.790001|29.950001|30.24|30.49|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|17|NASDAQ|2020|03|04|15|30|192700|31.459999|30.474001|31.43|30.889999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|18|NASDAQ|2020|03|03|15|30|461700|31.82|30.171|30.559999|31.35|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|19|NASDAQ|2020|03|02|15|30|335400|31.08|29.639999|31.08|30.09|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|20|NASDAQ|2020|02|28|15|30|537500|30.1|29|30.1|29.219999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|21|NASDAQ|2020|02|27|15|30|406100|31.389999|30.209999|30.209999|30.719999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|22|NASDAQ|2020|02|26|15|30|148400|31.819|31.01|31.15|31.379999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|23|NASDAQ|2020|02|25|15|30|286800|32.459999|31.16|31.280001|32.380001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|24|NASDAQ|2020|02|24|15|30|233800|32.48|31.780001|32.259998|32.099998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|25|NASDAQ|2020|02|21|15|30|131300|33.970001|33.41|33.610001|33.869999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|26|NASDAQ|2020|02|20|15|30|223800|34.349998|33.509998|34.009998|34.220001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|27|NASDAQ|2020|02|19|15|30|170800|34.450001|34|34.389999|34.040001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
FINX|28|NASDAQ|2020|02|18|15|30|121100|33.898998|33.700001|33.869999|33.700001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
