empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
FISV|0|NASDAQ|2020|03|27|14|30|7067100|96.790001|92.019997|93.949997|94.540001|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|1|NASDAQ|2020|03|26|14|30|5698400|98.349998|90.5|97.690002|92.230003|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|2|NASDAQ|2020|03|25|14|30|5645400|94.589996|85.089996|91.199997|86.599998|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|3|NASDAQ|2020|03|24|14|30|6874900|87.379997|80.739998|86.650002|81.620003|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|4|NASDAQ|2020|03|23|14|30|9240500|81.730003|74.849998|77|81.419998|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|5|NASDAQ|2020|03|20|14|30|9676600|89.589996|81.139999|81.769997|87.110001|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|6|NASDAQ|2020|03|19|14|30|9574600|85.989998|73.5|84.459999|80.5|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|7|NASDAQ|2020|03|18|14|30|9787900|86.919998|75.910004|80.949997|84.669998|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|8|NASDAQ|2020|03|17|14|30|8093500|91.169998|83.910004|90.889999|88.449997|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|9|NASDAQ|2020|03|16|14|30|11294700|94.809998|84.760002|86.18|93.690002|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|10|NASDAQ|2020|03|13|14|30|8218100|103.650002|95.360001|103.419998|100.160004|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|11|NASDAQ|2020|03|12|14|30|13496000|101.110001|93.580002|94.919998|95.199997|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|12|NASDAQ|2020|03|11|14|30|8777800|108.040001|101.879997|102.419998|103.800003|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|13|NASDAQ|2020|03|10|14|30|8579600|107.089996|99.099998|107.029999|102.75|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|14|NASDAQ|2020|03|09|14|30|5444700|103|98.110001|100.029999|99.870003|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|15|NASDAQ|2020|03|06|15|30|4426400|107.379997|103.07|106.809998|103.980003|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|16|NASDAQ|2020|03|05|15|30|4642100|111.529999|107.639999|109.25|109.150002|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|17|NASDAQ|2020|03|04|15|30|5787500|112.910004|109.379997|112.18|111|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|18|NASDAQ|2020|03|03|15|30|5171100|114.949997|108.389999|109.370003|113|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|19|NASDAQ|2020|03|02|15|30|5516400|114.290001|107.18|114.230003|108.639999|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|20|NASDAQ|2020|02|28|15|30|7131800|109.510002|104.580002|109.360001|105.120003|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|21|NASDAQ|2020|02|27|15|30|6824500|112.739998|108.160004|108.540001|110.790001|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|22|NASDAQ|2020|02|26|15|30|3917900|115.260002|112.07|112.870003|113.800003|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|23|NASDAQ|2020|02|25|15|30|4117500|117.279999|113.050003|113.25|116.790001|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|24|NASDAQ|2020|02|24|15|30|3706400|118.879997|116.040001|116.589996|116.580002|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|25|NASDAQ|2020|02|21|15|30|3563700|121.790001|118.639999|119.489998|121.519997|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
FISV|26|NASDAQ|2020|02|20|15|30|3285100|123.480003|120.25|121.839996|123.300003|informationtechnologyservices|0.6|1.1|1.1|51.93|-|44000|usa|0.66|0.66|18.09|Feb 04 AMC|technology|94.300003|61150.003906
