empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
FLIR|0|NASDAQ|2020|03|27|14|30|1443600|33.16|31.559999|32.52|32.5|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|1|NASDAQ|2020|03|26|14|30|1668200|34.59|31.610001|33.77|31.610001|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|2|NASDAQ|2020|03|25|14|30|2714600|33.189999|27.719999|31.469999|30.030001|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|3|NASDAQ|2020|03|24|14|30|1786200|31.66|29.030001|29.370001|30.549999|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|4|NASDAQ|2020|03|23|14|30|2360700|29.33|23.85|28.969999|25.6|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|5|NASDAQ|2020|03|20|14|30|3129400|32.869999|24.75|25.52|31.59|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|6|NASDAQ|2020|03|19|14|30|1470700|33.349998|30.42|31.4|33.34|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|7|NASDAQ|2020|03|18|14|30|1650500|33.869999|29.629999|33.669998|32.040001|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|8|NASDAQ|2020|03|17|14|30|2488800|37.810001|32.099998|34.82|32.720001|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|9|NASDAQ|2020|03|16|14|30|2476300|34.259998|28.48|32.02|28.690001|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|10|NASDAQ|2020|03|13|14|30|2928600|34.75|30.719999|32.080002|33.029999|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|11|NASDAQ|2020|03|12|14|30|2989700|32.779999|29.629999|31.040001|32.709999|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|12|NASDAQ|2020|03|11|14|30|2400400|36.220001|34.669998|35.150002|36.029999|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|13|NASDAQ|2020|03|10|14|30|2414700|38.099998|35.970001|37.450001|37.209999|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|14|NASDAQ|2020|03|09|14|30|2527300|38.459999|35.66|36.080002|36.799999|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|15|NASDAQ|2020|03|06|15|30|2568500|39.790001|37.389999|39.490002|38.459999|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|16|NASDAQ|2020|03|05|15|30|2927300|41.380001|38.43|39.98|39.639999|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|17|NASDAQ|2020|03|04|15|30|2896500|42.09|40.580002|40.810001|41.970001|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|18|NASDAQ|2020|03|03|15|30|2287400|44.950001|41.049999|41.23|43.150002|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|19|NASDAQ|2020|03|02|15|30|2178500|43.84|42.5|43.650002|42.939999|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|20|NASDAQ|2020|02|28|15|30|3544500|44.080002|41.009998|42.470001|43.009998|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|21|NASDAQ|2020|02|27|15|30|3981000|48|43.119999|44.43|48|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|22|NASDAQ|2020|02|26|15|30|1114600|55.740002|54.09|54.09|54.459999|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|23|NASDAQ|2020|02|25|15|30|739300|57.450001|53.970001|54.09|57.25|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|24|NASDAQ|2020|02|24|15|30|782400|57.470001|56.16|56.790001|56.330002|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|25|NASDAQ|2020|02|21|15|30|714600|58.560001|57.419998|58.349998|57.790001|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|26|NASDAQ|2020|02|20|15|30|436200|58.32|57.34|58.189999|57.68|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
FLIR|27|NASDAQ|2020|02|19|15|30|742500|57.84|56.75|57.799999|56.75|scientifictechnicalinstruments|0.7|1.7|2.7|25.91|2.09|4265|usa|0.36|0.35|12.86|Feb 27 BMO|technology|96.5|4690
