empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
FNX|0|NASDAQ|2020|03|27|14|30|109600|49.259998|47.59|48.080002|48.029999|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|1|NASDAQ|2020|03|26|14|30|156200|50.389999|47.650002|49.98|47.650002|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|2|NASDAQ|2020|03|25|14|30|84900|49.169998|45.360001|47.52|46.400002|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|3|NASDAQ|2020|03|24|14|30|162700|46|42.66|46|42.66|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|4|NASDAQ|2020|03|23|14|30|282100|42.509998|40.009998|41.560001|42.509998|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|5|NASDAQ|2020|03|20|14|30|118000|46.029999|42.599998|42.740002|45.130001|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|6|NASDAQ|2020|03|19|14|30|261500|45.049999|40.75|44.27|42.110001|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|7|NASDAQ|2020|03|18|14|30|103800|45.060001|40.27|42.400002|43.93|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|8|NASDAQ|2020|03|17|14|30|130300|47.419998|43.75|46.860001|45.34|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|9|NASDAQ|2020|03|16|14|30|162200|48.09|44.630001|44.779999|45.860001|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|10|NASDAQ|2020|03|13|14|30|136900|52.169998|48.040001|51.880001|49.689999|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|11|NASDAQ|2020|03|12|14|30|302000|51.279999|45|48.580002|49.830002|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|12|NASDAQ|2020|03|11|14|30|52800|56.959999|53.709999|54.389999|56.509998|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|13|NASDAQ|2020|03|10|14|30|105600|58.25|55.209999|58.049999|58.25|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|14|NASDAQ|2020|03|09|14|30|49700|57.91|53.560001|55.98|56.849998|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|15|NASDAQ|2020|03|06|15|30|57600|62.77|60.77|62.040001|61.240002|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|16|NASDAQ|2020|03|05|15|30|65700|64.559998|62.75|63.290001|64.230003|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|17|NASDAQ|2020|03|04|15|30|23000|65.879997|64.169998|65.860001|65.050003|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|18|NASDAQ|2020|03|03|15|30|38800|66.75|63.540001|63.889999|65.889999|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|19|NASDAQ|2020|03|02|15|30|63000|65.599998|63.02|65.599998|64.040001|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|20|NASDAQ|2020|02|28|15|30|89500|64.089996|62.18|63.740002|62.299999|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|21|NASDAQ|2020|02|27|15|30|43700|67.080002|64.330002|64.68|65.68|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|22|NASDAQ|2020|02|26|15|30|19500|68.989998|67.089996|67.150002|68.419998|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|23|NASDAQ|2020|02|25|15|30|37300|71.519997|68.18|68.300003|71.309998|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|24|NASDAQ|2020|02|24|15|30|105800|71.279999|70.550003|71.120003|70.910004|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|25|NASDAQ|2020|02|21|15|30|28500|73.889999|73.050003|73.279999|73.889999|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|26|NASDAQ|2020|02|20|15|30|24300|74.389999|73.580002|74.150002|73.870003|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|27|NASDAQ|2020|02|19|15|30|14200|74.160004|73.68|73.910004|73.68|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
FNX|28|NASDAQ|2020|02|18|15|30|34900|73.559998|72.980003|73.370003|73.459999|exchangetradedfund|-|-|-|-|1.23|-|usa|-|-|-|-|financial|-|-
