empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
FPAY|0|NASDAQ|2020|03|27|14|30|132000|1.49|1.31|1.33|1.43|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|1|NASDAQ|2020|03|26|14|30|538600|1.55|1.15|1.44|1.22|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|2|NASDAQ|2020|03|25|14|30|216600|1.29|1.18|1.2|1.28|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|3|NASDAQ|2020|03|24|14|30|172700|1.26|1.17|1.18|1.19|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|4|NASDAQ|2020|03|23|14|30|79500|1.18|1.13|1.14|1.18|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|5|NASDAQ|2020|03|20|14|30|156700|1.32|1.1|1.17|1.22|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|6|NASDAQ|2020|03|19|14|30|259300|1.25|1|1.2|1.09|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|7|NASDAQ|2020|03|18|14|30|280500|1.3|1.1|1.11|1.25|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|8|NASDAQ|2020|03|17|14|30|234700|1.48|1.2|1.34|1.37|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|9|NASDAQ|2020|03|16|14|30|204000|1.67|1.35|1.35|1.64|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|10|NASDAQ|2020|03|13|14|30|294300|1.89|1.65|1.68|1.69|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|11|NASDAQ|2020|03|12|14|30|421500|1.88|1.25|1.55|1.29|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|12|NASDAQ|2020|03|11|14|30|233300|2.08|1.81|1.84|2.05|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|13|NASDAQ|2020|03|10|14|30|201300|2.26|1.99|2.08|2.06|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|14|NASDAQ|2020|03|09|14|30|223700|2.19|1.97|2.02|2.19|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|15|NASDAQ|2020|03|06|15|30|200600|2.4|2.26|2.27|2.38|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|16|NASDAQ|2020|03|05|15|30|150900|2.47|2.3|2.41|2.3|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|17|NASDAQ|2020|03|04|15|30|210500|2.45|2.21|2.25|2.45|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|18|NASDAQ|2020|03|03|15|30|513600|2.73|2.27|2.32|2.72|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|19|NASDAQ|2020|03|02|15|30|110300|2.97|2.7|2.89|2.7|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|20|NASDAQ|2020|02|28|15|30|158100|2.89|2.65|2.66|2.68|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|21|NASDAQ|2020|02|27|15|30|112000|2.92|2.75|2.87|2.92|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|22|NASDAQ|2020|02|26|15|30|223100|3|2.75|2.89|2.75|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|23|NASDAQ|2020|02|25|15|30|107300|2.82|2.7|2.73|2.8|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|24|NASDAQ|2020|02|24|15|30|127300|2.76|2.58|2.74|2.6|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|25|NASDAQ|2020|02|21|15|30|124600|2.81|2.65|2.75|2.75|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|26|NASDAQ|2020|02|20|15|30|55700|2.86|2.72|2.79|2.8|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|27|NASDAQ|2020|02|19|15|30|99400|2.97|2.78|2.82|2.97|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|28|NASDAQ|2020|02|18|15|30|125500|2.99|2.75|2.9|2.96|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|29|NASDAQ|2020|02|14|15|30|253300|2.99|2.54|2.82|2.89|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|30|NASDAQ|2020|02|13|15|30|153000|3.1|2.85|2.93|3.08|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|31|NASDAQ|2020|02|12|15|30|131000|3.1|3.01|3.06|3.1|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|32|NASDAQ|2020|02|11|15|30|141100|3.08|2.96|3.03|2.97|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|33|NASDAQ|2020|02|10|15|30|358400|3.22|2.85|2.95|3.03|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|34|NASDAQ|2020|02|07|15|30|123800|3.08|2.75|2.92|2.99|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|35|NASDAQ|2020|02|06|15|30|593400|3.11|2.69|2.94|2.69|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|36|NASDAQ|2020|02|05|15|30|360100|2.72|2.41|2.69|2.43|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|37|NASDAQ|2020|02|04|15|30|60000|2.45|2.15|2.4|2.3|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|38|NASDAQ|2020|02|03|15|30|40900|2.3|2.2|2.28|2.26|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|39|NASDAQ|2020|01|31|15|30|56600|2.44|2.23|2.3|2.3|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|40|NASDAQ|2020|01|30|15|30|40300|2.44|2.25|2.35|2.33|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|41|NASDAQ|2020|01|29|15|30|55600|2.39|2.32|2.36|2.37|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|42|NASDAQ|2020|01|28|15|30|96400|2.4|2.26|2.36|2.3|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|43|NASDAQ|2020|01|27|15|30|80000|2.42|2.29|2.3|2.4|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|44|NASDAQ|2020|01|24|15|30|72400|2.49|2.34|2.44|2.45|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|45|NASDAQ|2020|01|23|15|30|104900|2.55|2.38|2.45|2.53|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|46|NASDAQ|2020|01|22|15|30|77800|2.52|2.4|2.5|2.5|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|47|NASDAQ|2020|01|21|15|30|75100|2.55|2.43|2.48|2.54|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|48|NASDAQ|2020|01|17|15|30|76600|2.59|2.48|2.52|2.55|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|49|NASDAQ|2020|01|16|15|30|199700|2.54|2.39|2.5|2.4|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|50|NASDAQ|2020|01|15|15|30|87400|2.46|2.37|2.44|2.4|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|51|NASDAQ|2020|01|14|15|30|125700|2.45|2.33|2.39|2.41|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|52|NASDAQ|2020|01|13|15|30|63700|2.5|2.4|2.43|2.47|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|53|NASDAQ|2020|01|10|15|30|155400|2.49|2.34|2.47|2.35|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|54|NASDAQ|2020|01|09|15|30|157400|2.42|2.15|2.37|2.32|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|55|NASDAQ|2020|01|08|15|30|237600|2.36|2.2|2.33|2.33|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|56|NASDAQ|2020|01|07|15|30|81900|2.4|2.26|2.34|2.39|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
FPAY|57|NASDAQ|2020|01|06|15|30|100700|2.53|2.33|2.41|2.33|creditservices|6.1|6.2|6.2|-|-|178|usa|-|-|116.669998|Mar 02 AMC|financial|21.6|26.16
