empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
FTAC|0|NASDAQ|2020|03|27|14|30|179200|10.1|9.8|10.01|9.8|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|1|NASDAQ|2020|03|26|14|30|13600|10.095|9.97|10.011|9.97|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|2|NASDAQ|2020|03|25|14|30|0|9.95|9.95|9.95|9.95|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|3|NASDAQ|2020|03|24|14|30|39700|9.95|9.9|9.95|9.9|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|4|NASDAQ|2020|03|23|14|30|600|10|9.95|9.95|10|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|5|NASDAQ|2020|03|20|14|30|430100|9.88|9.8|9.8|9.88|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|6|NASDAQ|2020|03|19|14|30|593700|9.96|9.75|9.96|9.8|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|7|NASDAQ|2020|03|18|14|30|741500|10.05|9.775|9.86|10.05|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|8|NASDAQ|2020|03|17|14|30|27500|10.06|9.99|10.05|10.06|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|9|NASDAQ|2020|03|16|14|30|162000|10.15|9.8|10.15|9.93|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|10|NASDAQ|2020|03|13|14|30|200700|10.1|10.05|10.05|10.1|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|11|NASDAQ|2020|03|12|14|30|11500|10.2|10.08|10.08|10.2|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|12|NASDAQ|2020|03|11|14|30|300|10.17|10.17|10.17|10.17|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|13|NASDAQ|2020|03|10|14|30|0|10.21|10.21|10.21|10.21|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|14|NASDAQ|2020|03|09|14|30|0|10.21|10.21|10.21|10.21|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|15|NASDAQ|2020|03|06|15|30|0|10.21|10.21|10.21|10.21|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|16|NASDAQ|2020|03|05|15|30|7400|10.21|10.21|10.21|10.21|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|17|NASDAQ|2020|03|04|15|30|0|10.21|10.21|10.21|10.21|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|18|NASDAQ|2020|03|03|15|30|0|10.21|10.21|10.21|10.21|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|19|NASDAQ|2020|03|02|15|30|206200|10.255|10.21|10.21|10.21|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|20|NASDAQ|2020|02|28|15|30|28500|10.25|10.22|10.22|10.25|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|21|NASDAQ|2020|02|27|15|30|9400|10.25|10.2|10.25|10.2|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|22|NASDAQ|2020|02|26|15|30|1000|10.233|10.233|10.233|10.233|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|23|NASDAQ|2020|02|25|15|30|0|10.25|10.25|10.25|10.25|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|24|NASDAQ|2020|02|24|15|30|0|10.25|10.25|10.25|10.25|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|25|NASDAQ|2020|02|21|15|30|0|10.25|10.25|10.25|10.25|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|26|NASDAQ|2020|02|20|15|30|100|10.25|10.25|10.25|10.25|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|27|NASDAQ|2020|02|19|15|30|1200|10.25|10.25|10.25|10.25|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|28|NASDAQ|2020|02|18|15|30|10600|10.25|10.25|10.25|10.25|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|29|NASDAQ|2020|02|14|15|30|11900|10.25|10.233|10.25|10.233|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|30|NASDAQ|2020|02|13|15|30|400|10.24|10.22|10.24|10.22|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|31|NASDAQ|2020|02|12|15|30|1000|10.23|10.23|10.23|10.23|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|32|NASDAQ|2020|02|11|15|30|6100|10.27|10.22|10.22|10.27|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|33|NASDAQ|2020|02|10|15|30|900|10.25|10.22|10.25|10.22|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|34|NASDAQ|2020|02|07|15|30|6500|10.27|10.25|10.26|10.25|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|35|NASDAQ|2020|02|06|15|30|0|10.23|10.23|10.23|10.23|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|36|NASDAQ|2020|02|05|15|30|0|10.23|10.23|10.23|10.23|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|37|NASDAQ|2020|02|04|15|30|0|10.23|10.23|10.23|10.23|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|38|NASDAQ|2020|02|03|15|30|200|10.23|10.23|10.23|10.23|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|39|NASDAQ|2020|01|31|15|30|800|10.255|10.255|10.255|10.255|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|40|NASDAQ|2020|01|30|15|30|17400|10.27|10.23|10.23|10.27|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|41|NASDAQ|2020|01|29|15|30|300|10.26|10.26|10.26|10.26|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|42|NASDAQ|2020|01|28|15|30|0|10.21|10.21|10.21|10.21|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|43|NASDAQ|2020|01|27|15|30|0|10.21|10.21|10.21|10.21|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|44|NASDAQ|2020|01|24|15|30|200|10.21|10.21|10.21|10.21|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
FTAC|45|NASDAQ|2020|01|23|15|30|1600|10.25|10.22|10.25|10.22|conglomerates|2.34|-|-|103.199997|-|-|usa|-|-|-|-|conglomerates|59.27|354.649994
