empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
FWP|0|NASDAQ|2020|03|27|14|30|4100|5.88|5.57|5.65|5.772|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|1|NASDAQ|2020|03|26|14|30|2000|5.98|5.51|5.98|5.56|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|2|NASDAQ|2020|03|25|14|30|5400|5.496|5.18|5.31|5.47|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|3|NASDAQ|2020|03|24|14|30|4800|5.47|5.12|5.245|5.12|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|4|NASDAQ|2020|03|23|14|30|5500|5.496|5.15|5.15|5.43|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|5|NASDAQ|2020|03|20|14|30|12500|6|5.05|5.1|5.06|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|6|NASDAQ|2020|03|19|14|30|29200|5.95|4.97|5.5|5.01|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|7|NASDAQ|2020|03|18|14|30|8400|5.1|4.9|5.04|5.1|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|8|NASDAQ|2020|03|17|14|30|12100|5.35|4.818|5.11|4.9|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|9|NASDAQ|2020|03|16|14|30|7800|5.14|4.75|4.937|4.85|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|10|NASDAQ|2020|03|13|14|30|14600|5.85|4.61|4.925|5.85|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|11|NASDAQ|2020|03|12|14|30|19500|6.03|5.08|5.175|5.46|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|12|NASDAQ|2020|03|11|14|30|8200|5.7|5.475|5.55|5.6|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|13|NASDAQ|2020|03|10|14|30|5600|5.74|5.628|5.71|5.74|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|14|NASDAQ|2020|03|09|14|30|17900|6.18|5.467|5.65|6.18|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|15|NASDAQ|2020|03|06|15|30|2800|6.22|6.1|6.22|6.113|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|16|NASDAQ|2020|03|05|15|30|4300|6.257|5.834|6.18|5.972|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|17|NASDAQ|2020|03|04|15|30|29500|6.18|5.785|6.17|6.18|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|18|NASDAQ|2020|03|03|15|30|9700|6.39|6.09|6.264|6.39|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|19|NASDAQ|2020|03|02|15|30|22600|6.498|5.91|6.08|6.498|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|20|NASDAQ|2020|02|28|15|30|28300|6.639|5.924|6.22|6.37|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|21|NASDAQ|2020|02|27|15|30|28000|6.687|5.986|6.279|6.54|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|22|NASDAQ|2020|02|26|15|30|13000|6.655|6.25|6.382|6.368|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|23|NASDAQ|2020|02|25|15|30|11900|6.898|6.38|6.4|6.86|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|24|NASDAQ|2020|02|24|15|30|18400|7.155|6.76|6.94|6.99|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|25|NASDAQ|2020|02|21|15|30|21200|7.3|6.85|7.163|7.23|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|26|NASDAQ|2020|02|20|15|30|8600|7.419|7.11|7.2|7.29|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|27|NASDAQ|2020|02|19|15|30|21000|7.711|7.05|7.39|7.05|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|28|NASDAQ|2020|02|18|15|30|98000|7.843|6.7|7.19|6.7|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|29|NASDAQ|2020|02|14|15|30|40500|6.771|6.4|6.4|6.74|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|30|NASDAQ|2020|02|13|15|30|35800|6.987|6.33|6.987|6.77|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|31|NASDAQ|2020|02|12|15|30|11800|7|6.7|6.741|6.785|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|32|NASDAQ|2020|02|11|15|30|29300|7.3|6.7|6.7|7.089|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|33|NASDAQ|2020|02|10|15|30|28000|7.65|6.974|7.05|7.65|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|34|NASDAQ|2020|02|07|15|30|97100|7.799|6.97|7.7|7.02|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|35|NASDAQ|2020|02|06|15|30|61000|7.5|6.75|7.04|7|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|36|NASDAQ|2020|02|05|15|30|357600|8.77|6.85|7.01|7.28|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|37|NASDAQ|2020|02|04|15|30|254000|8.538|6.65|7.134|6.65|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|38|NASDAQ|2020|02|03|15|30|20900|6.88|6.17|6.702|6.3|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|39|NASDAQ|2020|01|31|15|30|400|6.422|6.422|6.422|6.422|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|40|NASDAQ|2020|01|30|15|30|4200|6.92|6.06|6.43|6.4|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|41|NASDAQ|2020|01|29|15|30|4400|6.751|6.3|6.74|6.3|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|42|NASDAQ|2020|01|28|15|30|2400|6.934|6.343|6.53|6.343|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|43|NASDAQ|2020|01|27|15|30|12600|6.71|6.3|6.53|6.332|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|44|NASDAQ|2020|01|24|15|30|3600|6.925|6.5|6.7|6.925|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|45|NASDAQ|2020|01|23|15|30|26000|6.97|6.65|6.97|6.73|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|46|NASDAQ|2020|01|22|15|30|1800|6.72|6.5|6.72|6.57|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|47|NASDAQ|2020|01|21|15|30|4100|6.75|6.47|6.55|6.47|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|48|NASDAQ|2020|01|17|15|30|9600|6.533|6.173|6.42|6.5|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|49|NASDAQ|2020|01|16|15|30|30100|6.63|6.13|6.55|6.17|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|50|NASDAQ|2020|01|15|15|30|30200|6.84|6.045|6.189|6.84|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|51|NASDAQ|2020|01|14|15|30|3900|6.95|6.65|6.8|6.7|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|52|NASDAQ|2020|01|13|15|30|10300|7.383|6.67|6.68|6.895|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|53|NASDAQ|2020|01|10|15|30|13800|7.67|6.659|7.07|7.138|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
FWP|54|NASDAQ|2020|01|09|15|30|31000|7.851|7.006|7.02|7.57|biotechnology|-|121.300003|121.300003|-|-|5|denmark|0|0|-|Mar 31 BMO|healthcare|20.5|35.139999
