empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
GBCI|0|NASDAQ|2020|03|27|14|30|515300|34.439999|32.299999|33.029999|32.990002|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|1|NASDAQ|2020|03|26|14|30|523400|35.040001|31.01|34.759998|32.450001|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|2|NASDAQ|2020|03|25|14|30|654500|33.450001|30.280001|32.110001|32.950001|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|3|NASDAQ|2020|03|24|14|30|867400|32.689999|29.559999|32.68|30.65|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|4|NASDAQ|2020|03|23|14|30|966400|30.15|27.200001|29.1|28.77|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|5|NASDAQ|2020|03|20|14|30|1001900|31.540001|28.530001|28.91|30.969999|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|6|NASDAQ|2020|03|19|14|30|607500|31.49|27.34|30.790001|28.75|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|7|NASDAQ|2020|03|18|14|30|760700|32.59|27.709999|28.940001|29.610001|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|8|NASDAQ|2020|03|17|14|30|970900|32.150002|27.49|31.91|29.360001|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|9|NASDAQ|2020|03|16|14|30|692500|30.75|27|28.870001|27|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|10|NASDAQ|2020|03|13|14|30|972400|31.790001|27.129999|31.73|28.85|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|11|NASDAQ|2020|03|12|14|30|890800|30.469999|26.66|26.74|29.129999|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|12|NASDAQ|2020|03|11|14|30|588800|33.369999|31.1|31.49|32.720001|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|13|NASDAQ|2020|03|10|14|30|352300|34|31.459999|33.869999|33.34|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|14|NASDAQ|2020|03|09|14|30|456700|34|31.33|31.950001|33.669998|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|15|NASDAQ|2020|03|06|15|30|319700|37.330002|35.48|36.619999|35.48|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|16|NASDAQ|2020|03|05|15|30|327000|38.5|36.509998|37.080002|38.189999|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|17|NASDAQ|2020|03|04|15|30|384900|39.5|37.75|39.41|38.919998|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|18|NASDAQ|2020|03|03|15|30|371300|40.299999|38.130001|38.509998|39.52|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|19|NASDAQ|2020|03|02|15|30|249700|39.52|37.240002|39.419998|37.380001|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|20|NASDAQ|2020|02|28|15|30|534200|38.509998|36.360001|37.290001|37.459999|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|21|NASDAQ|2020|02|27|15|30|402600|41.040001|38.810001|38.810001|39.75|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|22|NASDAQ|2020|02|26|15|30|270700|41.509998|40.290001|40.59|41.310001|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
GBCI|23|NASDAQ|2020|02|25|15|30|222200|42.5|40.669998|40.98|42.369999|regionalpacificbanks|0.5|-|-|13.86|3.51|3046|usa|0.38|0.08|2.58|Apr 23 AMC|financial|76.599998|3049.999756
