empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
GIFI|0|NASDAQ|2020|03|27|14|30|37100|3.35|3.05|3.1|3.33|oilgasequipmentservices|2.4|1.6|1.7|-|-|944|usa|0|0|-|Mar 04 AMC|basicmaterials|65.900002|47.09
GIFI|1|NASDAQ|2020|03|26|14|30|30300|3.31|3.07|3.26|3.22|oilgasequipmentservices|2.4|1.6|1.7|-|-|944|usa|0|0|-|Mar 04 AMC|basicmaterials|65.900002|47.09
GIFI|2|NASDAQ|2020|03|25|14|30|90400|3.36|2.99|3.1|3.35|oilgasequipmentservices|2.4|1.6|1.7|-|-|944|usa|0|0|-|Mar 04 AMC|basicmaterials|65.900002|47.09
GIFI|3|NASDAQ|2020|03|24|14|30|28800|3.36|3|3.31|3.29|oilgasequipmentservices|2.4|1.6|1.7|-|-|944|usa|0|0|-|Mar 04 AMC|basicmaterials|65.900002|47.09
GIFI|4|NASDAQ|2020|03|23|14|30|37900|3.67|3.01|3.25|3.53|oilgasequipmentservices|2.4|1.6|1.7|-|-|944|usa|0|0|-|Mar 04 AMC|basicmaterials|65.900002|47.09
GIFI|5|NASDAQ|2020|03|20|14|30|70800|3.52|2.88|3.52|3.1|oilgasequipmentservices|2.4|1.6|1.7|-|-|944|usa|0|0|-|Mar 04 AMC|basicmaterials|65.900002|47.09
GIFI|6|NASDAQ|2020|03|19|14|30|52900|3.17|2.99|3.1|3.03|oilgasequipmentservices|2.4|1.6|1.7|-|-|944|usa|0|0|-|Mar 04 AMC|basicmaterials|65.900002|47.09
GIFI|7|NASDAQ|2020|03|18|14|30|46200|3.34|3.02|3.08|3.34|oilgasequipmentservices|2.4|1.6|1.7|-|-|944|usa|0|0|-|Mar 04 AMC|basicmaterials|65.900002|47.09
GIFI|8|NASDAQ|2020|03|17|14|30|48200|3.65|3.37|3.37|3.65|oilgasequipmentservices|2.4|1.6|1.7|-|-|944|usa|0|0|-|Mar 04 AMC|basicmaterials|65.900002|47.09
GIFI|9|NASDAQ|2020|03|16|14|30|135400|3.84|3.62|3.66|3.75|oilgasequipmentservices|2.4|1.6|1.7|-|-|944|usa|0|0|-|Mar 04 AMC|basicmaterials|65.900002|47.09
