empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
GVP|0|NASDAQ|2020|03|27|14|30|200|1.05|1.05|1.05|1.05|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|1|NASDAQ|2020|03|26|14|30|8100|1.08|0.97|1.07|1.08|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|2|NASDAQ|2020|03|25|14|30|4100|1.07|0.88|1.07|0.88|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|3|NASDAQ|2020|03|24|14|30|35000|1.08|0.86|0.88|1.05|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|4|NASDAQ|2020|03|23|14|30|59700|1.02|0.87|1.01|0.87|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|5|NASDAQ|2020|03|20|14|30|5900|0.99|0.87|0.93|0.99|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|6|NASDAQ|2020|03|19|14|30|10200|1|0.87|0.99|1|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|7|NASDAQ|2020|03|18|14|30|41900|1.05|0.88|0.9|0.88|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|8|NASDAQ|2020|03|17|14|30|5800|1.07|0.95|1|1.07|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|9|NASDAQ|2020|03|16|14|30|44700|1.08|0.86|0.95|1|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|10|NASDAQ|2020|03|13|14|30|73200|1.13|1.01|1.11|1.05|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|11|NASDAQ|2020|03|12|14|30|25900|1.19|1.06|1.12|1.19|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|12|NASDAQ|2020|03|11|14|30|4400|1.21|1.09|1.21|1.12|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|13|NASDAQ|2020|03|10|14|30|21200|1.21|1.1|1.19|1.2|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|14|NASDAQ|2020|03|09|14|30|46100|1.24|1.14|1.24|1.2|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|15|NASDAQ|2020|03|06|15|30|22700|1.29|1.17|1.25|1.19|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|16|NASDAQ|2020|03|05|15|30|101200|1.21|1.09|1.21|1.15|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|17|NASDAQ|2020|03|04|15|30|37400|1.28|1.15|1.25|1.17|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|18|NASDAQ|2020|03|03|15|30|2700|1.25|1.18|1.18|1.18|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|19|NASDAQ|2020|03|02|15|30|40900|1.24|1.2|1.2|1.23|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|20|NASDAQ|2020|02|28|15|30|49700|1.34|1.2|1.25|1.21|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|21|NASDAQ|2020|02|27|15|30|13000|1.29|1.19|1.29|1.25|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|22|NASDAQ|2020|02|26|15|30|8600|1.36|1.27|1.27|1.36|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|23|NASDAQ|2020|02|25|15|30|8700|1.37|1.26|1.37|1.36|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|24|NASDAQ|2020|02|24|15|30|7700|1.35|1.27|1.32|1.27|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|25|NASDAQ|2020|02|21|15|30|65000|1.36|1.22|1.29|1.29|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|26|NASDAQ|2020|02|20|15|30|24500|1.24|1.2|1.22|1.2|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|27|NASDAQ|2020|02|19|15|30|43400|1.25|1.22|1.22|1.23|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|28|NASDAQ|2020|02|18|15|30|23100|1.24|1.2|1.22|1.2|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|29|NASDAQ|2020|02|14|15|30|31800|1.29|1.21|1.23|1.27|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|30|NASDAQ|2020|02|13|15|30|74500|1.39|1.25|1.26|1.35|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|31|NASDAQ|2020|02|12|15|30|10700|1.39|1.31|1.34|1.31|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|32|NASDAQ|2020|02|11|15|30|10300|1.37|1.31|1.31|1.37|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|33|NASDAQ|2020|02|10|15|30|35000|1.45|1.33|1.33|1.45|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|34|NASDAQ|2020|02|07|15|30|400|1.43|1.43|1.43|1.43|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|35|NASDAQ|2020|02|06|15|30|3700|1.43|1.39|1.4|1.39|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|36|NASDAQ|2020|02|05|15|30|18600|1.4|1.31|1.36|1.38|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|37|NASDAQ|2020|02|04|15|30|1600|1.41|1.37|1.37|1.4|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
GVP|38|NASDAQ|2020|02|03|15|30|25200|1.54|1.37|1.37|1.45|businesssoftwareservices|3.8|1.5|1.5|-|-|335|usa|0.75|0.57|483.299988|Mar 30 AMC|technology|55.299999|19.379999
