empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
HBAN|0|NASDAQ|2020|03|27|14|30|15901900|8.62|7.98|8.3|8.06|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|1|NASDAQ|2020|03|26|14|30|15544400|8.6|7.44|8.5|7.51|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|2|NASDAQ|2020|03|25|14|30|18525700|7.94|7.18|7.64|7.58|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|3|NASDAQ|2020|03|24|14|30|19288000|7.67|7.23|7.43|7.42|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|4|NASDAQ|2020|03|23|14|30|12937100|7.78|6.85|7|7.58|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|5|NASDAQ|2020|03|20|14|30|20332400|8.07|7.25|7.62|7.8|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|6|NASDAQ|2020|03|19|14|30|22654000|7.76|6.86|7.68|7.47|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|7|NASDAQ|2020|03|18|14|30|16587900|7.99|7.35|7.72|7.82|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|8|NASDAQ|2020|03|17|14|30|24100500|8.79|7.68|8.37|8.61|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|9|NASDAQ|2020|03|16|14|30|15691400|8.55|7.75|8.43|7.94|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|10|NASDAQ|2020|03|13|14|30|15997600|9.5|8.52|9.5|9.2|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|11|NASDAQ|2020|03|12|14|30|17195700|9.05|7.96|8.38|8.39|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|12|NASDAQ|2020|03|11|14|30|29290700|9.66|9.01|9.13|9.62|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|13|NASDAQ|2020|03|10|14|30|20124300|10.19|9.25|9.97|9.93|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|14|NASDAQ|2020|03|09|14|30|20120800|10.99|9.24|9.45|10.55|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|15|NASDAQ|2020|03|06|15|30|20856400|11.61|10.87|11.12|11.12|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|16|NASDAQ|2020|03|05|15|30|16861900|12.31|11.58|11.78|12.24|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|17|NASDAQ|2020|03|04|15|30|21492600|12.82|12.39|12.65|12.7|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|18|NASDAQ|2020|03|03|15|30|25218500|13.36|12.44|12.58|12.78|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|19|NASDAQ|2020|03|02|15|30|19653100|13.13|11.97|12.94|12.23|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|20|NASDAQ|2020|02|28|15|30|33656500|12.32|11.91|12.27|12.15|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|21|NASDAQ|2020|02|27|15|30|21359200|12.83|12.2|12.35|12.45|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|22|NASDAQ|2020|02|26|15|30|12170700|13.19|12.68|12.7|13.11|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|23|NASDAQ|2020|02|25|15|30|12025000|13.55|12.79|12.83|13.52|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|24|NASDAQ|2020|02|24|15|30|7364300|13.59|13.38|13.5|13.56|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|25|NASDAQ|2020|02|21|15|30|8930500|14.08|13.8|13.91|14.01|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|26|NASDAQ|2020|02|20|15|30|5123300|14.22|13.99|14.14|14.02|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|27|NASDAQ|2020|02|19|15|30|6607100|14.06|13.93|14.03|13.95|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|28|NASDAQ|2020|02|18|15|30|6393800|14.12|13.73|13.91|14.03|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|29|NASDAQ|2020|02|14|15|30|5274700|14.16|14|14.08|14.15|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|30|NASDAQ|2020|02|13|15|30|7647200|14.15|13.94|14.15|14.01|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|31|NASDAQ|2020|02|12|15|30|5206800|14.22|14.02|14.05|14.1|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|32|NASDAQ|2020|02|11|15|30|5115000|14.14|13.96|14.03|13.99|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
HBAN|33|NASDAQ|2020|02|10|15|30|5460300|13.98|13.85|13.93|13.89|regionalmidwestbanks|1|-|-|6.56|7.23|15664|usa|0.93|0.93|5.79|Apr 23 BMO|financial|78|8530
