empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
HCAP|0|NASDAQ|2020|03|27|14|30|22700|5.53|5|5.31|5.41|assetmanagement|31|-|-|-|18.08|-|usa|-|-|11.2|Mar 13 BMO|financial|8.08|31.540001
HCAP|1|NASDAQ|2020|03|26|14|30|13100|5.71|4.92|5.46|4.92|assetmanagement|31|-|-|-|18.08|-|usa|-|-|11.2|Mar 13 BMO|financial|8.08|31.540001
HCAP|2|NASDAQ|2020|03|25|14|30|26300|4.76|4.1|4.73|4.12|assetmanagement|31|-|-|-|18.08|-|usa|-|-|11.2|Mar 13 BMO|financial|8.08|31.540001
HCAP|3|NASDAQ|2020|03|24|14|30|12900|4.78|4|4.16|4.77|assetmanagement|31|-|-|-|18.08|-|usa|-|-|11.2|Mar 13 BMO|financial|8.08|31.540001
HCAP|4|NASDAQ|2020|03|23|14|30|23100|4.33|3.74|4.14|4.25|assetmanagement|31|-|-|-|18.08|-|usa|-|-|11.2|Mar 13 BMO|financial|8.08|31.540001
HCAP|5|NASDAQ|2020|03|20|14|30|23800|5.19|4.1|4.35|4.37|assetmanagement|31|-|-|-|18.08|-|usa|-|-|11.2|Mar 13 BMO|financial|8.08|31.540001
HCAP|6|NASDAQ|2020|03|19|14|30|50000|4.99|3|4.37|3|assetmanagement|31|-|-|-|18.08|-|usa|-|-|11.2|Mar 13 BMO|financial|8.08|31.540001
HCAP|7|NASDAQ|2020|03|18|14|30|53500|4.74|2.66|2.72|4.16|assetmanagement|31|-|-|-|18.08|-|usa|-|-|11.2|Mar 13 BMO|financial|8.08|31.540001
HCAP|8|NASDAQ|2020|03|17|14|30|22400|4.66|4.21|4.3|4.29|assetmanagement|31|-|-|-|18.08|-|usa|-|-|11.2|Mar 13 BMO|financial|8.08|31.540001
HCAP|9|NASDAQ|2020|03|16|14|30|20500|4.78|4.25|4.53|4.5|assetmanagement|31|-|-|-|18.08|-|usa|-|-|11.2|Mar 13 BMO|financial|8.08|31.540001
HCAP|10|NASDAQ|2020|03|13|14|30|20100|5.85|4.71|4.72|5.85|assetmanagement|31|-|-|-|18.08|-|usa|-|-|11.2|Mar 13 BMO|financial|8.08|31.540001
HCAP|11|NASDAQ|2020|03|12|14|30|23800|5.99|4.56|4.83|5.99|assetmanagement|31|-|-|-|18.08|-|usa|-|-|11.2|Mar 13 BMO|financial|8.08|31.540001
HCAP|12|NASDAQ|2020|03|11|14|30|21600|6.67|5.52|5.52|6|assetmanagement|31|-|-|-|18.08|-|usa|-|-|11.2|Mar 13 BMO|financial|8.08|31.540001
HCAP|13|NASDAQ|2020|03|10|14|30|16200|6.26|5.84|6|6.04|assetmanagement|31|-|-|-|18.08|-|usa|-|-|11.2|Mar 13 BMO|financial|8.08|31.540001
HCAP|14|NASDAQ|2020|03|09|14|30|35500|6.45|5.27|5.81|6.45|assetmanagement|31|-|-|-|18.08|-|usa|-|-|11.2|Mar 13 BMO|financial|8.08|31.540001
HCAP|15|NASDAQ|2020|03|06|15|30|54600|7.3|6.58|6.61|7.3|assetmanagement|31|-|-|-|18.08|-|usa|-|-|11.2|Mar 13 BMO|financial|8.08|31.540001
HCAP|16|NASDAQ|2020|03|05|15|30|22500|7.75|7.24|7.31|7.75|assetmanagement|31|-|-|-|18.08|-|usa|-|-|11.2|Mar 13 BMO|financial|8.08|31.540001
HCAP|17|NASDAQ|2020|03|04|15|30|23000|8.04|7.48|7.69|7.95|assetmanagement|31|-|-|-|18.08|-|usa|-|-|11.2|Mar 13 BMO|financial|8.08|31.540001
