empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
HMNF|0|NASDAQ|2020|03|27|14|30|4700|17.700001|16|17.02|16.129999|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|1|NASDAQ|2020|03|26|14|30|2700|17.84|17.559999|17.74|17.559999|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|2|NASDAQ|2020|03|25|14|30|2900|17.66|16|17.65|16|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|3|NASDAQ|2020|03|24|14|30|3000|16.73|15.23|15.52|15.23|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|4|NASDAQ|2020|03|23|14|30|10700|16.98|15.51|15.99|16.639999|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|5|NASDAQ|2020|03|20|14|30|4400|18|16.959999|17.08|17.07|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|6|NASDAQ|2020|03|19|14|30|3100|17.99|17.25|17.91|17.950001|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|7|NASDAQ|2020|03|18|14|30|8000|18.190001|17|18|18.01|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|8|NASDAQ|2020|03|17|14|30|1200|18.200001|18.15|18.200001|18.15|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|9|NASDAQ|2020|03|16|14|30|8800|18|16.549999|18|17.700001|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|10|NASDAQ|2020|03|13|14|30|4400|18.719999|17.639999|18.26|17.639999|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|11|NASDAQ|2020|03|12|14|30|22500|18.99|17.65|17.65|18.99|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|12|NASDAQ|2020|03|11|14|30|300|19.299999|19.299999|19.299999|19.299999|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|13|NASDAQ|2020|03|10|14|30|2800|18.299999|17.91|18.299999|18.26|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|14|NASDAQ|2020|03|09|14|30|600|18.49|18.01|18.49|18.01|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|15|NASDAQ|2020|03|06|15|30|0|19.84|19.84|19.84|19.84|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|16|NASDAQ|2020|03|05|15|30|4800|20.360001|19.610001|19.84|20.360001|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|17|NASDAQ|2020|03|04|15|30|0|20.209999|20.209999|20.209999|20.209999|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|18|NASDAQ|2020|03|03|15|30|13400|20.969999|20.16|20.209999|20.559999|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|19|NASDAQ|2020|03|02|15|30|200|20.92|20.92|20.92|20.92|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|20|NASDAQ|2020|02|28|15|30|3300|20.66|20.639999|20.65|20.65|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|21|NASDAQ|2020|02|27|15|30|4400|20.66|20.65|20.65|20.66|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|22|NASDAQ|2020|02|26|15|30|0|20.65|20.65|20.65|20.65|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|23|NASDAQ|2020|02|25|15|30|500|20.66|20.65|20.65|20.66|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|24|NASDAQ|2020|02|24|15|30|900|20.780001|20.77|20.77|20.780001|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|25|NASDAQ|2020|02|21|15|30|0|20.93|20.93|20.93|20.93|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|26|NASDAQ|2020|02|20|15|30|500|21|20.709999|20.93|20.709999|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|27|NASDAQ|2020|02|19|15|30|1200|20.799999|20.799999|20.799999|20.799999|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|28|NASDAQ|2020|02|18|15|30|6100|20.870001|20.799999|20.85|20.799999|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
HMNF|29|NASDAQ|2020|02|14|15|30|800|21|20.809999|20.809999|21|savingsloans|10.3|-|-|10.13|-|190|usa|0|0|-|Apr 29 AMC|financial|52.799999|82.889999
