empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
HMTV|0|NASDAQ|2020|03|27|14|30|51000|8.68|8.34|8.48|8.36|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|1|NASDAQ|2020|03|26|14|30|92400|9.32|8.59|8.71|8.81|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|2|NASDAQ|2020|03|25|14|30|72900|8.95|8.28|8.66|8.78|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|3|NASDAQ|2020|03|24|14|30|56700|9.1|8.3|8.98|8.6|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|4|NASDAQ|2020|03|23|14|30|76600|8.86|8.21|8.44|8.57|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|5|NASDAQ|2020|03|20|14|30|120300|9.02|8.46|8.68|8.79|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|6|NASDAQ|2020|03|19|14|30|66600|9.15|8.45|8.8|8.57|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|7|NASDAQ|2020|03|18|14|30|56800|9.53|8.36|8.44|9.53|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|8|NASDAQ|2020|03|17|14|30|74100|9.52|8.45|9.52|8.75|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|9|NASDAQ|2020|03|16|14|30|60700|9.04|8.39|8.66|8.51|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|10|NASDAQ|2020|03|13|14|30|62600|10.07|9.01|9.45|9.76|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|11|NASDAQ|2020|03|12|14|30|71400|10.13|9.55|9.62|9.76|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|12|NASDAQ|2020|03|11|14|30|59100|11.39|10.17|10.17|10.25|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|13|NASDAQ|2020|03|10|14|30|70300|11.15|10.18|10.4|10.65|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|14|NASDAQ|2020|03|09|14|30|39700|11.01|10.39|10.52|11.01|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|15|NASDAQ|2020|03|06|15|30|30800|11.61|11.17|11.52|11.25|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|16|NASDAQ|2020|03|05|15|30|24400|12.36|11.26|11.39|12.25|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|17|NASDAQ|2020|03|04|15|30|37100|12.6|11.2|12.31|11.21|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|18|NASDAQ|2020|03|03|15|30|37200|12.69|12.05|12.24|12.31|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|19|NASDAQ|2020|03|02|15|30|65000|12.58|12.3|12.53|12.58|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|20|NASDAQ|2020|02|28|15|30|47500|12.7|12.4|12.63|12.4|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|21|NASDAQ|2020|02|27|15|30|25100|12.86|12.49|12.55|12.58|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|22|NASDAQ|2020|02|26|15|30|20500|12.83|12.59|12.72|12.59|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|23|NASDAQ|2020|02|25|15|30|27800|13.31|12.6|12.65|13.31|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|24|NASDAQ|2020|02|24|15|30|28300|13.37|13.03|13.18|13.23|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|25|NASDAQ|2020|02|21|15|30|18900|13.87|13.48|13.51|13.87|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|26|NASDAQ|2020|02|20|15|30|8700|13.91|13.72|13.79|13.77|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|27|NASDAQ|2020|02|19|15|30|11600|13.99|13.83|13.85|13.89|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|28|NASDAQ|2020|02|18|15|30|6900|14.19|13.85|13.95|14.08|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|29|NASDAQ|2020|02|14|15|30|12600|14.12|13.91|13.96|14.11|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|30|NASDAQ|2020|02|13|15|30|17900|14.17|13.87|14.04|13.87|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|31|NASDAQ|2020|02|12|15|30|20500|14.3|13.89|13.99|14.1|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|32|NASDAQ|2020|02|11|15|30|34000|14.34|14.01|14.05|14.1|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|33|NASDAQ|2020|02|10|15|30|39200|14.1|13.66|14.08|13.66|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|34|NASDAQ|2020|02|07|15|30|10500|13.76|13.59|13.66|13.68|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|35|NASDAQ|2020|02|06|15|30|13200|14.05|13.69|13.71|14.05|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|36|NASDAQ|2020|02|05|15|30|27900|14.03|13.6|13.86|13.64|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|37|NASDAQ|2020|02|04|15|30|10300|13.73|13.53|13.59|13.66|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|38|NASDAQ|2020|02|03|15|30|15400|13.68|13.47|13.54|13.63|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|39|NASDAQ|2020|01|31|15|30|28500|14.2|13.4|13.44|13.75|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|40|NASDAQ|2020|01|30|15|30|9500|13.98|13.64|13.98|13.71|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|41|NASDAQ|2020|01|29|15|30|11900|14.08|13.65|13.78|13.91|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|42|NASDAQ|2020|01|28|15|30|20100|14.13|13.98|14|14.13|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|43|NASDAQ|2020|01|27|15|30|21200|14.13|13.7|14|13.82|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|44|NASDAQ|2020|01|24|15|30|19000|14.11|13.86|13.98|14.1|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|45|NASDAQ|2020|01|23|15|30|39300|14.2|13.71|13.99|13.85|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|46|NASDAQ|2020|01|22|15|30|67100|14.52|13.73|13.95|13.73|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|47|NASDAQ|2020|01|21|15|30|17400|14.21|13.97|14.01|14.11|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|48|NASDAQ|2020|01|17|15|30|24300|14.57|14.23|14.27|14.57|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|49|NASDAQ|2020|01|16|15|30|18400|14.51|14.3|14.44|14.46|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|50|NASDAQ|2020|01|15|15|30|18200|14.66|14.2|14.29|14.22|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
HMTV|51|NASDAQ|2020|01|14|15|30|17300|14.41|13.94|14.17|13.94|catvsystems|5.6|4.3|4.3|-|-|330|usa|0.89|0.88|425|Mar 03 BMO|services|67.400002|324.529999
