empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
HTLD|0|NASDAQ|2020|03|27|14|30|416100|18.52|17.370001|17.809999|17.540001|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|1|NASDAQ|2020|03|26|14|30|439000|18.370001|17.540001|18.200001|17.719999|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|2|NASDAQ|2020|03|25|14|30|396900|18.610001|17.4|17.66|17.92|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|3|NASDAQ|2020|03|24|14|30|862500|17.969999|17.1|17.9|17.5|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|4|NASDAQ|2020|03|23|14|30|516500|16.959999|16.01|16.59|16.84|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|5|NASDAQ|2020|03|20|14|30|659600|17.42|16.24|16.73|17.42|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|6|NASDAQ|2020|03|19|14|30|549500|18.01|16.799999|17.459999|16.870001|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|7|NASDAQ|2020|03|18|14|30|664000|18.67|16.48|16.870001|17.25|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|8|NASDAQ|2020|03|17|14|30|664300|17.969999|16.190001|17.93|16.59|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|9|NASDAQ|2020|03|16|14|30|513600|17.17|15.7|15.78|15.95|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|10|NASDAQ|2020|03|13|14|30|718300|17.530001|16.209999|17.35|16.6|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|11|NASDAQ|2020|03|12|14|30|535800|16.719999|15.65|16|16.280001|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|12|NASDAQ|2020|03|11|14|30|451100|17.32|16.65|17.030001|16.860001|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|13|NASDAQ|2020|03|10|14|30|393400|17.540001|16.799999|17.24|17.26|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|14|NASDAQ|2020|03|09|14|30|318600|17.719999|16.82|16.879999|17.33|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|15|NASDAQ|2020|03|06|15|30|293000|18.17|17.48|18.16|17.540001|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|16|NASDAQ|2020|03|05|15|30|286800|18.219999|17.84|18|17.91|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|17|NASDAQ|2020|03|04|15|30|282200|18.379999|17.790001|18.299999|18.15|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|18|NASDAQ|2020|03|03|15|30|276100|18.42|17.799999|17.969999|18.110001|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|19|NASDAQ|2020|03|02|15|30|348700|18.15|17.629999|18.110001|17.99|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|20|NASDAQ|2020|02|28|15|30|504700|18.17|17.5|17.91|17.709999|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|21|NASDAQ|2020|02|27|15|30|402900|18.52|17.67|18.16|17.92|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|22|NASDAQ|2020|02|26|15|30|128400|19.07|18.290001|18.290001|18.9|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|23|NASDAQ|2020|02|25|15|30|297900|19.35|18.65|18.780001|19.34|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|24|NASDAQ|2020|02|24|15|30|150100|19.42|19.1|19.34|19.389999|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|25|NASDAQ|2020|02|21|15|30|173000|20.129999|19.790001|19.969999|20.030001|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|26|NASDAQ|2020|02|20|15|30|202900|20.129999|19.76|20.08|19.959999|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|27|NASDAQ|2020|02|19|15|30|149300|20.139999|19.629999|20.030001|19.83|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|28|NASDAQ|2020|02|18|15|30|165100|20.09|19.610001|19.76|19.76|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|29|NASDAQ|2020|02|14|15|30|145100|20.280001|19.75|19.84|20.280001|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|30|NASDAQ|2020|02|13|15|30|194500|20.26|19.879999|20.26|19.879999|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|31|NASDAQ|2020|02|12|15|30|212500|20.1|19.65|20.030001|19.780001|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|32|NASDAQ|2020|02|11|15|30|255100|19.93|19.530001|19.68|19.639999|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|33|NASDAQ|2020|02|10|15|30|191100|19.77|19.450001|19.6|19.67|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|34|NASDAQ|2020|02|07|15|30|293700|20.16|19.41|19.73|19.629999|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|35|NASDAQ|2020|02|06|15|30|206200|19.83|19.440001|19.48|19.67|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|36|NASDAQ|2020|02|05|15|30|214000|19.68|19.200001|19.57|19.370001|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|37|NASDAQ|2020|02|04|15|30|204500|19.379999|19.02|19.209999|19.200001|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|38|NASDAQ|2020|02|03|15|30|1029400|19.129999|18.83|19.049999|18.889999|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|39|NASDAQ|2020|01|31|15|30|255600|19.07|18.620001|18.690001|18.98|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|40|NASDAQ|2020|01|30|15|30|202800|19.129999|18.75|19.1|18.83|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|41|NASDAQ|2020|01|29|15|30|259100|19.43|19.01|19.02|19.040001|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|42|NASDAQ|2020|01|28|15|30|278100|19.290001|18.969999|18.98|19.15|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|43|NASDAQ|2020|01|27|15|30|295100|19.299999|18.99|19.15|19.24|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|44|NASDAQ|2020|01|24|15|30|598300|20.219999|19.4|19.530001|20.219999|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|45|NASDAQ|2020|01|23|15|30|496100|20.559999|19.67|20.26|20.190001|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|46|NASDAQ|2020|01|22|15|30|210200|20.889999|20.24|20.360001|20.889999|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|47|NASDAQ|2020|01|21|15|30|179900|21.1|20.719999|20.76|21|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|48|NASDAQ|2020|01|17|15|30|191900|21.32|20.889999|21.01|21.15|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|49|NASDAQ|2020|01|16|15|30|272200|21.360001|20.940001|21.129999|21.02|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
HTLD|50|NASDAQ|2020|01|15|15|30|211400|21.110001|20.780001|20.879999|20.870001|trucking|0.9|2.4|2.4|20.01|0.45|4050|usa|0|0|28.629999|Apr 23 BMO|services|56.400002|1410
