empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
IBOC|0|NASDAQ|2020|03|27|14|30|566200|25.700001|24.5|25.33|24.5|regionalsouthwestbanks|3.7|-|-|8.11|4.34|2869|usa|0.06|0.06|-|Mar 04|financial|63|1700
IBOC|1|NASDAQ|2020|03|26|14|30|660700|25.5|23.870001|25.209999|24.700001|regionalsouthwestbanks|3.7|-|-|8.11|4.34|2869|usa|0.06|0.06|-|Mar 04|financial|63|1700
IBOC|2|NASDAQ|2020|03|25|14|30|699400|25.59|22.120001|24.370001|22.67|regionalsouthwestbanks|3.7|-|-|8.11|4.34|2869|usa|0.06|0.06|-|Mar 04|financial|63|1700
IBOC|3|NASDAQ|2020|03|24|14|30|651500|22.75|19.469999|22.620001|19.540001|regionalsouthwestbanks|3.7|-|-|8.11|4.34|2869|usa|0.06|0.06|-|Mar 04|financial|63|1700
IBOC|4|NASDAQ|2020|03|23|14|30|1195000|18.85|15.6|18.42|17.16|regionalsouthwestbanks|3.7|-|-|8.11|4.34|2869|usa|0.06|0.06|-|Mar 04|financial|63|1700
IBOC|5|NASDAQ|2020|03|20|14|30|1201400|20.01|16.33|16.84|18.450001|regionalsouthwestbanks|3.7|-|-|8.11|4.34|2869|usa|0.06|0.06|-|Mar 04|financial|63|1700
IBOC|6|NASDAQ|2020|03|19|14|30|1210400|20.34|17.18|18.5|19.58|regionalsouthwestbanks|3.7|-|-|8.11|4.34|2869|usa|0.06|0.06|-|Mar 04|financial|63|1700
IBOC|7|NASDAQ|2020|03|18|14|30|728000|27.290001|18.719999|19.01|26.34|regionalsouthwestbanks|3.7|-|-|8.11|4.34|2869|usa|0.06|0.06|-|Mar 04|financial|63|1700
IBOC|8|NASDAQ|2020|03|17|14|30|497300|28.48|26.35|28.299999|26.84|regionalsouthwestbanks|3.7|-|-|8.11|4.34|2869|usa|0.06|0.06|-|Mar 04|financial|63|1700
IBOC|9|NASDAQ|2020|03|16|14|30|506900|28.17|25.540001|26.42|25.889999|regionalsouthwestbanks|3.7|-|-|8.11|4.34|2869|usa|0.06|0.06|-|Mar 04|financial|63|1700
IBOC|10|NASDAQ|2020|03|13|14|30|559300|28.780001|26.27|28.700001|27.610001|regionalsouthwestbanks|3.7|-|-|8.11|4.34|2869|usa|0.06|0.06|-|Mar 04|financial|63|1700
IBOC|11|NASDAQ|2020|03|12|14|30|484500|27.9|24.719999|26|25.549999|regionalsouthwestbanks|3.7|-|-|8.11|4.34|2869|usa|0.06|0.06|-|Mar 04|financial|63|1700
