empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
IDLB|0|NASDAQ|2020|03|27|14|30|9500|22.08|21.709999|21.9|21.709999|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|1|NASDAQ|2020|03|26|14|30|12300|22.25|22.1|22.18|22.18|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|2|NASDAQ|2020|03|25|14|30|6200|21.49|20.889999|21.27|20.889999|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|3|NASDAQ|2020|03|24|14|30|5200|20.700001|20.41|20.41|20.700001|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|4|NASDAQ|2020|03|23|14|30|25900|19.757999|18.34|19.200001|19.66|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|5|NASDAQ|2020|03|20|14|30|29700|20.809999|19.889999|20.142|20.809999|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|6|NASDAQ|2020|03|19|14|30|7100|20.639999|20.07|20.309|20.344999|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|7|NASDAQ|2020|03|18|14|30|3400|20.406|19.9|20.069|20.299999|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|8|NASDAQ|2020|03|17|14|30|12000|20.950001|20.334999|20.874001|20.379999|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|9|NASDAQ|2020|03|16|14|30|15500|20.110001|19.91|19.92|20.02|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|10|NASDAQ|2020|03|13|14|30|7500|22.148001|21.1|22.148001|21.610001|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|11|NASDAQ|2020|03|12|14|30|11200|21.74|20.85|21.17|21.51|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|12|NASDAQ|2020|03|11|14|30|3000|23.950001|23.610001|23.610001|23.940001|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|13|NASDAQ|2020|03|10|14|30|2200|24.33|24.09|24.120001|24.33|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|14|NASDAQ|2020|03|09|14|30|3100|24.4|24.030001|24.049999|24.4|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|15|NASDAQ|2020|03|06|15|30|20400|25.469999|25.370001|25.4|25.469999|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|16|NASDAQ|2020|03|05|15|30|200|25.931999|25.874001|25.931999|25.874001|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|17|NASDAQ|2020|03|04|15|30|2700|26.410999|26.07|26.410999|26.07|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|18|NASDAQ|2020|03|03|15|30|9000|26.309999|25.700001|25.879|26.309999|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|19|NASDAQ|2020|03|02|15|30|1300|25.952999|25.700001|25.952999|25.75|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|20|NASDAQ|2020|02|28|15|30|5400|25.368999|25.110001|25.24|25.120001|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|21|NASDAQ|2020|02|27|15|30|2200|26.299999|25.719999|25.719999|26.120001|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
IDLB|22|NASDAQ|2020|02|26|15|30|3800|26.709999|26.52|26.52|26.59|exchangetradedfund|-|-|-|-|3.79|-|usa|-|-|-|-|financial|-|-
