empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
IDXX|0|NASDAQ|2020|03|27|14|30|857900|237.050003|223.539993|231.75|223.539993|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|1|NASDAQ|2020|03|26|14|30|740500|232.479996|212.199997|230.380005|213.059998|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|2|NASDAQ|2020|03|25|14|30|892300|223.850006|200.660004|214.229996|204.779999|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|3|NASDAQ|2020|03|24|14|30|1065900|207.059998|186.729996|204.990005|190.380005|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|4|NASDAQ|2020|03|23|14|30|1386200|187.25|168.649994|182.940002|181.960007|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|5|NASDAQ|2020|03|20|14|30|1539200|196.940002|180.190002|183.289993|193.949997|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|6|NASDAQ|2020|03|19|14|30|1852300|207.949997|185.029999|193.179993|204.020004|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|7|NASDAQ|2020|03|18|14|30|1569300|213.289993|199.179993|205.130005|204.339996|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|8|NASDAQ|2020|03|17|14|30|1271000|236.880005|208.410004|215.880005|228.929993|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|9|NASDAQ|2020|03|16|14|30|1332000|240.229996|223.710007|223.830002|231.940002|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|10|NASDAQ|2020|03|13|14|30|1371000|255.539993|230.330002|254.169998|243.509995|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|11|NASDAQ|2020|03|12|14|30|1405500|246.669998|225.75|241|230.160004|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|12|NASDAQ|2020|03|11|14|30|694300|252.639999|243.369995|245.580002|245.589996|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|13|NASDAQ|2020|03|10|14|30|605500|256|241.350006|255.360001|251.990005|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|14|NASDAQ|2020|03|09|14|30|909800|246.339996|230.559998|242.830002|236.100006|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|15|NASDAQ|2020|03|06|15|30|559200|250.830002|242.75|249.889999|245.440002|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|16|NASDAQ|2020|03|05|15|30|524400|260.01001|250.970001|255.160004|258.170013|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|17|NASDAQ|2020|03|04|15|30|602600|263.339996|251|263.029999|256.070007|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|18|NASDAQ|2020|03|03|15|30|728900|263.730011|247.630005|251.25|259.25|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|19|NASDAQ|2020|03|02|15|30|700700|262.329987|247.669998|261.98999|254.929993|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|20|NASDAQ|2020|02|28|15|30|1614600|254.940002|238.039993|254.509995|242.220001|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|21|NASDAQ|2020|02|27|15|30|610100|261.720001|250|250.149994|255.940002|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|22|NASDAQ|2020|02|26|15|30|583900|265.769989|258.23999|259.450012|258.649994|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|23|NASDAQ|2020|02|25|15|30|649000|272.019989|255.350006|256.709991|270.220001|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|24|NASDAQ|2020|02|24|15|30|595400|275.609985|267.359985|269.809998|274.470001|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|25|NASDAQ|2020|02|21|15|30|443300|281.48999|276.790009|278.109985|280.640015|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|26|NASDAQ|2020|02|20|15|30|696500|292.970001|278.5|281.450012|290.220001|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|27|NASDAQ|2020|02|19|15|30|734100|296.25|288|290.970001|288|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|28|NASDAQ|2020|02|18|15|30|455300|289.350006|285.76001|286.75|288.380005|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|29|NASDAQ|2020|02|14|15|30|286800|289.01001|283.399994|288.779999|285.269989|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|30|NASDAQ|2020|02|13|15|30|283900|286.5|281.850006|285.049988|283.160004|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|31|NASDAQ|2020|02|12|15|30|314500|285.880005|280.339996|283.279999|284.209991|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|32|NASDAQ|2020|02|11|15|30|293100|284.359985|280.040009|283.380005|280.329987|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
IDXX|33|NASDAQ|2020|02|10|15|30|348200|279.649994|276.940002|279.149994|277.940002|diagnosticsubstances|1.1|0.7|0.9|47.43|-|9200|usa|5|3.38|14.82|May 01 BMO|healthcare|89.900002|21000
