empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
IDYA|0|NASDAQ|2020|03|27|14|30|28800|4.58|4.05|4.23|4.58|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|1|NASDAQ|2020|03|26|14|30|77600|4.801|4.15|4.66|4.15|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|2|NASDAQ|2020|03|25|14|30|44500|4.34|4.05|4.18|4.18|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|3|NASDAQ|2020|03|24|14|30|125400|4.38|3.2|4.12|3.69|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|4|NASDAQ|2020|03|23|14|30|43500|3.97|3.5|3.68|3.6|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|5|NASDAQ|2020|03|20|14|30|66000|3.87|3.35|3.71|3.4|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|6|NASDAQ|2020|03|19|14|30|105000|3.53|3.312|3.35|3.5|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|7|NASDAQ|2020|03|18|14|30|165800|4.44|3.12|3.14|4|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|8|NASDAQ|2020|03|17|14|30|118400|4.105|2.95|3.03|3.4|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|9|NASDAQ|2020|03|16|14|30|43200|3.9|3.31|3.33|3.9|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|10|NASDAQ|2020|03|13|14|30|66300|4.5|3.85|4.03|4.5|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|11|NASDAQ|2020|03|12|14|30|56200|4.983|3.31|4.11|4.56|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|12|NASDAQ|2020|03|11|14|30|60100|6.19|4.53|4.85|5.93|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|13|NASDAQ|2020|03|10|14|30|65800|7.081|5.886|6.085|7.06|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|14|NASDAQ|2020|03|09|14|30|58900|6.94|6.7|6.93|6.9|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|15|NASDAQ|2020|03|06|15|30|14800|7.23|6.92|7|6.964|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|16|NASDAQ|2020|03|05|15|30|16100|7.2|6.95|6.95|7.03|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|17|NASDAQ|2020|03|04|15|30|24700|7.2|7.05|7.1|7.07|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|18|NASDAQ|2020|03|03|15|30|12000|7.06|6.99|7.06|7|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|19|NASDAQ|2020|03|02|15|30|24200|7.186|6.9|6.96|6.91|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|20|NASDAQ|2020|02|28|15|30|27800|7|6.8|7|6.83|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|21|NASDAQ|2020|02|27|15|30|21900|7.15|6.801|6.97|7.08|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|22|NASDAQ|2020|02|26|15|30|21200|7.24|6.843|7.24|6.93|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|23|NASDAQ|2020|02|25|15|30|16200|7.015|6.7|6.9|6.95|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|24|NASDAQ|2020|02|24|15|30|9500|7|6.7|7|6.71|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|25|NASDAQ|2020|02|21|15|30|36200|7.1|6.8|6.92|7|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
IDYA|26|NASDAQ|2020|02|20|15|30|24100|7|6.79|6.97|6.85|biotechnology|19.200001|18.9|18.9|-|-|50|usa|0|0|7.4|Mar 25|healthcare|52.700001|80.540001
