empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
IMOS|0|NASDAQ|2020|03|27|14|30|16900|17.09|16.49|16.549999|16.9|semiconductorequipmentmaterials|49.59|2|2.4|7.13|4.59|6005|taiwan|0.5|0.46|-|Mar 10 BMO|technology|8.7|646.280029
IMOS|1|NASDAQ|2020|03|26|14|30|10000|17.82|17.23|17.82|17.5|semiconductorequipmentmaterials|49.59|2|2.4|7.13|4.59|6005|taiwan|0.5|0.46|-|Mar 10 BMO|technology|8.7|646.280029
IMOS|2|NASDAQ|2020|03|25|14|30|29300|17.93|17.059999|17.709999|17.200001|semiconductorequipmentmaterials|49.59|2|2.4|7.13|4.59|6005|taiwan|0.5|0.46|-|Mar 10 BMO|technology|8.7|646.280029
IMOS|3|NASDAQ|2020|03|24|14|30|25200|17.629999|16.700001|17.469999|17.15|semiconductorequipmentmaterials|49.59|2|2.4|7.13|4.59|6005|taiwan|0.5|0.46|-|Mar 10 BMO|technology|8.7|646.280029
IMOS|4|NASDAQ|2020|03|23|14|30|30000|16.129999|15.72|16.07|15.95|semiconductorequipmentmaterials|49.59|2|2.4|7.13|4.59|6005|taiwan|0.5|0.46|-|Mar 10 BMO|technology|8.7|646.280029
IMOS|5|NASDAQ|2020|03|20|14|30|52200|16.799999|15.81|15.9|16.389999|semiconductorequipmentmaterials|49.59|2|2.4|7.13|4.59|6005|taiwan|0.5|0.46|-|Mar 10 BMO|technology|8.7|646.280029
IMOS|6|NASDAQ|2020|03|19|14|30|23900|16.09|15.18|15.42|15.5|semiconductorequipmentmaterials|49.59|2|2.4|7.13|4.59|6005|taiwan|0.5|0.46|-|Mar 10 BMO|technology|8.7|646.280029
IMOS|7|NASDAQ|2020|03|18|14|30|40600|16.15|15|15.75|15.97|semiconductorequipmentmaterials|49.59|2|2.4|7.13|4.59|6005|taiwan|0.5|0.46|-|Mar 10 BMO|technology|8.7|646.280029
IMOS|8|NASDAQ|2020|03|17|14|30|25600|16.799999|16.16|16.67|16.18|semiconductorequipmentmaterials|49.59|2|2.4|7.13|4.59|6005|taiwan|0.5|0.46|-|Mar 10 BMO|technology|8.7|646.280029
IMOS|9|NASDAQ|2020|03|16|14|30|20000|16.66|16.02|16.1|16.4|semiconductorequipmentmaterials|49.59|2|2.4|7.13|4.59|6005|taiwan|0.5|0.46|-|Mar 10 BMO|technology|8.7|646.280029
IMOS|10|NASDAQ|2020|03|13|14|30|14300|18.42|17.33|17.809999|18.42|semiconductorequipmentmaterials|49.59|2|2.4|7.13|4.59|6005|taiwan|0.5|0.46|-|Mar 10 BMO|technology|8.7|646.280029
IMOS|11|NASDAQ|2020|03|12|14|30|20400|18.209999|17.5|17.5|18.209999|semiconductorequipmentmaterials|49.59|2|2.4|7.13|4.59|6005|taiwan|0.5|0.46|-|Mar 10 BMO|technology|8.7|646.280029
IMOS|12|NASDAQ|2020|03|11|14|30|21700|20.040001|19.43|19.51|20.040001|semiconductorequipmentmaterials|49.59|2|2.4|7.13|4.59|6005|taiwan|0.5|0.46|-|Mar 10 BMO|technology|8.7|646.280029
IMOS|13|NASDAQ|2020|03|10|14|30|48900|21.639999|20.85|21.610001|21.09|semiconductorequipmentmaterials|49.59|2|2.4|7.13|4.59|6005|taiwan|0.5|0.46|-|Mar 10 BMO|technology|8.7|646.280029
IMOS|14|NASDAQ|2020|03|09|14|30|16700|20.15|19.5|19.790001|19.5|semiconductorequipmentmaterials|49.59|2|2.4|7.13|4.59|6005|taiwan|0.5|0.46|-|Mar 10 BMO|technology|8.7|646.280029
IMOS|15|NASDAQ|2020|03|06|15|30|38300|20.09|19.790001|20|20.09|semiconductorequipmentmaterials|49.59|2|2.4|7.13|4.59|6005|taiwan|0.5|0.46|-|Mar 10 BMO|technology|8.7|646.280029
IMOS|16|NASDAQ|2020|03|05|15|30|18600|19.93|19.639999|19.709999|19.85|semiconductorequipmentmaterials|49.59|2|2.4|7.13|4.59|6005|taiwan|0.5|0.46|-|Mar 10 BMO|technology|8.7|646.280029
IMOS|17|NASDAQ|2020|03|04|15|30|9000|19.85|19.639999|19.85|19.83|semiconductorequipmentmaterials|49.59|2|2.4|7.13|4.59|6005|taiwan|0.5|0.46|-|Mar 10 BMO|technology|8.7|646.280029
IMOS|18|NASDAQ|2020|03|03|15|30|14900|20.17|19.799999|19.959999|20.17|semiconductorequipmentmaterials|49.59|2|2.4|7.13|4.59|6005|taiwan|0.5|0.46|-|Mar 10 BMO|technology|8.7|646.280029
