empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
INGN|0|NASDAQ|2020|03|27|14|30|624300|54|49.220001|50.060001|53.610001|medicalinstrumentssupplies|0.8|5.1|5.8|53.200001|-|1020|usa|0|0|56.98|Feb 25 AMC|healthcare|-|1100
INGN|1|NASDAQ|2020|03|26|14|30|697300|55.18|49.52|54.889999|50.549999|medicalinstrumentssupplies|0.8|5.1|5.8|53.200001|-|1020|usa|0|0|56.98|Feb 25 AMC|healthcare|-|1100
INGN|2|NASDAQ|2020|03|25|14|30|770100|52.82|46.330002|52.5|51.060001|medicalinstrumentssupplies|0.8|5.1|5.8|53.200001|-|1020|usa|0|0|56.98|Feb 25 AMC|healthcare|-|1100
INGN|3|NASDAQ|2020|03|24|14|30|1137700|52|43.110001|51.040001|50.169998|medicalinstrumentssupplies|0.8|5.1|5.8|53.200001|-|1020|usa|0|0|56.98|Feb 25 AMC|healthcare|-|1100
INGN|4|NASDAQ|2020|03|23|14|30|883400|50.669998|40.529999|48.360001|40.549999|medicalinstrumentssupplies|0.8|5.1|5.8|53.200001|-|1020|usa|0|0|56.98|Feb 25 AMC|healthcare|-|1100
INGN|5|NASDAQ|2020|03|20|14|30|786900|40.439999|36.080002|40|37.369999|medicalinstrumentssupplies|0.8|5.1|5.8|53.200001|-|1020|usa|0|0|56.98|Feb 25 AMC|healthcare|-|1100
INGN|6|NASDAQ|2020|03|19|14|30|636300|37.189999|32.450001|37.040001|32.459999|medicalinstrumentssupplies|0.8|5.1|5.8|53.200001|-|1020|usa|0|0|56.98|Feb 25 AMC|healthcare|-|1100
INGN|7|NASDAQ|2020|03|18|14|30|497700|37.419998|31.209999|32.630001|36.599998|medicalinstrumentssupplies|0.8|5.1|5.8|53.200001|-|1020|usa|0|0|56.98|Feb 25 AMC|healthcare|-|1100
INGN|8|NASDAQ|2020|03|17|14|30|638100|40.783001|36.220001|37.709999|39.93|medicalinstrumentssupplies|0.8|5.1|5.8|53.200001|-|1020|usa|0|0|56.98|Feb 25 AMC|healthcare|-|1100
INGN|9|NASDAQ|2020|03|16|14|30|507400|41.455002|35|39.189999|38|medicalinstrumentssupplies|0.8|5.1|5.8|53.200001|-|1020|usa|0|0|56.98|Feb 25 AMC|healthcare|-|1100
INGN|10|NASDAQ|2020|03|13|14|30|728800|44.075001|40.890999|43.849998|42.610001|medicalinstrumentssupplies|0.8|5.1|5.8|53.200001|-|1020|usa|0|0|56.98|Feb 25 AMC|healthcare|-|1100
INGN|11|NASDAQ|2020|03|12|14|30|624100|41.439999|37.220001|40.580002|37.68|medicalinstrumentssupplies|0.8|5.1|5.8|53.200001|-|1020|usa|0|0|56.98|Feb 25 AMC|healthcare|-|1100
INGN|12|NASDAQ|2020|03|11|14|30|421000|43.75|40.380001|40.610001|43.290001|medicalinstrumentssupplies|0.8|5.1|5.8|53.200001|-|1020|usa|0|0|56.98|Feb 25 AMC|healthcare|-|1100
