empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
STX|0|NASDAQ|2020|01|22|15|30|1242500|61.669998|60.990002|61.27|61.470001|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|1|NASDAQ|2020|01|21|15|30|2352300|61.43|60.779999|61.049999|61|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|2|NASDAQ|2020|01|17|15|30|2013600|61.650002|60.93|61.080002|61.509998|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|3|NASDAQ|2020|01|16|15|30|1496800|61.540001|60.810001|61.529999|61.07|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|4|NASDAQ|2020|01|15|15|30|1950400|61.220001|60.299999|60.509998|60.560001|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|5|NASDAQ|2020|01|14|15|30|2007900|61.119999|60.310001|60.779999|60.950001|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|6|NASDAQ|2020|01|13|15|30|2112000|61|60.049999|60.990002|60.23|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|7|NASDAQ|2020|01|10|15|30|1734800|60.57|59.66|59.98|60.470001|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|8|NASDAQ|2020|01|09|15|30|2313800|60.68|59.610001|60.459999|59.889999|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|9|NASDAQ|2020|01|08|15|30|2541200|59.900002|58.490002|59.369999|58.900002|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|10|NASDAQ|2020|01|07|15|30|1914400|59.040001|58.02|58.91|58.5|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|11|NASDAQ|2020|01|06|15|30|1995900|58.709999|57.900002|58.209999|58.400002|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|12|NASDAQ|2020|01|03|15|30|1649700|60.049999|58.810001|58.91|59.860001|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|13|NASDAQ|2020|01|02|15|30|2018200|60.639999|59.77|60.5|59.810001|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|14|NASDAQ|2019|12|31|15|30|1266200|59.73|59.029999|59.5|59.150002|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|15|NASDAQ|2019|12|30|15|30|1060300|59.669998|58.880001|59.290001|59.599998|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|16|NASDAQ|2019|12|27|15|30|1298100|60.259998|59.450001|59.580002|60|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|17|NASDAQ|2019|12|26|15|30|1071000|59.959999|59.5|59.919998|59.529999|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|18|NASDAQ|2019|12|24|15|30|820000|59.970001|59.150002|59.490002|59.880001|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|19|NASDAQ|2019|12|23|15|30|2563500|60.830002|59.459999|60.369999|59.799999|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|20|NASDAQ|2019|12|20|15|30|4169400|59.709999|58.330002|59.619999|58.759998|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|21|NASDAQ|2019|12|19|15|30|2621000|59.490002|58.259998|58.450001|59.470001|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|22|NASDAQ|2019|12|18|15|30|2540800|59.349998|58.380001|58.799999|59.25|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|23|NASDAQ|2019|12|17|15|30|2556500|59.43|58.669998|59.169998|59.43|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|24|NASDAQ|2019|12|16|15|30|2483000|59.669998|59.02|59.060001|59.43|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|25|NASDAQ|2019|12|13|15|30|3155100|59.860001|58.59|58.759998|58.860001|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|26|NASDAQ|2019|12|12|15|30|2421200|59.200001|57.970001|59.049999|58.18|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
STX|27|NASDAQ|2019|12|11|15|30|2345300|58.869999|57.759998|57.939999|57.84|datastoragedevices|0.2|1.2|1.6|9.01|4.56|40500|ireland|0|2.34|6.59|Feb 04 AMC|technology|88.900002|15340
