empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
NXPI|0|NASDAQ|2020|01|29|15|30|2273000|134.770004|131.740005|132.660004|133.050003|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|1|NASDAQ|2020|01|28|15|30|2207500|133.649994|131.240005|132.679993|132.5|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|2|NASDAQ|2020|01|27|15|30|3781200|131.729996|128.059998|130.449997|131.559998|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|3|NASDAQ|2020|01|24|15|30|2887600|137.919998|134.550003|135.279999|137.490005|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|4|NASDAQ|2020|01|23|15|30|2534100|137.220001|134.850006|136.410004|134.889999|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|5|NASDAQ|2020|01|22|15|30|2422000|136.300003|133.479996|134.639999|134.520004|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|6|NASDAQ|2020|01|21|15|30|2018200|134.449997|132.690002|133.960007|133.399994|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|7|NASDAQ|2020|01|17|15|30|2268300|135.479996|132.470001|133.839996|134.990005|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|8|NASDAQ|2020|01|16|15|30|2495100|134.960007|132.800003|134.179993|133.979996|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|9|NASDAQ|2020|01|15|15|30|2206200|132.910004|131.559998|132.5|132.449997|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|10|NASDAQ|2020|01|14|15|30|2499200|133.679993|131.289993|132.710007|131.399994|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|11|NASDAQ|2020|01|13|15|30|2313900|132.509995|130.149994|131.979996|131|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|12|NASDAQ|2020|01|10|15|30|2294000|130.830002|129.179993|129.639999|130.110001|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|13|NASDAQ|2020|01|09|15|30|2429600|130.949997|128.690002|129.179993|129.800003|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|14|NASDAQ|2020|01|08|15|30|1589100|129.110001|127.129997|128.360001|128.210007|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|15|NASDAQ|2020|01|07|15|30|2595500|129.779999|127|128.039993|127.5|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|16|NASDAQ|2020|01|06|15|30|2157900|126.989998|124.68|126.400002|125.400002|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|17|NASDAQ|2020|01|03|15|30|1546100|128.279999|126.120003|127.300003|126.230003|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|18|NASDAQ|2020|01|02|15|30|2247900|129.5|127.190002|128.539993|128.610001|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|19|NASDAQ|2019|12|31|15|30|957800|127.900002|126.800003|127.260002|127.43|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|20|NASDAQ|2019|12|30|15|30|935300|128.350006|126.349998|127.550003|128.270004|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|21|NASDAQ|2019|12|27|15|30|1011500|129.259995|127.800003|128.190002|129.039993|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|22|NASDAQ|2019|12|26|15|30|972500|129.5|127.529999|128.679993|129.5|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|23|NASDAQ|2019|12|24|15|30|958500|129.360001|127.510002|129.199997|128.429993|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|24|NASDAQ|2019|12|23|15|30|2897500|129.470001|127.169998|128.029999|128.309998|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|25|NASDAQ|2019|12|20|15|30|3772700|127.839996|125.959999|127.690002|126.080002|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|26|NASDAQ|2019|12|19|15|30|2032800|126.150002|124.419998|125.949997|125.660004|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|27|NASDAQ|2019|12|18|15|30|2528300|126.449997|124.769997|125.790001|125.550003|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|28|NASDAQ|2019|12|17|15|30|3725500|126.970001|123.029999|125.93|124.360001|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|29|NASDAQ|2019|12|16|15|30|2722800|125.220001|123.980003|124.300003|125|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|30|NASDAQ|2019|12|13|15|30|2894800|125.239998|122.120003|123.879997|123.32|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|31|NASDAQ|2019|12|12|15|30|4633700|126.059998|120.5|123.980003|121.199997|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|32|NASDAQ|2019|12|11|15|30|3290000|122.279999|118.800003|121.400002|118.940002|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|33|NASDAQ|2019|12|10|15|30|2526300|120.599998|118.220001|119.099998|118.260002|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|34|NASDAQ|2019|12|09|15|30|1150900|119.129997|117.32|117.849998|118.25|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|35|NASDAQ|2019|12|06|15|30|2253200|119.980003|118.330002|118.669998|118.800003|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
NXPI|36|NASDAQ|2019|12|05|15|30|1492400|118.139999|115.610001|117.110001|116.309998|semiconductorbroadline|0.4|1.5|1.9|91.400002|1.18|28900|netherlands|0.91|0.79|10.83|Feb 03 AMC|technology|95.900002|36790
