empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
OZK|0|NASDAQ|2020|01|29|15|30|763100|28.139999|27.610001|27.610001|27.9|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|1|NASDAQ|2020|01|28|15|30|648000|28|27.51|27.85|27.780001|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|2|NASDAQ|2020|01|27|15|30|1339100|27.790001|26.809999|27.59|27|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|3|NASDAQ|2020|01|24|15|30|1170600|28.299999|27.309999|27.629999|27.98|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|4|NASDAQ|2020|01|23|15|30|1235200|28.17|27.48|28.08|28.07|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|5|NASDAQ|2020|01|22|15|30|1015300|29.040001|28.040001|28.110001|29|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|6|NASDAQ|2020|01|21|15|30|1246400|29.18|28.620001|28.85|29.01|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|7|NASDAQ|2020|01|17|15|30|2185200|30.809999|29.120001|29.25|30.809999|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|8|NASDAQ|2020|01|16|15|30|1084300|30.82|30.09|30.809999|30.1|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|9|NASDAQ|2020|01|15|15|30|1085400|30.620001|29.889999|30.040001|30.4|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|10|NASDAQ|2020|01|14|15|30|827900|30.85|30.4|30.620001|30.73|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|11|NASDAQ|2020|01|13|15|30|767600|30.76|30.23|30.719999|30.51|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|12|NASDAQ|2020|01|10|15|30|774600|30.950001|30.33|30.440001|30.93|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|13|NASDAQ|2020|01|09|15|30|741500|30.85|30.4|30.459999|30.809999|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|14|NASDAQ|2020|01|08|15|30|481600|30.799999|30.450001|30.639999|30.459999|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|15|NASDAQ|2020|01|07|15|30|615900|30.83|30.370001|30.459999|30.57|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|16|NASDAQ|2020|01|06|15|30|842500|30.76|30.09|30.549999|30.26|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|17|NASDAQ|2020|01|03|15|30|548400|30.75|30.110001|30.620001|30.52|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|18|NASDAQ|2020|01|02|15|30|532700|30.870001|30.360001|30.799999|30.84|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|19|NASDAQ|2019|12|31|15|30|1016000|30.68|30.370001|30.51|30.450001|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|20|NASDAQ|2019|12|30|15|30|1064500|31.07|30.379999|30.440001|31|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|21|NASDAQ|2019|12|27|15|30|282600|31.209999|30.74|30.790001|31.209999|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|22|NASDAQ|2019|12|26|15|30|252200|31.27|30.92|31.07|31.200001|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|23|NASDAQ|2019|12|24|15|30|159300|31.190001|30.91|31.17|31.1|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|24|NASDAQ|2019|12|23|15|30|436300|31.24|30.82|30.98|31.08|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|25|NASDAQ|2019|12|20|15|30|1432900|31.440001|30.91|30.93|31.440001|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|26|NASDAQ|2019|12|19|15|30|858900|31.629999|31.280001|31.34|31.49|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|27|NASDAQ|2019|12|18|15|30|513700|31.719999|31.370001|31.5|31.719999|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|28|NASDAQ|2019|12|17|15|30|604000|31.639999|31.200001|31.540001|31.48|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|29|NASDAQ|2019|12|16|15|30|526400|31.700001|31.35|31.379999|31.540001|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|30|NASDAQ|2019|12|13|15|30|483600|31.76|30.99|31.25|31.33|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|31|NASDAQ|2019|12|12|15|30|737700|31.6|30.450001|31.48|30.57|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
OZK|32|NASDAQ|2019|12|11|15|30|363600|30.559999|30.120001|30.32|30.540001|regionalsoutheastbanks|1.1|-|-|8.23|3.83|2678|usa|0.16|0.16|2.93|Jan 16 AMC|financial|85.800003|3600
