empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
POLA|0|NASDAQ|2020|01|29|15|30|24500|3.07|2.96|3.07|3.03|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|1|NASDAQ|2020|01|28|15|30|26000|3.01|2.82|3|2.87|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|2|NASDAQ|2020|01|27|15|30|75900|3.01|2.8|2.96|3.01|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|3|NASDAQ|2020|01|24|15|30|26200|3.17|2.97|3.08|3.17|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|4|NASDAQ|2020|01|23|15|30|34100|3.24|3.07|3.12|3.12|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|5|NASDAQ|2020|01|22|15|30|96900|3.23|3.09|3.14|3.16|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|6|NASDAQ|2020|01|21|15|30|126300|3.21|2.99|3.09|3.11|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|7|NASDAQ|2020|01|17|15|30|217300|3.05|2.69|2.98|2.71|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|8|NASDAQ|2020|01|16|15|30|42200|2.74|2.57|2.67|2.67|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|9|NASDAQ|2020|01|15|15|30|52700|2.67|2.54|2.62|2.55|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|10|NASDAQ|2020|01|14|15|30|61400|2.56|2.44|2.52|2.56|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|11|NASDAQ|2020|01|13|15|30|50800|2.7|2.5|2.57|2.7|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|12|NASDAQ|2020|01|10|15|30|34900|2.74|2.62|2.65|2.73|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|13|NASDAQ|2020|01|09|15|30|43200|2.77|2.64|2.68|2.71|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|14|NASDAQ|2020|01|08|15|30|29200|2.78|2.57|2.7|2.77|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|15|NASDAQ|2020|01|07|15|30|177100|2.98|2.56|2.75|2.87|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|16|NASDAQ|2020|01|06|15|30|119600|2.87|2.59|2.72|2.59|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|17|NASDAQ|2020|01|03|15|30|89900|2.6|2.5|2.55|2.58|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|18|NASDAQ|2020|01|02|15|30|87500|2.6|2.4|2.58|2.42|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|19|NASDAQ|2019|12|31|15|30|54800|2.4|2.35|2.38|2.4|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|20|NASDAQ|2019|12|30|15|30|51700|2.48|2.35|2.37|2.48|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|21|NASDAQ|2019|12|27|15|30|34700|2.48|2.35|2.46|2.35|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|22|NASDAQ|2019|12|26|15|30|25800|2.42|2.35|2.39|2.42|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|23|NASDAQ|2019|12|24|15|30|50400|2.38|2.32|2.38|2.34|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|24|NASDAQ|2019|12|23|15|30|77900|2.46|2.25|2.29|2.45|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|25|NASDAQ|2019|12|20|15|30|27300|2.47|2.35|2.39|2.46|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|26|NASDAQ|2019|12|19|15|30|142300|2.55|2.31|2.38|2.39|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|27|NASDAQ|2019|12|18|15|30|15500|2.4|2.35|2.35|2.39|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|28|NASDAQ|2019|12|17|15|30|15200|2.4|2.35|2.36|2.4|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|29|NASDAQ|2019|12|16|15|30|33000|2.43|2.36|2.38|2.42|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|30|NASDAQ|2019|12|13|15|30|20200|2.42|2.32|2.35|2.37|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|31|NASDAQ|2019|12|12|15|30|38700|2.42|2.32|2.32|2.4|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|32|NASDAQ|2019|12|11|15|30|12200|2.41|2.33|2.39|2.4|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|33|NASDAQ|2019|12|10|15|30|8500|2.4|2.38|2.39|2.38|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|34|NASDAQ|2019|12|09|15|30|25200|2.41|2.32|2.33|2.41|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|35|NASDAQ|2019|12|06|15|30|7200|2.42|2.37|2.4|2.41|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|36|NASDAQ|2019|12|05|15|30|17400|2.43|2.35|2.35|2.4|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|37|NASDAQ|2019|12|04|15|30|24500|2.46|2.33|2.34|2.37|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|38|NASDAQ|2019|12|03|15|30|30100|2.43|2.22|2.3|2.37|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|39|NASDAQ|2019|12|02|15|30|13800|2.48|2.3|2.3|2.48|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|40|NASDAQ|2019|11|29|15|30|3700|2.46|2.27|2.44|2.46|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|41|NASDAQ|2019|11|27|15|30|1400|2.45|2.24|2.25|2.45|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|42|NASDAQ|2019|11|26|15|30|10800|2.36|2.3|2.35|2.33|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|43|NASDAQ|2019|11|25|15|30|42400|2.45|2.33|2.45|2.39|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|44|NASDAQ|2019|11|22|15|30|13600|2.49|2.24|2.3|2.49|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
POLA|45|NASDAQ|2019|11|21|15|30|7400|2.41|2.29|2.38|2.3|communicationequipment|61.709999|3.4|8.2|44.560001|-|179|usa|0.05|0.04|-|Feb 11 AMC|technology|9.6|30.299999
