empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SBLK|0|NASDAQ|2020|01|29|15|30|1292100|8.86|8.42|8.84|8.54|shipping|19.799999|-|0.8|-|2.47|176|greece|0.99|0.88|762.72998|Feb 10 AMC|services|57.400002|761
SBLK|1|NASDAQ|2020|01|28|15|30|745400|8.69|8.32|8.43|8.63|shipping|19.799999|-|0.8|-|2.47|176|greece|0.99|0.88|762.72998|Feb 10 AMC|services|57.400002|761
SBLK|2|NASDAQ|2020|01|27|15|30|971900|8.98|8.35|8.5|8.64|shipping|19.799999|-|0.8|-|2.47|176|greece|0.99|0.88|762.72998|Feb 10 AMC|services|57.400002|761
SBLK|3|NASDAQ|2020|01|24|15|30|507500|9.58|9.07|9.23|9.4|shipping|19.799999|-|0.8|-|2.47|176|greece|0.99|0.88|762.72998|Feb 10 AMC|services|57.400002|761
SBLK|4|NASDAQ|2020|01|23|15|30|664000|9.61|8.95|9.43|9.61|shipping|19.799999|-|0.8|-|2.47|176|greece|0.99|0.88|762.72998|Feb 10 AMC|services|57.400002|761
SBLK|5|NASDAQ|2020|01|22|15|30|1295900|10.35|9.64|9.76|10.35|shipping|19.799999|-|0.8|-|2.47|176|greece|0.99|0.88|762.72998|Feb 10 AMC|services|57.400002|761
SBLK|6|NASDAQ|2020|01|21|15|30|789700|10.59|10.28|10.37|10.52|shipping|19.799999|-|0.8|-|2.47|176|greece|0.99|0.88|762.72998|Feb 10 AMC|services|57.400002|761
SBLK|7|NASDAQ|2020|01|17|15|30|318700|10.9|10.6|10.62|10.72|shipping|19.799999|-|0.8|-|2.47|176|greece|0.99|0.88|762.72998|Feb 10 AMC|services|57.400002|761
SBLK|8|NASDAQ|2020|01|16|15|30|325900|10.85|10.66|10.72|10.8|shipping|19.799999|-|0.8|-|2.47|176|greece|0.99|0.88|762.72998|Feb 10 AMC|services|57.400002|761
SBLK|9|NASDAQ|2020|01|15|15|30|408100|10.93|10.65|10.76|10.93|shipping|19.799999|-|0.8|-|2.47|176|greece|0.99|0.88|762.72998|Feb 10 AMC|services|57.400002|761
