empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SGBX|0|NASDAQ|2020|01|29|15|30|1052300|0.16|0.152|0.153|0.158|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|1|NASDAQ|2020|01|28|15|30|642300|0.165|0.155|0.158|0.16|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|2|NASDAQ|2020|01|27|15|30|943400|0.17|0.15|0.161|0.17|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|3|NASDAQ|2020|01|24|15|30|1880100|0.185|0.145|0.17|0.182|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|4|NASDAQ|2020|01|23|15|30|1143600|0.193|0.18|0.182|0.193|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|5|NASDAQ|2020|01|22|15|30|3416000|0.195|0.17|0.182|0.18|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|6|NASDAQ|2020|01|21|15|30|1908900|0.18|0.17|0.176|0.18|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|7|NASDAQ|2020|01|17|15|30|2703000|0.19|0.176|0.183|0.189|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|8|NASDAQ|2020|01|16|15|30|2842700|0.2|0.18|0.186|0.19|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|9|NASDAQ|2020|01|15|15|30|4641900|0.21|0.176|0.19|0.176|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|10|NASDAQ|2020|01|14|15|30|2949500|0.199|0.175|0.18|0.183|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|11|NASDAQ|2020|01|13|15|30|5559200|0.2|0.165|0.19|0.2|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|12|NASDAQ|2020|01|10|15|30|2321400|0.22|0.2|0.203|0.21|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|13|NASDAQ|2020|01|09|15|30|6105900|0.233|0.19|0.215|0.2|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|14|NASDAQ|2020|01|08|15|30|4979600|0.215|0.183|0.208|0.207|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|15|NASDAQ|2020|01|07|15|30|6623800|0.252|0.201|0.23|0.234|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|16|NASDAQ|2020|01|06|15|30|14253800|0.275|0.2|0.26|0.221|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|17|NASDAQ|2020|01|03|15|30|7166100|0.219|0.185|0.195|0.205|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|18|NASDAQ|2020|01|02|15|30|7776100|0.214|0.153|0.2|0.153|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|19|NASDAQ|2019|12|31|15|30|4388000|0.178|0.15|0.157|0.17|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|20|NASDAQ|2019|12|30|15|30|4230200|0.171|0.142|0.165|0.145|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|21|NASDAQ|2019|12|27|15|30|977900|0.155|0.141|0.141|0.149|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|22|NASDAQ|2019|12|26|15|30|2515200|0.156|0.137|0.146|0.14|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|23|NASDAQ|2019|12|24|15|30|698900|0.142|0.131|0.139|0.138|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
SGBX|24|NASDAQ|2019|12|23|15|30|1428000|0.145|0.136|0.14|0.14|conglomerates|2.63|0.8|0.8|-|-|2|usa|0|0|103.400002|Feb 13 AMC|conglomerates|19.4|3.7
