empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
VERY|0|NASDAQ|2020|01|29|15|30|2300|13.4|12.4|13.4|12.4|lifeinsurance|87.199997|-|-|-|-|382|usa|0.06|0.05|-|-|financial|78|193.449997
VERY|1|NASDAQ|2020|01|28|15|30|3100|12.94|12|12.45|12|lifeinsurance|87.199997|-|-|-|-|382|usa|0.06|0.05|-|-|financial|78|193.449997
VERY|2|NASDAQ|2020|01|27|15|30|4100|13.45|11.88|12.175|11.88|lifeinsurance|87.199997|-|-|-|-|382|usa|0.06|0.05|-|-|financial|78|193.449997
VERY|3|NASDAQ|2020|01|24|15|30|500|12.094|12.026|12.026|12.094|lifeinsurance|87.199997|-|-|-|-|382|usa|0.06|0.05|-|-|financial|78|193.449997
VERY|4|NASDAQ|2020|01|23|15|30|0|12.448|12.448|12.448|12.448|lifeinsurance|87.199997|-|-|-|-|382|usa|0.06|0.05|-|-|financial|78|193.449997
VERY|5|NASDAQ|2020|01|22|15|30|1200|12.65|12.448|12.448|12.58|lifeinsurance|87.199997|-|-|-|-|382|usa|0.06|0.05|-|-|financial|78|193.449997
VERY|6|NASDAQ|2020|01|21|15|30|600|12.6|12.5|12.58|12.5|lifeinsurance|87.199997|-|-|-|-|382|usa|0.06|0.05|-|-|financial|78|193.449997
VERY|7|NASDAQ|2020|01|17|15|30|1000|12.6|12.17|12.58|12.17|lifeinsurance|87.199997|-|-|-|-|382|usa|0.06|0.05|-|-|financial|78|193.449997
VERY|8|NASDAQ|2020|01|16|15|30|1800|12.55|12.08|12.425|12.55|lifeinsurance|87.199997|-|-|-|-|382|usa|0.06|0.05|-|-|financial|78|193.449997
VERY|9|NASDAQ|2020|01|15|15|30|2000|12.6|12.325|12.325|12.6|lifeinsurance|87.199997|-|-|-|-|382|usa|0.06|0.05|-|-|financial|78|193.449997
VERY|10|NASDAQ|2020|01|14|15|30|0|12.535|12.535|12.535|12.535|lifeinsurance|87.199997|-|-|-|-|382|usa|0.06|0.05|-|-|financial|78|193.449997
