empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ATAX|0|NASDAQ|2020|01|31|15|30|216800|8.1|7.93|8.02|7.97|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|1|NASDAQ|2020|01|30|15|30|123600|7.92|7.8|7.92|7.84|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|2|NASDAQ|2020|01|29|15|30|105200|7.86|7.7|7.84|7.7|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|3|NASDAQ|2020|01|28|15|30|73300|7.78|7.69|7.71|7.75|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|4|NASDAQ|2020|01|27|15|30|70300|7.76|7.66|7.75|7.66|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|5|NASDAQ|2020|01|24|15|30|78500|7.75|7.65|7.68|7.75|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|6|NASDAQ|2020|01|23|15|30|67000|7.74|7.61|7.74|7.64|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|7|NASDAQ|2020|01|22|15|30|46200|7.68|7.62|7.63|7.66|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|8|NASDAQ|2020|01|21|15|30|70600|7.7|7.59|7.66|7.6|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|9|NASDAQ|2020|01|17|15|30|31900|7.61|7.58|7.61|7.61|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|10|NASDAQ|2020|01|16|15|30|67000|7.67|7.58|7.58|7.64|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|11|NASDAQ|2020|01|15|15|30|73700|7.7|7.57|7.63|7.63|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|12|NASDAQ|2020|01|14|15|30|98400|7.63|7.57|7.61|7.58|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|13|NASDAQ|2020|01|13|15|30|132200|7.63|7.5|7.56|7.58|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|14|NASDAQ|2020|01|10|15|30|67900|7.61|7.53|7.6|7.53|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|15|NASDAQ|2020|01|09|15|30|107100|7.65|7.5|7.53|7.59|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|16|NASDAQ|2020|01|08|15|30|79300|7.65|7.51|7.59|7.55|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|17|NASDAQ|2020|01|07|15|30|73200|7.65|7.55|7.55|7.61|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|18|NASDAQ|2020|01|06|15|30|220900|7.71|7.58|7.58|7.71|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|19|NASDAQ|2020|01|03|15|30|57500|7.74|7.6|7.71|7.6|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|20|NASDAQ|2020|01|02|15|30|105800|7.71|7.6|7.64|7.66|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|21|NASDAQ|2019|12|31|15|30|178100|7.76|7.56|7.7|7.76|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|22|NASDAQ|2019|12|30|15|30|61200|7.8|7.69|7.74|7.78|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|23|NASDAQ|2019|12|27|15|30|163300|7.9|7.73|7.84|7.89|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|24|NASDAQ|2019|12|26|15|30|48200|7.86|7.71|7.84|7.8|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|25|NASDAQ|2019|12|24|15|30|59200|7.86|7.7|7.86|7.79|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|26|NASDAQ|2019|12|23|15|30|55100|7.78|7.7|7.77|7.78|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|27|NASDAQ|2019|12|20|15|30|59200|7.8|7.69|7.76|7.72|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|28|NASDAQ|2019|12|19|15|30|123500|7.75|7.58|7.69|7.65|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|29|NASDAQ|2019|12|18|15|30|65200|7.72|7.58|7.62|7.6|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|30|NASDAQ|2019|12|17|15|30|97700|7.68|7.5|7.6|7.58|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|31|NASDAQ|2019|12|16|15|30|112100|7.75|7.55|7.62|7.65|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|32|NASDAQ|2019|12|13|15|30|291900|7.66|7.53|7.62|7.62|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|33|NASDAQ|2019|12|12|15|30|67600|7.67|7.53|7.57|7.53|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|34|NASDAQ|2019|12|11|15|30|62400|7.58|7.5|7.55|7.52|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|35|NASDAQ|2019|12|10|15|30|107000|7.59|7.47|7.52|7.5|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|36|NASDAQ|2019|12|09|15|30|108900|7.58|7.47|7.51|7.56|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|37|NASDAQ|2019|12|06|15|30|120400|7.58|7.5|7.58|7.5|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|38|NASDAQ|2019|12|05|15|30|75300|7.5|7.34|7.44|7.38|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|39|NASDAQ|2019|12|04|15|30|65600|7.5|7.34|7.36|7.38|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|40|NASDAQ|2019|12|03|15|30|78100|7.38|7.33|7.37|7.35|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|41|NASDAQ|2019|12|02|15|30|82600|7.49|7.31|7.36|7.43|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
ATAX|42|NASDAQ|2019|11|29|15|30|14000|7.47|7.43|7.44|7.45|mortgageinvestment|1.5|-|-|16.780001|6.23|-|usa|1.7|1.66|-|Feb 27 AMC|financial|9.1|481.76001
