empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
BBBY|0|NASDAQ|2020|01|31|15|30|8897200|15.02|14.1|14.25|15|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|1|NASDAQ|2020|01|30|15|30|7832500|16.200001|14.79|14.95|16.040001|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|2|NASDAQ|2020|01|29|15|30|2458300|16.379999|16.07|16.209999|16.18|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|3|NASDAQ|2020|01|28|15|30|3301400|16.219999|15.79|16.120001|16.08|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|4|NASDAQ|2020|01|27|15|30|5301500|16.370001|15.83|15.92|15.88|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|5|NASDAQ|2020|01|24|15|30|6599500|16.42|15.9|16.35|16.309999|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|6|NASDAQ|2020|01|23|15|30|3616600|16.120001|15.42|16.07|15.77|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|7|NASDAQ|2020|01|22|15|30|4254800|16.1|15.67|15.88|16.1|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|8|NASDAQ|2020|01|21|15|30|7950900|16.15|15.51|15.98|15.59|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|9|NASDAQ|2020|01|17|15|30|4152200|15.5|15.2|15.39|15.38|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|10|NASDAQ|2020|01|16|15|30|6302200|15.77|15.16|15.36|15.6|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|11|NASDAQ|2020|01|15|15|30|7048900|15.57|15.02|15.57|15.25|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|12|NASDAQ|2020|01|14|15|30|7602600|15.39|14.72|15.39|14.9|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|13|NASDAQ|2020|01|13|15|30|9935300|15.03|14.31|15|14.57|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|14|NASDAQ|2020|01|10|15|30|19802100|14.56|13.8|14.56|14|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|15|NASDAQ|2020|01|09|15|30|40361300|14.9|13.31|13.45|14.49|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|16|NASDAQ|2020|01|08|15|30|13688800|17.110001|16.540001|16.65|16.74|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|17|NASDAQ|2020|01|07|15|30|7960500|16.93|16.110001|16.84|16.6|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|18|NASDAQ|2020|01|06|15|30|8120600|16.93|16.200001|16.559999|16.48|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|19|NASDAQ|2020|01|03|15|30|4116400|16.370001|15.86|16.08|16.08|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|20|NASDAQ|2020|01|02|15|30|6695000|17.440001|16.16|16.33|17.43|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|21|NASDAQ|2019|12|31|15|30|3216000|17.49|17.209999|17.299999|17.309999|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|22|NASDAQ|2019|12|30|15|30|3839200|17.67|17.02|17.32|17.049999|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|23|NASDAQ|2019|12|27|15|30|3670200|17.469999|17.030001|17.08|17.360001|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|24|NASDAQ|2019|12|26|15|30|3982600|17.43|16.98|17.25|17.280001|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|25|NASDAQ|2019|12|24|15|30|5696300|17.68|16.75|17.280001|17.25|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|26|NASDAQ|2019|12|23|15|30|4325700|16.82|16.35|16.700001|16.690001|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|27|NASDAQ|2019|12|20|15|30|7591100|17.379999|16.68|16.700001|17.190001|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|28|NASDAQ|2019|12|19|15|30|5148100|17.77|17.139999|17.200001|17.66|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|29|NASDAQ|2019|12|18|15|30|10561100|17.790001|16.93|17.719999|17.15|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|30|NASDAQ|2019|12|17|15|30|14431600|17.15|15.17|16.879999|15.26|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|31|NASDAQ|2019|12|16|15|30|5447600|15.66|15.11|15.18|15.47|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|32|NASDAQ|2019|12|13|15|30|6416000|15.83|15.07|15.33|15.74|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|33|NASDAQ|2019|12|12|15|30|4787200|15.92|15.26|15.83|15.39|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|34|NASDAQ|2019|12|11|15|30|9196100|15.59|15.17|15.55|15.48|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|35|NASDAQ|2019|12|10|15|30|5566400|15.62|15.13|15.52|15.49|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|36|NASDAQ|2019|12|09|15|30|8024700|15.71|14.7|15.41|14.77|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|37|NASDAQ|2019|12|06|15|30|4789400|15.13|14.68|14.77|14.75|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|38|NASDAQ|2019|12|05|15|30|4023900|15.22|14.41|14.44|14.88|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|39|NASDAQ|2019|12|04|15|30|4099700|14.88|14.1|14.81|14.14|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|40|NASDAQ|2019|12|03|15|30|4167800|14.28|13.86|14|14.14|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
BBBY|41|NASDAQ|2019|12|02|15|30|5659200|14.95|14.45|14.53|14.66|homefurnishingstores|0.6|0.5|1.4|-|4.77|62000|usa|0.86|0.86|15.61|Jan 08 AMC|services|-|1900
