empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
BOKF|0|NASDAQ|2020|01|31|15|30|194100|80.07|78.440002|78.900002|79.910004|regionalsouthwestbanks|0.6|-|-|11.72|2.59|5313|usa|0.06|0.06|3.79|Jan 22 BMO|financial|41.299999|5680
BOKF|1|NASDAQ|2020|01|30|15|30|179300|80.480003|78.709999|80.410004|78.709999|regionalsouthwestbanks|0.6|-|-|11.72|2.59|5313|usa|0.06|0.06|3.79|Jan 22 BMO|financial|41.299999|5680
BOKF|2|NASDAQ|2020|01|29|15|30|172600|81.629997|79.25|79.599998|80.5|regionalsouthwestbanks|0.6|-|-|11.72|2.59|5313|usa|0.06|0.06|3.79|Jan 22 BMO|financial|41.299999|5680
BOKF|3|NASDAQ|2020|01|28|15|30|212500|81.150002|80.010002|80.309998|80.769997|regionalsouthwestbanks|0.6|-|-|11.72|2.59|5313|usa|0.06|0.06|3.79|Jan 22 BMO|financial|41.299999|5680
BOKF|4|NASDAQ|2020|01|27|15|30|418200|80.540001|79.660004|80.040001|80.209999|regionalsouthwestbanks|0.6|-|-|11.72|2.59|5313|usa|0.06|0.06|3.79|Jan 22 BMO|financial|41.299999|5680
BOKF|5|NASDAQ|2020|01|24|15|30|267300|82.660004|80.800003|81.260002|82.360001|regionalsouthwestbanks|0.6|-|-|11.72|2.59|5313|usa|0.06|0.06|3.79|Jan 22 BMO|financial|41.299999|5680
BOKF|6|NASDAQ|2020|01|23|15|30|349600|82.339996|79.459999|82.190002|80.290001|regionalsouthwestbanks|0.6|-|-|11.72|2.59|5313|usa|0.06|0.06|3.79|Jan 22 BMO|financial|41.299999|5680
BOKF|7|NASDAQ|2020|01|22|15|30|474200|83.599998|79.540001|82.93|80|regionalsouthwestbanks|0.6|-|-|11.72|2.59|5313|usa|0.06|0.06|3.79|Jan 22 BMO|financial|41.299999|5680
BOKF|8|NASDAQ|2020|01|21|15|30|254900|86.300003|85|85.349998|86.169998|regionalsouthwestbanks|0.6|-|-|11.72|2.59|5313|usa|0.06|0.06|3.79|Jan 22 BMO|financial|41.299999|5680
BOKF|9|NASDAQ|2020|01|17|15|30|181400|87.059998|85.949997|86.540001|86.980003|regionalsouthwestbanks|0.6|-|-|11.72|2.59|5313|usa|0.06|0.06|3.79|Jan 22 BMO|financial|41.299999|5680
BOKF|10|NASDAQ|2020|01|16|15|30|108800|87.120003|86.400002|86.629997|86.739998|regionalsouthwestbanks|0.6|-|-|11.72|2.59|5313|usa|0.06|0.06|3.79|Jan 22 BMO|financial|41.299999|5680
BOKF|11|NASDAQ|2020|01|15|15|30|143900|86.269997|85.550003|86.139999|85.889999|regionalsouthwestbanks|0.6|-|-|11.72|2.59|5313|usa|0.06|0.06|3.79|Jan 22 BMO|financial|41.299999|5680
BOKF|12|NASDAQ|2020|01|14|15|30|131400|86.309998|85.849998|86.190002|85.870003|regionalsouthwestbanks|0.6|-|-|11.72|2.59|5313|usa|0.06|0.06|3.79|Jan 22 BMO|financial|41.299999|5680
BOKF|13|NASDAQ|2020|01|13|15|30|114500|86.190002|85.18|86.160004|85.410004|regionalsouthwestbanks|0.6|-|-|11.72|2.59|5313|usa|0.06|0.06|3.79|Jan 22 BMO|financial|41.299999|5680
