empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
DXYN|0|NASDAQ|2020|01|31|15|30|3100|1.44|1.41|1.43|1.44|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|1|NASDAQ|2020|01|30|15|30|16400|1.43|1.36|1.39|1.37|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|2|NASDAQ|2020|01|29|15|30|4000|1.42|1.37|1.39|1.42|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|3|NASDAQ|2020|01|28|15|30|11900|1.43|1.34|1.39|1.34|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|4|NASDAQ|2020|01|27|15|30|22100|1.37|1.31|1.31|1.35|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|5|NASDAQ|2020|01|24|15|30|22100|1.36|1.33|1.36|1.35|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|6|NASDAQ|2020|01|23|15|30|26700|1.4|1.35|1.35|1.4|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|7|NASDAQ|2020|01|22|15|30|24800|1.46|1.37|1.37|1.4|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|8|NASDAQ|2020|01|21|15|30|7300|1.46|1.33|1.45|1.33|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|9|NASDAQ|2020|01|17|15|30|15400|1.45|1.34|1.37|1.41|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|10|NASDAQ|2020|01|16|15|30|17300|1.42|1.35|1.4|1.41|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|11|NASDAQ|2020|01|15|15|30|10900|1.47|1.34|1.41|1.34|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|12|NASDAQ|2020|01|14|15|30|37000|1.48|1.31|1.37|1.43|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|13|NASDAQ|2020|01|13|15|30|21600|1.44|1.36|1.42|1.36|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|14|NASDAQ|2020|01|10|15|30|13400|1.43|1.4|1.4|1.43|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|15|NASDAQ|2020|01|09|15|30|11800|1.43|1.4|1.41|1.43|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|16|NASDAQ|2020|01|08|15|30|19900|1.45|1.4|1.4|1.4|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|17|NASDAQ|2020|01|07|15|30|44500|1.46|1.35|1.45|1.35|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|18|NASDAQ|2020|01|06|15|30|73300|1.55|1.38|1.45|1.54|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|19|NASDAQ|2020|01|03|15|30|147800|1.6|1.31|1.54|1.31|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|20|NASDAQ|2020|01|02|15|30|35300|1.34|1.12|1.31|1.12|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|21|NASDAQ|2019|12|31|15|30|86800|1.18|1.1|1.14|1.15|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|22|NASDAQ|2019|12|30|15|30|172200|1.17|1.1|1.13|1.15|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|23|NASDAQ|2019|12|27|15|30|45500|1.21|1.15|1.15|1.18|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
DXYN|24|NASDAQ|2019|12|26|15|30|84700|1.22|1.06|1.18|1.06|textileindustrial|11.43|0.8|2.4|-|-|1646|usa|2.64|2.44|-|Mar 05 BMO|industrialgoods|40.200001|22.690001
