empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
EQBK|0|NASDAQ|2020|01|31|15|30|54000|27.620001|26.59|26.860001|27.559999|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|1|NASDAQ|2020|01|30|15|30|26900|27.82|26.91|27.610001|26.91|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|2|NASDAQ|2020|01|29|15|30|26000|27.99|27.09|27.16|27.82|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|3|NASDAQ|2020|01|28|15|30|28100|28.52|27.93|27.940001|28.52|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|4|NASDAQ|2020|01|27|15|30|48100|28.49|27.5|28.25|27.5|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|5|NASDAQ|2020|01|24|15|30|120400|28.75|26.49|28.059999|28.75|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|6|NASDAQ|2020|01|23|15|30|34500|27.559999|26.889999|27.389999|27.24|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|7|NASDAQ|2020|01|22|15|30|55400|27.950001|27.200001|27.25|27.860001|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|8|NASDAQ|2020|01|21|15|30|45000|28.379999|27.83|27.879999|28.25|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|9|NASDAQ|2020|01|17|15|30|98500|28.76|28.139999|28.290001|28.75|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|10|NASDAQ|2020|01|16|15|30|37800|28.799999|28.32|28.540001|28.32|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|11|NASDAQ|2020|01|15|15|30|37200|28.370001|27.969999|28.1|28.280001|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|12|NASDAQ|2020|01|14|15|30|30400|28.799999|28.41|28.49|28.77|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|13|NASDAQ|2020|01|13|15|30|31400|28.950001|28.49|28.75|28.610001|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|14|NASDAQ|2020|01|10|15|30|31500|29.110001|28.4|28.6|29.110001|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|15|NASDAQ|2020|01|09|15|30|32600|29.469999|29.040001|29.08|29.049999|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|16|NASDAQ|2020|01|08|15|30|42300|29.42|28.879999|29.309999|29.18|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|17|NASDAQ|2020|01|07|15|30|70100|29.51|28.9|29.049999|29.33|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|18|NASDAQ|2020|01|06|15|30|47300|29.780001|28.25|29.41|29.74|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|19|NASDAQ|2020|01|03|15|30|35100|30.139999|29.75|29.940001|29.77|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|20|NASDAQ|2020|01|02|15|30|48700|30.85|29.84|30.129999|30.85|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|21|NASDAQ|2019|12|31|15|30|43100|30.92|30.27|30.870001|30.52|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|22|NASDAQ|2019|12|30|15|30|37900|30.73|30.219999|30.610001|30.51|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|23|NASDAQ|2019|12|27|15|30|38500|30.549999|30.16|30.51|30.440001|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|24|NASDAQ|2019|12|26|15|30|19600|30.68|30.280001|30.48|30.68|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|25|NASDAQ|2019|12|24|15|30|38200|30.82|30.51|30.57|30.58|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|26|NASDAQ|2019|12|23|15|30|42900|31.469999|30.35|30.52|31.469999|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|27|NASDAQ|2019|12|20|15|30|186100|31.85|31.120001|31.58|31.75|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
EQBK|28|NASDAQ|2019|12|19|15|30|44200|31.91|31.219999|31.52|31.35|regionalmidwestbanks|5.38|-|-|16.559999|-|627|usa|0.06|0.06|6.16|Jan 23 AMC|financial|69.699997|426.269989
