empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
QADB|0|NASDAQ|2020|03|20|14|30|0|22.23|22.23|22.23|22.23|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|1|NASDAQ|2020|03|19|14|30|1300|22.23|20.530001|22.23|21.049999|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|2|NASDAQ|2020|03|18|14|30|800|22.5|21.049999|21.049999|22.5|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|3|NASDAQ|2020|03|17|14|30|0|23.549999|23.549999|23.549999|23.549999|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|4|NASDAQ|2020|03|16|14|30|700|23.549999|23.549999|23.549999|23.549999|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|5|NASDAQ|2020|03|13|14|30|400|25|24.9|24.9|25|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|6|NASDAQ|2020|03|12|14|30|2000|25.5|25.5|25.5|25.5|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|7|NASDAQ|2020|03|11|14|30|400|27.5|27.5|27.5|27.5|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|8|NASDAQ|2020|03|10|14|30|400|28.5|28.5|28.5|28.5|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|9|NASDAQ|2020|03|09|14|30|500|28.5|28.5|28.5|28.5|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|10|NASDAQ|2020|03|06|15|30|400|30.5|30.5|30.5|30.5|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|11|NASDAQ|2020|03|05|15|30|0|33.02|33.02|33.02|33.02|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|12|NASDAQ|2020|03|04|15|30|4600|33.599998|30.99|33.02|33.419998|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|13|NASDAQ|2020|03|03|15|30|4800|34.549999|32.09|33.650002|33.310001|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|14|NASDAQ|2020|03|02|15|30|0|33.5|33.5|33.5|33.5|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|15|NASDAQ|2020|02|28|15|30|0|33.5|33.5|33.5|33.5|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|16|NASDAQ|2020|02|27|15|30|800|33.5|33.5|33.5|33.5|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|17|NASDAQ|2020|02|26|15|30|500|34|34|34|34|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|18|NASDAQ|2020|02|25|15|30|300|34.040001|34|34.02|34|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|19|NASDAQ|2020|02|24|15|30|0|35.5|35.5|35.5|35.5|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|20|NASDAQ|2020|02|21|15|30|300|35.5|35.5|35.5|35.5|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|21|NASDAQ|2020|02|20|15|30|100|37|37|37|37|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|22|NASDAQ|2020|02|19|15|30|1400|37|36.98|37|36.98|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|23|NASDAQ|2020|02|18|15|30|0|35.849998|35.849998|35.849998|35.849998|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|24|NASDAQ|2020|02|14|15|30|1200|35.849998|35.669998|35.849998|35.669998|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|25|NASDAQ|2020|02|13|15|30|200|38|38|38|38|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|26|NASDAQ|2020|02|12|15|30|300|37|37|37|37|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
QADB|27|NASDAQ|2020|02|11|15|30|0|35.009998|35.009998|35.009998|35.009998|applicationsoftware|77.010002|-|-|-|0.96|-|usa|-|-|-|Mar 25 AMC|technology|11.58|83.029999
