empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SAMG|0|NASDAQ|2020|03|20|14|30|55000|8.99|6.21|7.32|8.99|assetmanagement|0.2|-|-|9.66|6.77|139|usa|0.25|0.25|17.360001|Mar 12 BMO|financial|68.900002|138.779999
SAMG|1|NASDAQ|2020|03|19|14|30|27400|8.79|7.25|8.76|8.2|assetmanagement|0.2|-|-|9.66|6.77|139|usa|0.25|0.25|17.360001|Mar 12 BMO|financial|68.900002|138.779999
SAMG|2|NASDAQ|2020|03|18|14|30|22400|10.3|8.57|8.79|10|assetmanagement|0.2|-|-|9.66|6.77|139|usa|0.25|0.25|17.360001|Mar 12 BMO|financial|68.900002|138.779999
SAMG|3|NASDAQ|2020|03|17|14|30|52700|11.44|7.4|11.44|7.99|assetmanagement|0.2|-|-|9.66|6.77|139|usa|0.25|0.25|17.360001|Mar 12 BMO|financial|68.900002|138.779999
SAMG|4|NASDAQ|2020|03|16|14|30|33300|8.77|8|8.04|8.61|assetmanagement|0.2|-|-|9.66|6.77|139|usa|0.25|0.25|17.360001|Mar 12 BMO|financial|68.900002|138.779999
SAMG|5|NASDAQ|2020|03|13|14|30|36200|9.52|8.07|9.44|9.05|assetmanagement|0.2|-|-|9.66|6.77|139|usa|0.25|0.25|17.360001|Mar 12 BMO|financial|68.900002|138.779999
SAMG|6|NASDAQ|2020|03|12|14|30|40600|9.82|8.5|8.76|9.5|assetmanagement|0.2|-|-|9.66|6.77|139|usa|0.25|0.25|17.360001|Mar 12 BMO|financial|68.900002|138.779999
SAMG|7|NASDAQ|2020|03|11|14|30|26300|9.98|9.35|9.7|9.52|assetmanagement|0.2|-|-|9.66|6.77|139|usa|0.25|0.25|17.360001|Mar 12 BMO|financial|68.900002|138.779999
SAMG|8|NASDAQ|2020|03|10|14|30|25500|10.65|9.18|9.88|10.65|assetmanagement|0.2|-|-|9.66|6.77|139|usa|0.25|0.25|17.360001|Mar 12 BMO|financial|68.900002|138.779999
SAMG|9|NASDAQ|2020|03|09|14|30|20100|11.09|10.3|10.52|11.01|assetmanagement|0.2|-|-|9.66|6.77|139|usa|0.25|0.25|17.360001|Mar 12 BMO|financial|68.900002|138.779999
SAMG|10|NASDAQ|2020|03|06|15|30|19700|11.25|11|11.16|11|assetmanagement|0.2|-|-|9.66|6.77|139|usa|0.25|0.25|17.360001|Mar 12 BMO|financial|68.900002|138.779999
SAMG|11|NASDAQ|2020|03|05|15|30|15100|12.07|11.25|11.32|11.89|assetmanagement|0.2|-|-|9.66|6.77|139|usa|0.25|0.25|17.360001|Mar 12 BMO|financial|68.900002|138.779999
SAMG|12|NASDAQ|2020|03|04|15|30|9100|11.99|11.74|11.94|11.79|assetmanagement|0.2|-|-|9.66|6.77|139|usa|0.25|0.25|17.360001|Mar 12 BMO|financial|68.900002|138.779999
