empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
TNDM|0|NASDAQ|2020|03|20|14|30|2107200|56.32|49.509998|49.950001|51.84|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|1|NASDAQ|2020|03|19|14|30|1319900|51.98|47.049999|51.310001|47.759998|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|2|NASDAQ|2020|03|18|14|30|1826000|49.43|43.689999|47.369999|46.150002|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|3|NASDAQ|2020|03|17|14|30|2005300|52.169998|44.950001|49.299999|48.799999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|4|NASDAQ|2020|03|16|14|30|1822100|54.110001|47.029999|48.009998|49.349998|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|5|NASDAQ|2020|03|13|14|30|1561100|62.474998|55.509998|57.240002|61.549999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|6|NASDAQ|2020|03|12|14|30|1758800|63.880001|54|58.91|60.09|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|7|NASDAQ|2020|03|11|14|30|1653400|73|64.239998|66.330002|69.75|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|8|NASDAQ|2020|03|10|14|30|1101300|72.695|68.400002|71.389999|71.839996|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|9|NASDAQ|2020|03|09|14|30|1575100|72.089996|68.690002|70.199997|69.449997|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|10|NASDAQ|2020|03|06|15|30|950800|76.809998|72.919998|75.440002|75.43|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|11|NASDAQ|2020|03|05|15|30|977000|80.489998|76.010002|77.580002|79.209999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|12|NASDAQ|2020|03|04|15|30|976600|80.610001|77.144997|80.610001|78.510002|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|13|NASDAQ|2020|03|03|15|30|1698300|80.43|75.139999|77.669998|78.230003|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|14|NASDAQ|2020|03|02|15|30|1463200|78.904999|73.709999|78.760002|76.709999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|15|NASDAQ|2020|02|28|15|30|1846300|74.889999|71.139999|74.660004|72.449997|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|16|NASDAQ|2020|02|27|15|30|2281600|78.940002|72.169998|75.050003|73.25|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|17|NASDAQ|2020|02|26|15|30|1505900|80|75.459999|76.529999|77.720001|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|18|NASDAQ|2020|02|25|15|30|3078500|85.529999|76.290001|77.940002|81.760002|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|19|NASDAQ|2020|02|24|15|30|2246000|87.779999|82.739998|86.790001|84.5|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|20|NASDAQ|2020|02|21|15|30|1351500|90.129997|86.805|88|89.839996|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|21|NASDAQ|2020|02|20|15|30|1310700|91.650002|87.150002|89.940002|90.25|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|22|NASDAQ|2020|02|19|15|30|1564100|90.699997|87.970001|90.040001|89.010002|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|23|NASDAQ|2020|02|18|15|30|1828200|89.82|85.32|89.540001|86|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|24|NASDAQ|2020|02|14|15|30|1835500|87.199997|84.5|86.029999|86.339996|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|25|NASDAQ|2020|02|13|15|30|1959300|83.910004|80|83.019997|80.790001|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|26|NASDAQ|2020|02|12|15|30|1764200|82.589996|78.989998|81.050003|79.050003|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|27|NASDAQ|2020|02|11|15|30|1248100|80.199997|77.774002|78.720001|79.800003|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|28|NASDAQ|2020|02|10|15|30|2074500|80.230003|74.540001|79.419998|74.580002|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|29|NASDAQ|2020|02|07|15|30|634700|75.510002|74.220001|74.760002|75|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|30|NASDAQ|2020|02|06|15|30|1526200|77.059998|74.220001|75|75.190002|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|31|NASDAQ|2020|02|05|15|30|1228400|76.110001|74.010002|74.309998|76.010002|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|32|NASDAQ|2020|02|04|15|30|2416100|78.75|74.739998|75.07|78.139999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|33|NASDAQ|2020|02|03|15|30|1290600|76.449997|73.339996|75.900002|74.949997|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|34|NASDAQ|2020|01|31|15|30|1795600|76.989998|72.974998|76.040001|73.389999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|35|NASDAQ|2020|01|30|15|30|3968600|78.410004|71.550003|74.029999|76.93|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|36|NASDAQ|2020|01|29|15|30|4260100|77.519997|70.360001|76.989998|70.790001|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|37|NASDAQ|2020|01|28|15|30|1005400|70.830002|68.389999|70.589996|69.199997|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|38|NASDAQ|2020|01|27|15|30|1114900|69|66.129997|68.849998|67.18|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|39|NASDAQ|2020|01|24|15|30|1136600|70|67.849998|69.099998|68.959999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|40|NASDAQ|2020|01|23|15|30|1049800|69.595001|67.550003|68.540001|69.32|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|41|NASDAQ|2020|01|22|15|30|1118300|71.355003|69.18|69.379997|70|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|42|NASDAQ|2020|01|21|15|30|1030800|70.389999|68.599998|69.540001|68.669998|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|43|NASDAQ|2020|01|17|15|30|1242800|70.050003|67.900002|68.589996|69.720001|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|44|NASDAQ|2020|01|16|15|30|1678200|70.650002|67.720001|69.519997|67.830002|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|45|NASDAQ|2020|01|15|15|30|1081100|68.400002|66.589996|67.720001|67.18|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|46|NASDAQ|2020|01|14|15|30|1352900|68.559998|67|67.349998|67.620003|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|47|NASDAQ|2020|01|13|15|30|1661300|68.099998|65.129997|67.910004|67.410004|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|48|NASDAQ|2020|01|10|15|30|1790600|67.440002|65.349998|67.25|66.07|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|49|NASDAQ|2020|01|09|15|30|2261000|66.150002|61.560001|65.470001|62.540001|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|50|NASDAQ|2020|01|08|15|30|1460300|62.77|60.759998|62.080002|61.060001|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|51|NASDAQ|2020|01|07|15|30|842000|62.25|60.43|61.369999|60.880001|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|52|NASDAQ|2020|01|06|15|30|1036700|61.18|58.599998|61.09|58.959999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|53|NASDAQ|2020|01|03|15|30|657100|60.119999|58.599998|59.349998|59.259998|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|54|NASDAQ|2020|01|02|15|30|1268800|60.587002|58.619999|60.209999|59.84|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|55|NASDAQ|2019|12|31|15|30|1060600|59.950001|58.439999|59.610001|58.560001|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|56|NASDAQ|2019|12|30|15|30|1029400|60.472|58.580002|58.830002|60.16|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|57|NASDAQ|2019|12|27|15|30|963400|60.75|59.580002|60.220001|60.529999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|58|NASDAQ|2019|12|26|15|30|943200|61.620998|60.110001|60.279999|61.400002|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|59|NASDAQ|2019|12|24|15|30|446600|61.619999|60.25|61.43|60.709999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|60|NASDAQ|2019|12|23|15|30|834300|61.25|60|60.709999|61.110001|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|61|NASDAQ|2019|12|20|15|30|1857600|62.419998|59.5|60.939999|60.540001|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|62|NASDAQ|2019|12|19|15|30|2109800|63.360001|60|60.459999|63.169998|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|63|NASDAQ|2019|12|18|15|30|1761300|63.650002|60.810001|63.59|62.330002|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|64|NASDAQ|2019|12|17|15|30|1746400|63.080002|60.950001|62.599998|61.34|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|65|NASDAQ|2019|12|16|15|30|2538200|61.987999|58.130001|60.709999|61.900002|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|66|NASDAQ|2019|12|13|15|30|3638400|63.470001|57.810001|60.759998|57.860001|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|67|NASDAQ|2019|12|12|15|30|2065000|60.349998|57.25|57.689999|60.150002|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|68|NASDAQ|2019|12|11|15|30|857500|61.09|59.18|60.27|60.66|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|69|NASDAQ|2019|12|10|15|30|2122700|61.59|58.804001|60.445|58.849998|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|70|NASDAQ|2019|12|09|15|30|1557200|61.299999|58.689999|58.709999|61.200001|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|71|NASDAQ|2019|12|06|15|30|1344900|62.599998|61|61.220001|62.450001|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|72|NASDAQ|2019|12|05|15|30|1594100|64.480003|61.639999|61.880001|63.650002|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|73|NASDAQ|2019|12|04|15|30|3302100|68.769997|62.52|63.740002|67.989998|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|74|NASDAQ|2019|12|03|15|30|1514800|68.809998|65.660004|68.389999|66.07|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|75|NASDAQ|2019|12|02|15|30|930500|69.400002|66.440002|67.43|69.25|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|76|NASDAQ|2019|11|29|15|30|377700|69.790001|68.43|69.029999|69.230003|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|77|NASDAQ|2019|11|27|15|30|791300|71.779999|68.849998|69.379997|70.459999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|78|NASDAQ|2019|11|26|15|30|1073800|71.989998|70.080002|70.639999|71.040001|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|79|NASDAQ|2019|11|25|15|30|1391400|71.879997|68.904999|71.190002|69.010002|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|80|NASDAQ|2019|11|22|15|30|735800|68.720001|66.949997|68.43|68.209999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|81|NASDAQ|2019|11|21|15|30|997400|69.720001|66.68|67.839996|68.550003|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|82|NASDAQ|2019|11|20|15|30|2011400|70|66.209999|68.550003|67.239998|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|83|NASDAQ|2019|11|19|15|30|1527400|67.400002|63.209999|66.739998|63.209999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|84|NASDAQ|2019|11|18|15|30|1021900|66.190002|62.75|63.119999|64.599998|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|85|NASDAQ|2019|11|15|15|30|884200|64.389999|62.740002|64.269997|63.18|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|86|NASDAQ|2019|11|14|15|30|1137700|64.352997|62|62.57|62.75|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|87|NASDAQ|2019|11|13|15|30|1250100|62.720001|59.919998|62.639999|60.669998|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|88|NASDAQ|2019|11|12|15|30|1167200|61.650002|58.52|61.43|58.549999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|89|NASDAQ|2019|11|11|15|30|1136500|59.549999|56.610001|58.73|57.009998|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|90|NASDAQ|2019|11|08|15|30|7125700|60.709999|52.310001|57.360001|58.77|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|91|NASDAQ|2019|11|07|15|30|1646600|61.470001|58.060001|59.209999|58.060001|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|92|NASDAQ|2019|11|06|15|30|2038500|58.84|56.610001|57.200001|58.439999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|93|NASDAQ|2019|11|05|15|30|4601100|63.48|57.650002|58.299999|59.630001|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|94|NASDAQ|2019|11|04|15|30|1981900|63.849998|60.330002|62.59|63.18|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|95|NASDAQ|2019|11|01|14|30|1129500|63.900002|61.77|62.349998|62.43|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|96|NASDAQ|2019|10|31|14|30|836200|63.77|60.889999|61.580002|62.790001|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|97|NASDAQ|2019|10|30|14|30|910300|65.370003|62.060001|63.07|65.370003|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|98|NASDAQ|2019|10|29|14|30|610200|65.779999|64.529999|65.239998|65.529999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|99|NASDAQ|2019|10|28|14|30|767200|65.879997|63.810001|65.639999|64.129997|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|100|NASDAQ|2019|10|25|15|30|841800|64.472|62.500999|63.59|63.299999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|101|NASDAQ|2019|10|24|15|30|649500|63.619999|61.105|63.130001|61.509998|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|102|NASDAQ|2019|10|23|15|30|577800|63.312|61.150002|61.349998|62.41|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|103|NASDAQ|2019|10|22|15|30|823500|63.639999|61.849998|62.689999|63.07|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|104|NASDAQ|2019|10|21|15|30|836700|64.550003|62.830002|63.43|63.689999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|105|NASDAQ|2019|10|18|15|30|1289700|64.970001|62.099998|63.580002|63.490002|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|106|NASDAQ|2019|10|17|15|30|1393300|63.344002|59.790001|63.029999|60.59|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|107|NASDAQ|2019|10|16|15|30|1077100|62.125|58.841|59.325001|61.5|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|108|NASDAQ|2019|10|15|15|30|2860400|62.299999|59.66|61.990002|60.07|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|109|NASDAQ|2019|10|14|15|30|605000|56.939999|55.860001|56.619999|56.27|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|110|NASDAQ|2019|10|11|15|30|728200|57.380001|55.814999|56.540001|56.5|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|111|NASDAQ|2019|10|10|15|30|485600|55.780998|54.419998|55.119999|54.970001|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|112|NASDAQ|2019|10|09|15|30|1265400|55.720001|52.91|55.23|53.540001|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|113|NASDAQ|2019|10|08|15|30|913600|56.254002|53.060001|53.130001|56.189999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|114|NASDAQ|2019|10|07|15|30|957100|57.450001|56.080002|56.759998|56.59|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|115|NASDAQ|2019|10|04|15|30|1551000|59.950001|56.849998|57.220001|58.630001|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|116|NASDAQ|2019|10|03|15|30|1453100|56.540001|52.330002|56.279999|54.639999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|117|NASDAQ|2019|10|02|15|30|2109000|55.470001|52.310001|54.75|55.369999|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
TNDM|118|NASDAQ|2019|10|01|15|30|1299500|59.759998|55.93|55.98|58.900002|medicalinstrumentssupplies|5.04|2.3|2.8|-|-|1043|usa|0|0|1800|Feb 24 AMC|healthcare|93.699997|3660
