empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
TXN|0|NASDAQ|2020|03|20|14|30|10253200|105.5|97.099998|97.599998|104.5|semiconductorbroadline|0.2|3.2|4.1|19.08|3.6|29768|usa|0.65|0.6|15.47|Apr 22 AMC|technology|87.199997|100040
TXN|1|NASDAQ|2020|03|19|14|30|9298500|105|97.120003|101.57|99.389999|semiconductorbroadline|0.2|3.2|4.1|19.08|3.6|29768|usa|0.65|0.6|15.47|Apr 22 AMC|technology|87.199997|100040
TXN|2|NASDAQ|2020|03|18|14|30|16413900|105.82|94.150002|100|100.050003|semiconductorbroadline|0.2|3.2|4.1|19.08|3.6|29768|usa|0.65|0.6|15.47|Apr 22 AMC|technology|87.199997|100040
TXN|3|NASDAQ|2020|03|17|14|30|16243500|107.639999|95.110001|106.150002|96.029999|semiconductorbroadline|0.2|3.2|4.1|19.08|3.6|29768|usa|0.65|0.6|15.47|Apr 22 AMC|technology|87.199997|100040
TXN|4|NASDAQ|2020|03|16|14|30|12389200|104.5|93.089996|93.5|95.879997|semiconductorbroadline|0.2|3.2|4.1|19.08|3.6|29768|usa|0.65|0.6|15.47|Apr 22 AMC|technology|87.199997|100040
TXN|5|NASDAQ|2020|03|13|14|30|16040100|107.470001|98.459999|106.040001|103.309998|semiconductorbroadline|0.2|3.2|4.1|19.08|3.6|29768|usa|0.65|0.6|15.47|Apr 22 AMC|technology|87.199997|100040
TXN|6|NASDAQ|2020|03|12|14|30|15158500|104.730003|96.550003|97.529999|99.419998|semiconductorbroadline|0.2|3.2|4.1|19.08|3.6|29768|usa|0.65|0.6|15.47|Apr 22 AMC|technology|87.199997|100040
TXN|7|NASDAQ|2020|03|11|14|30|9636500|111.440002|105.790001|106.5|109.540001|semiconductorbroadline|0.2|3.2|4.1|19.08|3.6|29768|usa|0.65|0.6|15.47|Apr 22 AMC|technology|87.199997|100040
TXN|8|NASDAQ|2020|03|10|14|30|9206200|112.139999|104.75|112.120003|108.830002|semiconductorbroadline|0.2|3.2|4.1|19.08|3.6|29768|usa|0.65|0.6|15.47|Apr 22 AMC|technology|87.199997|100040
TXN|9|NASDAQ|2020|03|09|14|30|8454600|110.080002|104.419998|105.040001|105.110001|semiconductorbroadline|0.2|3.2|4.1|19.08|3.6|29768|usa|0.65|0.6|15.47|Apr 22 AMC|technology|87.199997|100040
TXN|10|NASDAQ|2020|03|06|15|30|6386200|113.870003|110.139999|113.160004|111.089996|semiconductorbroadline|0.2|3.2|4.1|19.08|3.6|29768|usa|0.65|0.6|15.47|Apr 22 AMC|technology|87.199997|100040
TXN|11|NASDAQ|2020|03|05|15|30|6162300|117.209999|113.709999|114.720001|115.169998|semiconductorbroadline|0.2|3.2|4.1|19.08|3.6|29768|usa|0.65|0.6|15.47|Apr 22 AMC|technology|87.199997|100040
