empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
WPRT|0|NASDAQ|2020|03|20|14|30|1237900|0.92|0.78|0.8|0.87|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|1|NASDAQ|2020|03|19|14|30|1663500|0.91|0.76|0.81|0.9|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|2|NASDAQ|2020|03|18|14|30|2628700|1|0.71|0.77|1|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|3|NASDAQ|2020|03|17|14|30|1522100|1.26|0.97|1.07|1.26|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|4|NASDAQ|2020|03|16|14|30|1378100|1.2|1.03|1.04|1.05|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|5|NASDAQ|2020|03|13|14|30|889600|1.62|1.2|1.4|1.46|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|6|NASDAQ|2020|03|12|14|30|1692300|1.38|1.02|1.22|1.36|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|7|NASDAQ|2020|03|11|14|30|742200|1.61|1.4|1.41|1.49|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|8|NASDAQ|2020|03|10|14|30|705200|1.65|1.4|1.63|1.53|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|9|NASDAQ|2020|03|09|14|30|1046300|1.55|1.41|1.44|1.5|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|10|NASDAQ|2020|03|06|15|30|913500|1.8|1.64|1.65|1.7|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|11|NASDAQ|2020|03|05|15|30|438300|1.93|1.77|1.79|1.93|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|12|NASDAQ|2020|03|04|15|30|434800|1.94|1.78|1.93|1.82|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|13|NASDAQ|2020|03|03|15|30|591800|1.95|1.73|1.81|1.88|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|14|NASDAQ|2020|03|02|15|30|623600|1.93|1.83|1.87|1.83|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|15|NASDAQ|2020|02|28|15|30|958300|1.93|1.82|1.86|1.85|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|16|NASDAQ|2020|02|27|15|30|938000|2.07|1.85|1.96|2.05|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|17|NASDAQ|2020|02|26|15|30|674200|2.2|2.07|2.09|2.15|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|18|NASDAQ|2020|02|25|15|30|769600|2.35|2.14|2.17|2.3|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|19|NASDAQ|2020|02|24|15|30|585200|2.44|2.28|2.3|2.4|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|20|NASDAQ|2020|02|21|15|30|359400|2.58|2.45|2.45|2.56|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|21|NASDAQ|2020|02|20|15|30|398300|2.62|2.51|2.59|2.53|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|22|NASDAQ|2020|02|19|15|30|366600|2.54|2.43|2.53|2.45|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|23|NASDAQ|2020|02|18|15|30|194000|2.5|2.44|2.46|2.44|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|24|NASDAQ|2020|02|14|15|30|233300|2.55|2.43|2.48|2.45|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|25|NASDAQ|2020|02|13|15|30|289700|2.51|2.41|2.45|2.48|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|26|NASDAQ|2020|02|12|15|30|495900|2.55|2.41|2.53|2.43|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|27|NASDAQ|2020|02|11|15|30|282700|2.5|2.38|2.46|2.45|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|28|NASDAQ|2020|02|10|15|30|304100|2.51|2.43|2.44|2.5|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|29|NASDAQ|2020|02|07|15|30|285100|2.6|2.5|2.51|2.6|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|30|NASDAQ|2020|02|06|15|30|249700|2.68|2.58|2.6|2.63|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|31|NASDAQ|2020|02|05|15|30|213800|2.69|2.61|2.62|2.66|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|32|NASDAQ|2020|02|04|15|30|250400|2.67|2.62|2.63|2.64|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|33|NASDAQ|2020|02|03|15|30|477500|2.71|2.57|2.64|2.6|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|34|NASDAQ|2020|01|31|15|30|463200|2.67|2.56|2.57|2.66|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|35|NASDAQ|2020|01|30|15|30|566500|2.72|2.53|2.67|2.7|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|36|NASDAQ|2020|01|29|15|30|804300|2.73|2.5|2.7|2.53|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|37|NASDAQ|2020|01|28|15|30|516200|2.59|2.5|2.53|2.56|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|38|NASDAQ|2020|01|27|15|30|345800|2.58|2.45|2.57|2.5|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|39|NASDAQ|2020|01|24|15|30|263200|2.55|2.45|2.54|2.47|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|40|NASDAQ|2020|01|23|15|30|840600|2.58|2.43|2.48|2.49|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|41|NASDAQ|2020|01|22|15|30|497300|2.6|2.48|2.52|2.58|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
WPRT|42|NASDAQ|2020|01|21|15|30|446300|2.69|2.57|2.58|2.65|autoparts|14.05|-|-|-|-|1294|canada|-|-|175|Mar 17 AMC|consumergoods|25.27|128.100006
