empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ZION|0|NASDAQ|2020|03|20|14|30|6262000|27.66|25.4|25.58|27.370001|regionalpacificbanks|1.1|-|-|6.43|4.48|10188|usa|0.25|0.25|5.68|Apr 21 AMC|financial|-|4360
ZION|1|NASDAQ|2020|03|19|14|30|5534600|28.02|26.110001|27.25|26.91|regionalpacificbanks|1.1|-|-|6.43|4.48|10188|usa|0.25|0.25|5.68|Apr 21 AMC|financial|-|4360
ZION|2|NASDAQ|2020|03|18|14|30|6266800|28.32|25.85|27.469999|26.26|regionalpacificbanks|1.1|-|-|6.43|4.48|10188|usa|0.25|0.25|5.68|Apr 21 AMC|financial|-|4360
ZION|3|NASDAQ|2020|03|17|14|30|5471200|28.49|25.860001|28.049999|27.309999|regionalpacificbanks|1.1|-|-|6.43|4.48|10188|usa|0.25|0.25|5.68|Apr 21 AMC|financial|-|4360
ZION|4|NASDAQ|2020|03|16|14|30|6062100|28.690001|25.27|26.559999|25.889999|regionalpacificbanks|1.1|-|-|6.43|4.48|10188|usa|0.25|0.25|5.68|Apr 21 AMC|financial|-|4360
ZION|5|NASDAQ|2020|03|13|14|30|10178300|29.84|27.67|29.42|29.51|regionalpacificbanks|1.1|-|-|6.43|4.48|10188|usa|0.25|0.25|5.68|Apr 21 AMC|financial|-|4360
ZION|6|NASDAQ|2020|03|12|14|30|9309100|29.870001|27.23|27.6|27.83|regionalpacificbanks|1.1|-|-|6.43|4.48|10188|usa|0.25|0.25|5.68|Apr 21 AMC|financial|-|4360
ZION|7|NASDAQ|2020|03|11|14|30|7693300|31.690001|29.6|29.950001|31.23|regionalpacificbanks|1.1|-|-|6.43|4.48|10188|usa|0.25|0.25|5.68|Apr 21 AMC|financial|-|4360
ZION|8|NASDAQ|2020|03|10|14|30|4999100|32.669998|30.75|32.240002|32.400002|regionalpacificbanks|1.1|-|-|6.43|4.48|10188|usa|0.25|0.25|5.68|Apr 21 AMC|financial|-|4360
ZION|9|NASDAQ|2020|03|09|14|30|9843600|33.369999|30.82|31.030001|33|regionalpacificbanks|1.1|-|-|6.43|4.48|10188|usa|0.25|0.25|5.68|Apr 21 AMC|financial|-|4360
ZION|10|NASDAQ|2020|03|06|15|30|5930900|36.189999|34.209999|35.279999|34.439999|regionalpacificbanks|1.1|-|-|6.43|4.48|10188|usa|0.25|0.25|5.68|Apr 21 AMC|financial|-|4360
ZION|11|NASDAQ|2020|03|05|15|30|5762900|37.439999|35.830002|36.099998|37.439999|regionalpacificbanks|1.1|-|-|6.43|4.48|10188|usa|0.25|0.25|5.68|Apr 21 AMC|financial|-|4360
