empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ZN|0|NASDAQ|2020|03|20|14|30|2589100|0.2|0.17|0.17|0.2|independentoilgas|2.2|2.1|2.1|-|-|25|usa|0.27|0.27|-|Apr 07 AMC|basicmaterials|5.6|17
ZN|1|NASDAQ|2020|03|19|14|30|6797900|0.21|0.15|0.17|0.16|independentoilgas|2.2|2.1|2.1|-|-|25|usa|0.27|0.27|-|Apr 07 AMC|basicmaterials|5.6|17
ZN|2|NASDAQ|2020|03|18|14|30|3260500|0.15|0.14|0.15|0.15|independentoilgas|2.2|2.1|2.1|-|-|25|usa|0.27|0.27|-|Apr 07 AMC|basicmaterials|5.6|17
ZN|3|NASDAQ|2020|03|17|14|30|1348300|0.16|0.14|0.15|0.16|independentoilgas|2.2|2.1|2.1|-|-|25|usa|0.27|0.27|-|Apr 07 AMC|basicmaterials|5.6|17
ZN|4|NASDAQ|2020|03|16|14|30|2240800|0.16|0.14|0.14|0.16|independentoilgas|2.2|2.1|2.1|-|-|25|usa|0.27|0.27|-|Apr 07 AMC|basicmaterials|5.6|17
ZN|5|NASDAQ|2020|03|13|14|30|2402300|0.16|0.14|0.16|0.16|independentoilgas|2.2|2.1|2.1|-|-|25|usa|0.27|0.27|-|Apr 07 AMC|basicmaterials|5.6|17
ZN|6|NASDAQ|2020|03|12|14|30|2424600|0.16|0.14|0.15|0.16|independentoilgas|2.2|2.1|2.1|-|-|25|usa|0.27|0.27|-|Apr 07 AMC|basicmaterials|5.6|17
ZN|7|NASDAQ|2020|03|11|14|30|2857500|0.17|0.16|0.16|0.17|independentoilgas|2.2|2.1|2.1|-|-|25|usa|0.27|0.27|-|Apr 07 AMC|basicmaterials|5.6|17
ZN|8|NASDAQ|2020|03|10|14|30|2562000|0.17|0.16|0.16|0.17|independentoilgas|2.2|2.1|2.1|-|-|25|usa|0.27|0.27|-|Apr 07 AMC|basicmaterials|5.6|17
ZN|9|NASDAQ|2020|03|09|14|30|5131100|0.17|0.16|0.16|0.17|independentoilgas|2.2|2.1|2.1|-|-|25|usa|0.27|0.27|-|Apr 07 AMC|basicmaterials|5.6|17
ZN|10|NASDAQ|2020|03|06|15|30|2883700|0.2|0.18|0.18|0.2|independentoilgas|2.2|2.1|2.1|-|-|25|usa|0.27|0.27|-|Apr 07 AMC|basicmaterials|5.6|17
ZN|11|NASDAQ|2020|03|05|15|30|2583500|0.2|0.19|0.2|0.2|independentoilgas|2.2|2.1|2.1|-|-|25|usa|0.27|0.27|-|Apr 07 AMC|basicmaterials|5.6|17
ZN|12|NASDAQ|2020|03|04|15|30|4121200|0.21|0.19|0.21|0.21|independentoilgas|2.2|2.1|2.1|-|-|25|usa|0.27|0.27|-|Apr 07 AMC|basicmaterials|5.6|17
ZN|13|NASDAQ|2020|03|03|15|30|6910800|0.23|0.2|0.22|0.2|independentoilgas|2.2|2.1|2.1|-|-|25|usa|0.27|0.27|-|Apr 07 AMC|basicmaterials|5.6|17
ZN|14|NASDAQ|2020|03|02|15|30|4421900|0.2|0.17|0.19|0.18|independentoilgas|2.2|2.1|2.1|-|-|25|usa|0.27|0.27|-|Apr 07 AMC|basicmaterials|5.6|17
