empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
PWOD|0|NASDAQ|2020|03|27|14|30|7100|20.85|20.51|20.530001|20.51|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|1|NASDAQ|2020|03|26|14|30|19000|21|19|21|19.200001|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|2|NASDAQ|2020|03|25|14|30|37600|21.889999|19|19.049999|19.76|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|3|NASDAQ|2020|03|24|14|30|45300|21.99|19|19.879999|21.99|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|4|NASDAQ|2020|03|23|14|30|12200|21.459999|18.719999|20.75|21.1|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|5|NASDAQ|2020|03|20|14|30|24400|22.24|19.83|20.959999|21.059999|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|6|NASDAQ|2020|03|19|14|30|24900|21.99|19.200001|20.98|20|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|7|NASDAQ|2020|03|18|14|30|19500|22.879999|19.959999|19.959999|22|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|8|NASDAQ|2020|03|17|14|30|27100|23.74|22.25|23.59|22.879999|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|9|NASDAQ|2020|03|16|14|30|23700|24.459999|22.51|22.9|24.459999|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|10|NASDAQ|2020|03|13|14|30|19900|25.139999|24.48|24.790001|25.139999|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|11|NASDAQ|2020|03|12|14|30|24100|25.200001|24.469999|24.5|25|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|12|NASDAQ|2020|03|11|14|30|11500|26.780001|25.01|25.34|26|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|13|NASDAQ|2020|03|10|14|30|20400|27.639999|24.58|26.299999|26.860001|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|14|NASDAQ|2020|03|09|14|30|12900|27.34|25.77|26.6|26.700001|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|15|NASDAQ|2020|03|06|15|30|10000|28.77|27.59|28.129999|28.1|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|16|NASDAQ|2020|03|05|15|30|20800|30.09|27.700001|28.719999|30.09|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|17|NASDAQ|2020|03|04|15|30|8700|30.370001|29.16|30|29.98|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|18|NASDAQ|2020|03|03|15|30|8300|30.5|29.16|29.9|30.459999|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|19|NASDAQ|2020|03|02|15|30|6600|31.23|29.809999|30.75|30.02|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|20|NASDAQ|2020|02|28|15|30|19500|31.99|29.5|30.16|31.809999|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|21|NASDAQ|2020|02|27|15|30|9500|30.73|29.700001|29.76|30.5|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
PWOD|22|NASDAQ|2020|02|26|15|30|4300|31.15|30.620001|30.620001|30.66|regionalmidatlanticbanks|3.9|-|-|11|5.27|334|usa|0.04|0.04|-|Apr 28|financial|28.200001|174.960007
