empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
RVNC|0|NASDAQ|2020|03|27|14|30|1333800|16.629999|14.28|15.59|14.51|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|1|NASDAQ|2020|03|26|14|30|1389800|16.940001|14.87|15.23|14.94|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|2|NASDAQ|2020|03|25|14|30|1122300|15.38|13.2|14.75|13.91|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|3|NASDAQ|2020|03|24|14|30|811900|14.52|13.01|14|13.6|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|4|NASDAQ|2020|03|23|14|30|1371500|13.62|12.12|12.8|12.92|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|5|NASDAQ|2020|03|20|14|30|2004300|13.97|12.07|13.1|12.61|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|6|NASDAQ|2020|03|19|14|30|1154100|13.3|12|12.46|13.15|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|7|NASDAQ|2020|03|18|14|30|1188500|14.65|12.37|13.03|14.15|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|8|NASDAQ|2020|03|17|14|30|1057700|15.78|13.31|15.09|14.02|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|9|NASDAQ|2020|03|16|14|30|956900|14.96|11.78|13.64|14.96|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|10|NASDAQ|2020|03|13|14|30|714400|16.9|14.27|15.5|16.68|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|11|NASDAQ|2020|03|12|14|30|1361500|16.940001|15.42|15.69|16.450001|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|12|NASDAQ|2020|03|11|14|30|590400|20.01|17.75|17.969999|19.549999|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|13|NASDAQ|2020|03|10|14|30|883300|20.23|18.33|20.16|19|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|14|NASDAQ|2020|03|09|14|30|863700|21.360001|18.24|18.33|21.129999|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|15|NASDAQ|2020|03|06|15|30|774900|23.701|22.25|22.84|22.629999|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|16|NASDAQ|2020|03|05|15|30|679700|24.17|22.91|23.620001|23.219999|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|17|NASDAQ|2020|03|04|15|30|980300|24.52|23.200001|23.92|23.620001|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|18|NASDAQ|2020|03|03|15|30|503500|23.778|22.34|22.905001|23.26|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|19|NASDAQ|2020|03|02|15|30|901700|23.92|22.59|23.245001|23.309999|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|20|NASDAQ|2020|02|28|15|30|1060900|23.18|22.190001|23.120001|22.75|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|21|NASDAQ|2020|02|27|15|30|1197300|24.65|23.139999|23.139999|24.43|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|22|NASDAQ|2020|02|26|15|30|1137800|26.34|24.43|24.940001|25.01|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|23|NASDAQ|2020|02|25|15|30|1186800|27.67|24.209999|24.76|27.67|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|24|NASDAQ|2020|02|24|15|30|1173500|27.290001|26.415001|26.91|26.6|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|25|NASDAQ|2020|02|21|15|30|1401300|27.969999|27.25|27.809999|27.57|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|26|NASDAQ|2020|02|20|15|30|890300|27.719999|26.65|27.58|26.860001|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|27|NASDAQ|2020|02|19|15|30|603600|26.787001|25.83|26.68|26.1|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|28|NASDAQ|2020|02|18|15|30|821600|26.1|24.75|25.93|25.299999|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
RVNC|29|NASDAQ|2020|02|14|15|30|778900|25.93|24.35|25.33|24.74|biotechnology|1.1|7.2|7.2|-|-|193|usa|0|0|19.9|Feb 24 AMC|healthcare|97.599998|823.030029
