empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
STAF|0|NASDAQ|2020|03|27|14|30|23800|0.45|0.38|0.38|0.41|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|1|NASDAQ|2020|03|26|14|30|24100|0.39|0.36|0.39|0.38|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|2|NASDAQ|2020|03|25|14|30|46000|0.45|0.32|0.36|0.45|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|3|NASDAQ|2020|03|24|14|30|23100|0.43|0.35|0.43|0.4|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|4|NASDAQ|2020|03|23|14|30|48900|0.45|0.35|0.37|0.42|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|5|NASDAQ|2020|03|20|14|30|14000|0.41|0.35|0.37|0.41|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|6|NASDAQ|2020|03|19|14|30|25500|0.41|0.3|0.4|0.33|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|7|NASDAQ|2020|03|18|14|30|53800|0.42|0.32|0.39|0.42|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|8|NASDAQ|2020|03|17|14|30|34800|0.44|0.31|0.4|0.34|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|9|NASDAQ|2020|03|16|14|30|35300|0.41|0.3|0.33|0.41|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|10|NASDAQ|2020|03|13|14|30|41400|0.48|0.28|0.41|0.48|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|11|NASDAQ|2020|03|12|14|30|29400|0.55|0.43|0.44|0.47|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|12|NASDAQ|2020|03|11|14|30|21100|0.6|0.51|0.55|0.6|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|13|NASDAQ|2020|03|10|14|30|13700|0.65|0.56|0.59|0.65|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|14|NASDAQ|2020|03|09|14|30|51400|0.68|0.5|0.63|0.64|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|15|NASDAQ|2020|03|06|15|30|18900|0.69|0.66|0.66|0.67|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|16|NASDAQ|2020|03|05|15|30|17700|0.69|0.67|0.69|0.68|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|17|NASDAQ|2020|03|04|15|30|12200|0.69|0.65|0.68|0.65|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|18|NASDAQ|2020|03|03|15|30|39800|0.69|0.65|0.65|0.65|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|19|NASDAQ|2020|03|02|15|30|17900|0.68|0.65|0.67|0.67|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|20|NASDAQ|2020|02|28|15|30|32700|0.69|0.62|0.69|0.69|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|21|NASDAQ|2020|02|27|15|30|31100|0.74|0.69|0.71|0.74|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|22|NASDAQ|2020|02|26|15|30|22800|0.77|0.72|0.76|0.73|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|23|NASDAQ|2020|02|25|15|30|22100|0.79|0.72|0.72|0.75|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|24|NASDAQ|2020|02|24|15|30|8700|0.8|0.75|0.75|0.75|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|25|NASDAQ|2020|02|21|15|30|20000|0.8|0.76|0.8|0.76|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|26|NASDAQ|2020|02|20|15|30|6500|0.84|0.76|0.8|0.77|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|27|NASDAQ|2020|02|19|15|30|27300|0.8|0.74|0.76|0.8|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|28|NASDAQ|2020|02|18|15|30|25400|0.8|0.76|0.8|0.79|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|29|NASDAQ|2020|02|14|15|30|45600|0.84|0.75|0.79|0.84|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|30|NASDAQ|2020|02|13|15|30|15200|0.85|0.8|0.81|0.83|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|31|NASDAQ|2020|02|12|15|30|1900|0.86|0.83|0.83|0.86|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|32|NASDAQ|2020|02|11|15|30|21600|0.88|0.82|0.83|0.87|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|33|NASDAQ|2020|02|10|15|30|12600|0.89|0.85|0.86|0.88|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|34|NASDAQ|2020|02|07|15|30|6300|0.89|0.85|0.85|0.89|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|35|NASDAQ|2020|02|06|15|30|8100|0.91|0.89|0.89|0.91|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|36|NASDAQ|2020|02|05|15|30|19700|0.9|0.85|0.88|0.9|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|37|NASDAQ|2020|02|04|15|30|19700|0.89|0.86|0.86|0.88|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|38|NASDAQ|2020|02|03|15|30|3800|0.92|0.86|0.88|0.92|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|39|NASDAQ|2020|01|31|15|30|6200|0.92|0.88|0.92|0.89|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|40|NASDAQ|2020|01|30|15|30|22900|0.92|0.88|0.89|0.92|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|41|NASDAQ|2020|01|29|15|30|34500|0.94|0.9|0.92|0.91|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|42|NASDAQ|2020|01|28|15|30|29400|0.94|0.88|0.92|0.94|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|43|NASDAQ|2020|01|27|15|30|37500|0.94|0.9|0.91|0.92|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|44|NASDAQ|2020|01|24|15|30|30000|0.95|0.9|0.91|0.95|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|45|NASDAQ|2020|01|23|15|30|19800|0.92|0.9|0.91|0.91|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|46|NASDAQ|2020|01|22|15|30|25800|0.93|0.91|0.91|0.92|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|47|NASDAQ|2020|01|21|15|30|96900|0.94|0.91|0.92|0.94|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|48|NASDAQ|2020|01|17|15|30|500400|1.09|0.87|0.9|1|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|49|NASDAQ|2020|01|16|15|30|221200|1|0.82|1|0.83|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|50|NASDAQ|2020|01|15|15|30|5500|0.83|0.8|0.83|0.83|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|51|NASDAQ|2020|01|14|15|30|6600|0.85|0.79|0.81|0.79|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|52|NASDAQ|2020|01|13|15|30|18400|0.85|0.79|0.8|0.83|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|53|NASDAQ|2020|01|10|15|30|25200|0.83|0.79|0.83|0.81|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|54|NASDAQ|2020|01|09|15|30|32400|0.84|0.81|0.81|0.84|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|55|NASDAQ|2020|01|08|15|30|259500|0.93|0.84|0.86|0.85|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
STAF|56|NASDAQ|2020|01|07|15|30|11100|0.85|0.83|0.85|0.84|staffingoutsourcingservices|1.2|0.4|0.4|-|11.39|270|usa|7.02|0.09|79|Apr 08 AMC|services|2.2|3.14
