empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
STAY|0|NASDAQ|2020|03|27|14|30|2079700|7.58|6.47|7.57|6.9|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|1|NASDAQ|2020|03|26|14|30|3779500|8.14|7.33|7.37|7.81|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|2|NASDAQ|2020|03|25|14|30|12204400|8.12|7|7.63|7.88|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|3|NASDAQ|2020|03|24|14|30|1662600|8.01|7.32|7.72|7.32|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|4|NASDAQ|2020|03|23|14|30|4824300|7.37|6.5|6.9|7.11|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|5|NASDAQ|2020|03|20|14|30|4028200|7.64|6.43|7.08|6.67|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|6|NASDAQ|2020|03|19|14|30|3840200|6.5|5.7|6.5|6.08|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|7|NASDAQ|2020|03|18|14|30|4759200|6.97|5.35|6.15|6.37|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|8|NASDAQ|2020|03|17|14|30|4811000|6.97|5.7|6.81|6.82|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|9|NASDAQ|2020|03|16|14|30|6447200|7.05|6.38|6.7|6.48|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|10|NASDAQ|2020|03|13|14|30|5992700|7.44|6.42|7.12|7.08|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|11|NASDAQ|2020|03|12|14|30|6545000|7.65|6.51|6.61|7.51|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|12|NASDAQ|2020|03|11|14|30|5496100|9.07|8.18|8.2|9.05|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|13|NASDAQ|2020|03|10|14|30|4018900|9.9|8.91|9.35|9.61|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|14|NASDAQ|2020|03|09|14|30|2799600|10.25|9.21|9.26|9.81|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|15|NASDAQ|2020|03|06|15|30|5755000|10.605|9.83|10.45|10.01|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|16|NASDAQ|2020|03|05|15|30|11340400|10.75|10.08|10.36|10.75|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|17|NASDAQ|2020|03|04|15|30|4619100|11.01|10.73|11|10.95|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|18|NASDAQ|2020|03|03|15|30|2913100|11.5|10.625|10.81|11.22|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|19|NASDAQ|2020|03|02|15|30|2156000|11.23|10.62|11.22|11.11|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|20|NASDAQ|2020|02|28|15|30|4656000|11.06|10.6|10.98|10.6|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|21|NASDAQ|2020|02|27|15|30|6181800|11.6|10.39|10.93|11.01|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|22|NASDAQ|2020|02|26|15|30|4062100|11.88|11.02|11.19|11.77|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|23|NASDAQ|2020|02|25|15|30|3476500|12.22|11.55|11.66|12.2|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|24|NASDAQ|2020|02|24|15|30|3732200|12.29|12.07|12.22|12.29|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|25|NASDAQ|2020|02|21|15|30|1828400|12.63|12.48|12.58|12.58|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|26|NASDAQ|2020|02|20|15|30|3019700|12.87|12.55|12.65|12.87|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|27|NASDAQ|2020|02|19|15|30|1847500|13.14|12.86|12.87|13.04|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|28|NASDAQ|2020|02|18|15|30|1436100|13.16|12.86|13.05|13.05|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|29|NASDAQ|2020|02|14|15|30|690000|13.11|12.93|13.07|13.07|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|30|NASDAQ|2020|02|13|15|30|915800|13.055|12.875|13|12.98|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
STAY|31|NASDAQ|2020|02|12|15|30|898500|13.23|13.055|13.1|13.19|lodging|0.6|-|-|20.190001|12.59|3100|usa|3.8|3.8|17.549999|Feb 26 AMC|services|-|1330
