empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
TACT|0|NASDAQ|2020|03|27|14|30|14900|4|3.52|3.68|3.75|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|1|NASDAQ|2020|03|26|14|30|109400|4.07|3.33|3.99|4.05|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|2|NASDAQ|2020|03|25|14|30|24800|4.15|3.82|3.96|3.96|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|3|NASDAQ|2020|03|24|14|30|28100|4.13|3.71|3.96|3.71|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|4|NASDAQ|2020|03|23|14|30|33400|4|3.15|3.7|3.15|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|5|NASDAQ|2020|03|20|14|30|153100|4.68|3.04|3.14|4.68|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|6|NASDAQ|2020|03|19|14|30|31100|4.9|4.42|4.54|4.47|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|7|NASDAQ|2020|03|18|14|30|43500|5.25|4.51|4.51|5.17|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|8|NASDAQ|2020|03|17|14|30|79200|6.62|5.1|5.43|6.62|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|9|NASDAQ|2020|03|16|14|30|24100|7.31|6.75|6.83|7.31|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|10|NASDAQ|2020|03|13|14|30|8000|8|7.14|7.54|7.64|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|11|NASDAQ|2020|03|12|14|30|10400|7.92|7.29|7.77|7.7|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|12|NASDAQ|2020|03|11|14|30|12700|8.64|7.81|8.46|7.81|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|13|NASDAQ|2020|03|10|14|30|6300|8.92|8.6|8.65|8.72|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|14|NASDAQ|2020|03|09|14|30|18200|9|8.59|8.65|8.6|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|15|NASDAQ|2020|03|06|15|30|22500|9.61|8.95|9.17|9.61|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|16|NASDAQ|2020|03|05|15|30|5700|9.95|9.77|9.77|9.87|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|17|NASDAQ|2020|03|04|15|30|4300|10|9.88|10|9.92|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|18|NASDAQ|2020|03|03|15|30|17000|9.85|9.5|9.84|9.58|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|19|NASDAQ|2020|03|02|15|30|11700|9.9|9.6|9.6|9.9|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|20|NASDAQ|2020|02|28|15|30|28700|9.98|9.54|9.98|9.54|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|21|NASDAQ|2020|02|27|15|30|19500|9.95|9.5|9.8|9.82|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|22|NASDAQ|2020|02|26|15|30|14200|10.6|9.9|9.9|10.6|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|23|NASDAQ|2020|02|25|15|30|7900|11|9.91|10.63|11|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|24|NASDAQ|2020|02|24|15|30|15000|11.16|10.74|10.95|10.74|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
TACT|25|NASDAQ|2020|02|21|15|30|9800|11.25|10.96|11.25|10.98|computerperipherals|2.6|1.7|3.3|47.849998|11.58|134|usa|0|0|500|Mar 10 AMC|technology|51.099998|25.440001
