empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
TLGT|0|NASDAQ|2020|03|27|14|30|95400|0.3|0.27|0.3|0.27|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|1|NASDAQ|2020|03|26|14|30|179200|0.3|0.27|0.27|0.3|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|2|NASDAQ|2020|03|25|14|30|109200|0.3|0.27|0.28|0.28|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|3|NASDAQ|2020|03|24|14|30|72000|0.3|0.24|0.28|0.3|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|4|NASDAQ|2020|03|23|14|30|83500|0.27|0.25|0.27|0.25|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|5|NASDAQ|2020|03|20|14|30|125900|0.27|0.24|0.24|0.26|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|6|NASDAQ|2020|03|19|14|30|453500|0.27|0.19|0.26|0.24|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|7|NASDAQ|2020|03|18|14|30|174100|0.27|0.23|0.23|0.27|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|8|NASDAQ|2020|03|17|14|30|144100|0.29|0.26|0.26|0.29|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|9|NASDAQ|2020|03|16|14|30|204700|0.35|0.26|0.3|0.3|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|10|NASDAQ|2020|03|13|14|30|114800|0.33|0.28|0.29|0.32|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|11|NASDAQ|2020|03|12|14|30|259200|0.36|0.23|0.27|0.32|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|12|NASDAQ|2020|03|11|14|30|274100|0.41|0.31|0.33|0.38|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|13|NASDAQ|2020|03|10|14|30|73400|0.4|0.36|0.37|0.39|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|14|NASDAQ|2020|03|09|14|30|121400|0.4|0.37|0.39|0.39|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|15|NASDAQ|2020|03|06|15|30|290200|0.45|0.39|0.4|0.44|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|16|NASDAQ|2020|03|05|15|30|57200|0.47|0.43|0.44|0.44|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|17|NASDAQ|2020|03|04|15|30|86700|0.46|0.43|0.45|0.45|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|18|NASDAQ|2020|03|03|15|30|65000|0.46|0.42|0.45|0.46|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|19|NASDAQ|2020|03|02|15|30|204200|0.46|0.41|0.44|0.41|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|20|NASDAQ|2020|02|28|15|30|67200|0.42|0.41|0.42|0.41|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|21|NASDAQ|2020|02|27|15|30|211100|0.44|0.41|0.42|0.44|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|22|NASDAQ|2020|02|26|15|30|150300|0.49|0.41|0.45|0.47|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|23|NASDAQ|2020|02|25|15|30|179500|0.53|0.47|0.47|0.5|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|24|NASDAQ|2020|02|24|15|30|88700|0.51|0.48|0.5|0.5|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|25|NASDAQ|2020|02|21|15|30|86500|0.53|0.5|0.51|0.52|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|26|NASDAQ|2020|02|20|15|30|169000|0.54|0.5|0.52|0.51|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|27|NASDAQ|2020|02|19|15|30|308900|0.56|0.5|0.51|0.54|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|28|NASDAQ|2020|02|18|15|30|341300|0.56|0.54|0.54|0.56|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|29|NASDAQ|2020|02|14|15|30|144100|0.56|0.54|0.54|0.54|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|30|NASDAQ|2020|02|13|15|30|235300|0.57|0.55|0.55|0.55|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|31|NASDAQ|2020|02|12|15|30|200700|0.57|0.54|0.55|0.54|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
TLGT|32|NASDAQ|2020|02|11|15|30|715200|0.58|0.5|0.53|0.57|biotechnology|1.02|0.8|1.5|-|-|189|usa|-|-|95|May 04 AMC|healthcare|56.299999|15.08
