empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
TTWO|0|NASDAQ|2020|03|27|14|30|1880700|114.580002|110|111.699997|113.209999|multimediagraphicssoftware|0.1|1.6|1.6|40.630001|-|4894|usa|0|0|-7.37|May 07 AMC|technology|95.5|13880.000977
TTWO|1|NASDAQ|2020|03|26|14|30|2233700|115.589996|108.610001|115.25|110.25|multimediagraphicssoftware|0.1|1.6|1.6|40.630001|-|4894|usa|0|0|-7.37|May 07 AMC|technology|95.5|13880.000977
TTWO|2|NASDAQ|2020|03|25|14|30|3034300|115.300003|108|109.720001|111.860001|multimediagraphicssoftware|0.1|1.6|1.6|40.630001|-|4894|usa|0|0|-7.37|May 07 AMC|technology|95.5|13880.000977
TTWO|3|NASDAQ|2020|03|24|14|30|2642000|117.489998|108.389999|112.220001|114.089996|multimediagraphicssoftware|0.1|1.6|1.6|40.630001|-|4894|usa|0|0|-7.37|May 07 AMC|technology|95.5|13880.000977
TTWO|4|NASDAQ|2020|03|23|14|30|2892900|111.940002|100.349998|109.82|102.220001|multimediagraphicssoftware|0.1|1.6|1.6|40.630001|-|4894|usa|0|0|-7.37|May 07 AMC|technology|95.5|13880.000977
TTWO|5|NASDAQ|2020|03|20|14|30|4210900|110.139999|100|100.150002|108.519997|multimediagraphicssoftware|0.1|1.6|1.6|40.630001|-|4894|usa|0|0|-7.37|May 07 AMC|technology|95.5|13880.000977
TTWO|6|NASDAQ|2020|03|19|14|30|2358000|108.75|102.970001|106.360001|107.260002|multimediagraphicssoftware|0.1|1.6|1.6|40.630001|-|4894|usa|0|0|-7.37|May 07 AMC|technology|95.5|13880.000977
TTWO|7|NASDAQ|2020|03|18|14|30|4012600|120.5|101.800003|106.620003|111.650002|multimediagraphicssoftware|0.1|1.6|1.6|40.630001|-|4894|usa|0|0|-7.37|May 07 AMC|technology|95.5|13880.000977
TTWO|8|NASDAQ|2020|03|17|14|30|2956100|117.959999|105.150002|116.470001|110.529999|multimediagraphicssoftware|0.1|1.6|1.6|40.630001|-|4894|usa|0|0|-7.37|May 07 AMC|technology|95.5|13880.000977
TTWO|9|NASDAQ|2020|03|16|14|30|2918800|115.169998|104.949997|108.010002|105.839996|multimediagraphicssoftware|0.1|1.6|1.6|40.630001|-|4894|usa|0|0|-7.37|May 07 AMC|technology|95.5|13880.000977
TTWO|10|NASDAQ|2020|03|13|14|30|2637100|116.730003|109.419998|116.620003|113.769997|multimediagraphicssoftware|0.1|1.6|1.6|40.630001|-|4894|usa|0|0|-7.37|May 07 AMC|technology|95.5|13880.000977
TTWO|11|NASDAQ|2020|03|12|14|30|3587500|116.730003|108.349998|108.360001|112|multimediagraphicssoftware|0.1|1.6|1.6|40.630001|-|4894|usa|0|0|-7.37|May 07 AMC|technology|95.5|13880.000977
TTWO|12|NASDAQ|2020|03|11|14|30|2212100|119.830002|115.849998|119.050003|116.440002|multimediagraphicssoftware|0.1|1.6|1.6|40.630001|-|4894|usa|0|0|-7.37|May 07 AMC|technology|95.5|13880.000977
TTWO|13|NASDAQ|2020|03|10|14|30|2474300|118.879997|113.300003|118.75|118.599998|multimediagraphicssoftware|0.1|1.6|1.6|40.630001|-|4894|usa|0|0|-7.37|May 07 AMC|technology|95.5|13880.000977
TTWO|14|NASDAQ|2020|03|09|14|30|2388800|118.029999|109.169998|113.879997|109.959999|multimediagraphicssoftware|0.1|1.6|1.6|40.630001|-|4894|usa|0|0|-7.37|May 07 AMC|technology|95.5|13880.000977
TTWO|15|NASDAQ|2020|03|06|15|30|2426100|118.709999|113.470001|117.690002|113.699997|multimediagraphicssoftware|0.1|1.6|1.6|40.630001|-|4894|usa|0|0|-7.37|May 07 AMC|technology|95.5|13880.000977
