empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
USLM|0|NASDAQ|2020|03|27|14|30|17400|71.089996|64.230003|64.309998|71.089996|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|1|NASDAQ|2020|03|26|14|30|13700|72.769997|69.209999|70.25|69.900002|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|2|NASDAQ|2020|03|25|14|30|20300|73.519997|67.559998|67.559998|73.400002|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|3|NASDAQ|2020|03|24|14|30|43300|74|66.440002|71.949997|66.5|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|4|NASDAQ|2020|03|23|14|30|13600|73.360001|64.75|64.970001|73.029999|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|5|NASDAQ|2020|03|20|14|30|19300|81.709999|71.199997|71.870003|77.75|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|6|NASDAQ|2020|03|19|14|30|41600|82.139999|69.010002|79.400002|70|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|7|NASDAQ|2020|03|18|14|30|21000|78.18|66.370003|69.989998|77.309998|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|8|NASDAQ|2020|03|17|14|30|13700|79.400002|63.93|79.400002|64.599998|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|9|NASDAQ|2020|03|16|14|30|15400|71.379997|62.389999|66.040001|71.379997|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|10|NASDAQ|2020|03|13|14|30|28100|76|61.200001|76|63.779999|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|11|NASDAQ|2020|03|12|14|30|29300|67.110001|60.990002|63.400002|65.669998|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|12|NASDAQ|2020|03|11|14|30|18400|70.470001|66.779999|67.099998|68.980003|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|13|NASDAQ|2020|03|10|14|30|4500|77.019997|69.790001|69.980003|77.019997|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|14|NASDAQ|2020|03|09|14|30|3000|79.699997|75.050003|76.989998|78.43|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|15|NASDAQ|2020|03|06|15|30|3700|82.410004|78.599998|80.32|78.599998|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|16|NASDAQ|2020|03|05|15|30|2900|82.370003|81.720001|81.970001|82.019997|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|17|NASDAQ|2020|03|04|15|30|3300|84.169998|80.93|84.169998|80.93|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|18|NASDAQ|2020|03|03|15|30|6600|85|79.830002|81.300003|85|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|19|NASDAQ|2020|03|02|15|30|7500|85.300003|81.879997|84.650002|81.879997|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|20|NASDAQ|2020|02|28|15|30|6400|80.550003|77.389999|80.550003|78.75|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|21|NASDAQ|2020|02|27|15|30|9500|82.230003|79.050003|80.260002|81.580002|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|22|NASDAQ|2020|02|26|15|30|8500|83.139999|80.269997|83.139999|81.080002|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|23|NASDAQ|2020|02|25|15|30|4600|84.040001|80|80|84.040001|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|24|NASDAQ|2020|02|24|15|30|1600|84.529999|84.040001|84.040001|84.529999|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|25|NASDAQ|2020|02|21|15|30|800|86.709999|85.699997|85.699997|86.709999|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|26|NASDAQ|2020|02|20|15|30|800|86.43|86|86.43|86|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|27|NASDAQ|2020|02|19|15|30|3300|86.959999|84.82|86.900002|85.989998|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|28|NASDAQ|2020|02|18|15|30|2800|86.360001|84.199997|85.940002|85.129997|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|29|NASDAQ|2020|02|14|15|30|1200|86.389999|85.010002|85.32|86.169998|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|30|NASDAQ|2020|02|13|15|30|1100|87.209999|85.529999|87.209999|85.529999|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|31|NASDAQ|2020|02|12|15|30|1100|85.529999|85.529999|85.529999|85.529999|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|32|NASDAQ|2020|02|11|15|30|600|85.940002|85.940002|85.940002|85.940002|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|33|NASDAQ|2020|02|10|15|30|3900|87.379997|84.93|86.080002|87.379997|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|34|NASDAQ|2020|02|07|15|30|4700|88.800003|85.699997|85.699997|87.650002|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|35|NASDAQ|2020|02|06|15|30|2300|89.5|88.209999|88.209999|89.5|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|36|NASDAQ|2020|02|05|15|30|2800|90.019997|89|89.489998|89.190002|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|37|NASDAQ|2020|02|04|15|30|1100|90.529999|90.529999|90.529999|90.529999|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|38|NASDAQ|2020|02|03|15|30|2300|90.839996|90.419998|90.419998|90.690002|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|39|NASDAQ|2020|01|31|15|30|2900|90.699997|89.75|89.75|90.300003|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|40|NASDAQ|2020|01|30|15|30|4900|93.800003|90.550003|91.400002|93.800003|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|41|NASDAQ|2020|01|29|15|30|500|94.449997|94.449997|94.449997|94.449997|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|42|NASDAQ|2020|01|28|15|30|1500|95.120003|94.870003|94.870003|95.120003|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|43|NASDAQ|2020|01|27|15|30|3600|94.599998|92.970001|94.139999|93.760002|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|44|NASDAQ|2020|01|24|15|30|1600|94.639999|93.650002|94.25|94.519997|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|45|NASDAQ|2020|01|23|15|30|3000|94.75|94.379997|94.629997|94.43|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|46|NASDAQ|2020|01|22|15|30|1200|94.610001|93.580002|93.610001|94.610001|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|47|NASDAQ|2020|01|21|15|30|3000|94.559998|93.669998|94.099998|94.169998|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|48|NASDAQ|2020|01|17|15|30|1900|94.760002|93.959999|94.449997|93.959999|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
USLM|49|NASDAQ|2020|01|16|15|30|3000|94.470001|93.900002|93.900002|94.470001|generalbuildingmaterials|1|8.4|9.8|15.93|0.87|282|usa|0|0|-|Apr 30 AMC|industrialgoods|26.799999|454.179993
