empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
Z|0|NASDAQ|2020|03|27|14|30|4477900|39.450001|36.740002|37.939999|38.240002|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|1|NASDAQ|2020|03|26|14|30|5790800|42.240002|39.110001|40.779999|39.900002|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|2|NASDAQ|2020|03|25|14|30|6619100|43.742001|36.560001|39.889999|36.950001|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|3|NASDAQ|2020|03|24|14|30|8545800|39.299999|34.200001|36.82|35.09|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|4|NASDAQ|2020|03|23|14|30|7807800|31.58|26.219999|31.219999|27.190001|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|5|NASDAQ|2020|03|20|14|30|8170800|31.870001|26.58|27.190001|26.719999|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|6|NASDAQ|2020|03|19|14|30|5218100|27.129999|23.01|26.32|25.15|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|7|NASDAQ|2020|03|18|14|30|9309000|26.66|20.040001|25.01|26.51|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|8|NASDAQ|2020|03|17|14|30|5475700|30.860001|25.459999|28.120001|29.200001|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|9|NASDAQ|2020|03|16|14|30|7248900|32|27.17|28.67|31.07|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|10|NASDAQ|2020|03|13|14|30|4584000|40|33.369999|36.34|38.52|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|11|NASDAQ|2020|03|12|14|30|7649200|38.360001|33.615002|35.529999|38|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|12|NASDAQ|2020|03|11|14|30|5096900|44.455002|40.25|41.490002|43.779999|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|13|NASDAQ|2020|03|10|14|30|4613200|46.91|41.209999|45.389999|46.18|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|14|NASDAQ|2020|03|09|14|30|4511300|46.349998|44.209999|44.970001|45.650002|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|15|NASDAQ|2020|03|06|15|30|3080600|51.115002|47.759998|49.349998|49.939999|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|16|NASDAQ|2020|03|05|15|30|2322700|53.560001|51.029999|51.549999|52.880001|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|17|NASDAQ|2020|03|04|15|30|1917900|54.73|53.139999|54.25|54.07|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|18|NASDAQ|2020|03|03|15|30|3029000|55.720001|51.799999|53.209999|54.630001|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|19|NASDAQ|2020|03|02|15|30|3987100|56.290001|51.970001|54.400002|55.84|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|20|NASDAQ|2020|02|28|15|30|5708900|56.529999|51.57|55.810001|53|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|21|NASDAQ|2020|02|27|15|30|3915400|57.220001|54.060001|54.619999|55|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|22|NASDAQ|2020|02|26|15|30|4724000|59.429001|56.27|57.080002|57.900002|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|23|NASDAQ|2020|02|25|15|30|3249700|60.5|57.459999|57.779999|59.880001|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|24|NASDAQ|2020|02|24|15|30|8578600|61.450001|58.509998|59.689999|61.09|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|25|NASDAQ|2020|02|21|15|30|6756600|66.129997|63.16|65|63.16|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|26|NASDAQ|2020|02|20|15|30|19299000|66.68|61.93|63.630001|62.470001|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|27|NASDAQ|2020|02|19|15|30|6918000|55.290001|52.73|54.470001|52.73|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|28|NASDAQ|2020|02|18|15|30|4773000|53.240002|51.5|52.279999|51.77|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|29|NASDAQ|2020|02|14|15|30|1319500|51.860001|50.73|51.849998|51|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|30|NASDAQ|2020|02|13|15|30|3722400|52.709999|50.404999|51.709999|50.43|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|31|NASDAQ|2020|02|12|15|30|1706100|51.75|50.419998|50.669998|51.439999|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|32|NASDAQ|2020|02|11|15|30|2611700|51.75|50.470001|50.830002|50.669998|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|33|NASDAQ|2020|02|10|15|30|2055800|50.919998|49.91|50.450001|50|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|34|NASDAQ|2020|02|07|15|30|2773100|51.560001|49.790001|50.169998|50.310001|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|35|NASDAQ|2020|02|06|15|30|3462100|50.279999|49.110001|50.150002|49.220001|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|36|NASDAQ|2020|02|05|15|30|2166500|49.709999|48.669998|49.110001|49.439999|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|37|NASDAQ|2020|02|04|15|30|1612000|49.139999|47.165001|48.98|47.369999|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|38|NASDAQ|2020|02|03|15|30|1051400|46.931|45.98|46.580002|46.560001|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|39|NASDAQ|2020|01|31|15|30|1860700|47.400002|45.48|46.209999|47.400002|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|40|NASDAQ|2020|01|30|15|30|1268900|48.060001|46.82|47.34|47.290001|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|41|NASDAQ|2020|01|29|15|30|2007200|48.029999|46.919998|47.73|47.59|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|42|NASDAQ|2020|01|28|15|30|2070800|47.639999|46.98|47.16|47.5|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|43|NASDAQ|2020|01|27|15|30|2009600|47.869999|46.700001|47.18|47.380001|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|44|NASDAQ|2020|01|24|15|30|3082700|49.02|47.837002|48.439999|48.5|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|45|NASDAQ|2020|01|23|15|30|1493400|48.459999|47.640999|48.23|47.84|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|46|NASDAQ|2020|01|22|15|30|1498900|48.84|47.93|48.09|48.200001|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|47|NASDAQ|2020|01|21|15|30|1671800|48.490002|47.580002|48.150002|47.779999|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|48|NASDAQ|2020|01|17|15|30|3008400|48.009998|47.02|47.959999|47.259998|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|49|NASDAQ|2020|01|16|15|30|4476900|48.105|47|47.18|47.639999|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|50|NASDAQ|2020|01|15|15|30|2434900|47.919998|46.580002|46.68|47.080002|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|51|NASDAQ|2020|01|14|15|30|2838000|47.360001|46.110001|47.07|46.259998|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|52|NASDAQ|2020|01|13|15|30|1800800|46.865002|45.599998|46.580002|45.68|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|53|NASDAQ|2020|01|10|15|30|1409200|46.07|45.279999|45.59|45.98|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
Z|54|NASDAQ|2020|01|09|15|30|1792000|46.369999|45.360001|45.779999|46.189999|internetinformationproviders|1.49|-|-|-|-|5249|usa|-|-|24.6|Feb 19 AMC|technology|1.08|5139.999512
