empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ZIXI|0|NASDAQ|2020|03|27|14|30|1146800|4.71|4.1|4.6|4.49|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|1|NASDAQ|2020|03|26|14|30|1668500|4.53|3.88|4.51|4.06|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|2|NASDAQ|2020|03|25|14|30|1533000|4.26|3.74|4|3.75|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|3|NASDAQ|2020|03|24|14|30|948800|3.69|3.43|3.69|3.5|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|4|NASDAQ|2020|03|23|14|30|1243900|3.57|3.15|3.23|3.57|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|5|NASDAQ|2020|03|20|14|30|1219100|3.73|3.31|3.55|3.38|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|6|NASDAQ|2020|03|19|14|30|1140000|3.44|2.84|3.32|3.03|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|7|NASDAQ|2020|03|18|14|30|896400|3.84|3.02|3.03|3.8|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|8|NASDAQ|2020|03|17|14|30|1017900|4.23|3.86|3.92|4.23|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|9|NASDAQ|2020|03|16|14|30|995800|4.52|3.99|4.24|4.5|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|10|NASDAQ|2020|03|13|14|30|903100|5.39|4.58|4.73|5.21|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|11|NASDAQ|2020|03|12|14|30|770000|5.56|4.88|4.88|5.48|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|12|NASDAQ|2020|03|11|14|30|994700|6.85|5.9|5.99|6.73|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|13|NASDAQ|2020|03|10|14|30|527200|7.03|6.74|6.91|6.97|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|14|NASDAQ|2020|03|09|14|30|706600|7.07|6.48|6.73|6.79|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|15|NASDAQ|2020|03|06|15|30|716900|7.82|7.32|7.49|7.81|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|16|NASDAQ|2020|03|05|15|30|674600|8.32|7.94|8.03|8.05|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|17|NASDAQ|2020|03|04|15|30|424700|8.29|7.94|8.27|8.01|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|18|NASDAQ|2020|03|03|15|30|484600|8.42|7.83|7.89|8.18|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|19|NASDAQ|2020|03|02|15|30|569700|8.26|7.73|8.15|7.89|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|20|NASDAQ|2020|02|28|15|30|879700|7.99|7.38|7.88|7.46|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|21|NASDAQ|2020|02|27|15|30|1164900|8.51|8|8|8.43|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|22|NASDAQ|2020|02|26|15|30|1253300|9.2|8.63|8.73|8.79|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|23|NASDAQ|2020|02|25|15|30|917400|9.13|8.66|8.76|9.05|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|24|NASDAQ|2020|02|24|15|30|1315600|9.24|8.5|9.05|8.52|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|25|NASDAQ|2020|02|21|15|30|2399000|9.29|8.39|8.92|8.74|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|26|NASDAQ|2020|02|20|15|30|627500|8.08|7.66|7.99|7.74|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|27|NASDAQ|2020|02|19|15|30|537100|7.77|7.34|7.74|7.36|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|28|NASDAQ|2020|02|18|15|30|329300|7.37|7.13|7.34|7.2|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|29|NASDAQ|2020|02|14|15|30|282100|7.26|7.11|7.2|7.13|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
ZIXI|30|NASDAQ|2020|02|13|15|30|314500|7.31|7.15|7.16|7.23|applicationsoftware|4.3|0.4|0.4|-|-|566|usa|4.41|4.33|25.09|Feb 20 AMC|technology|74|235.070007
