empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
AIRG|0|NASDAQ|2020|03|31|22|00|73667|7.55|6.65|7.39|7.32|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|1|NASDAQ|2020|03|30|15|30|26900|7.44|6.75|6.93|6.91|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|2|NASDAQ|2020|03|27|14|30|32300|7.29|6.84|6.86|7.16|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|3|NASDAQ|2020|03|26|14|30|56600|7.52|7.02|7.38|7.03|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|4|NASDAQ|2020|03|25|14|30|87500|7.54|6.93|6.985|6.99|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|5|NASDAQ|2020|03|24|14|30|104600|7.18|6.2|7.17|6.2|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|6|NASDAQ|2020|03|23|14|30|126000|6|5.63|5.96|6|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|7|NASDAQ|2020|03|20|14|30|102500|7.12|6.15|6.15|6.99|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|8|NASDAQ|2020|03|19|14|30|53000|7.02|6.35|6.98|6.36|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|9|NASDAQ|2020|03|18|14|30|73900|8.15|6.25|6.61|7.3|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|10|NASDAQ|2020|03|17|14|30|111100|8.35|6.66|8.11|6.77|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|11|NASDAQ|2020|03|16|14|30|140400|7.85|6.59|6.66|7.1|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|12|NASDAQ|2020|03|13|14|30|69000|6.91|6.285|6.89|6.84|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|13|NASDAQ|2020|03|12|14|30|63000|6.95|6.52|6.53|6.95|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|14|NASDAQ|2020|03|11|14|30|56100|7.34|7|7.22|7.29|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|15|NASDAQ|2020|03|10|14|30|79400|7.31|6.879|7.26|7.14|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|16|NASDAQ|2020|03|09|14|30|49800|7.46|7.05|7.14|7.19|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|17|NASDAQ|2020|03|06|15|30|36600|8.1|7.61|7.83|7.61|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|18|NASDAQ|2020|03|05|15|30|36600|8.41|7.77|7.93|8.13|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|19|NASDAQ|2020|03|04|15|30|30300|8.42|7.96|8.36|8.15|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|20|NASDAQ|2020|03|03|15|30|36900|8.28|7.9|8.02|8.01|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|21|NASDAQ|2020|03|02|15|30|129600|8.168|7.7|7.98|7.85|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|22|NASDAQ|2020|02|28|15|30|80500|8.11|7.775|7.89|7.98|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|23|NASDAQ|2020|02|27|15|30|86400|8.5|8.13|8.22|8.46|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|24|NASDAQ|2020|02|26|15|30|44100|8.72|8.51|8.61|8.58|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|25|NASDAQ|2020|02|25|15|30|83900|9.06|8.51|8.56|9.06|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|26|NASDAQ|2020|02|24|15|30|57000|9.56|8.96|9.09|9.33|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|27|NASDAQ|2020|02|21|15|30|163100|10.3|9.38|9.62|10.3|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
AIRG|28|NASDAQ|2020|02|20|15|30|50100|9.34|9|9.11|9.06|communicationequipment|6|6.5|6.7|81.209999|-|126|usa|0|0|1400|Feb 20 AMC|technology|56.599998|77
