empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ALGT|0|NASDAQ|2020|03|31|22|00|189103|87.190002|80.150002|81.800003|85.529999|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|1|NASDAQ|2020|03|30|15|30|184400|92.459999|80.300003|84.989998|86.769997|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|2|NASDAQ|2020|03|27|14|30|283800|94.519997|83.400002|90.910004|92.589996|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|3|NASDAQ|2020|03|26|14|30|254100|103.550003|93.230003|97.209999|96|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|4|NASDAQ|2020|03|25|14|30|474200|105.580002|85|92.540001|105.580002|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|5|NASDAQ|2020|03|24|14|30|358000|96.989998|77.599998|92.68|78.449997|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|6|NASDAQ|2020|03|23|14|30|303100|76.779999|68.209999|71.709999|69.720001|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|7|NASDAQ|2020|03|20|14|30|335900|76.349998|67.550003|68.82|73.970001|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|8|NASDAQ|2020|03|19|14|30|341000|81.489998|60.060001|72.5|73.129997|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|9|NASDAQ|2020|03|18|14|30|554600|99.599998|67.470001|74.199997|93.830002|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|10|NASDAQ|2020|03|17|14|30|390500|104.970001|83.989998|103.529999|89.959999|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|11|NASDAQ|2020|03|16|14|30|451300|99.870003|85.730003|88.019997|99.110001|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|12|NASDAQ|2020|03|13|14|30|372700|113.43|102.07|113.309998|108.800003|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|13|NASDAQ|2020|03|12|14|30|747100|112|98.730003|102.550003|112|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|14|NASDAQ|2020|03|11|14|30|368600|123.25|118|119.970001|122.879997|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|15|NASDAQ|2020|03|10|14|30|498900|127.230003|116.120003|127|122.540001|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|16|NASDAQ|2020|03|09|14|30|376500|120.220001|115|118.400002|115.849998|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|17|NASDAQ|2020|03|06|15|30|282900|127.709999|117.510002|121.760002|119.949997|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|18|NASDAQ|2020|03|05|15|30|326500|132.270004|122.730003|123.5|131.779999|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|19|NASDAQ|2020|03|04|15|30|410900|136.279999|130.699997|136.279999|133.580002|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|20|NASDAQ|2020|03|03|15|30|363400|141.949997|130.179993|131.929993|139.160004|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|21|NASDAQ|2020|03|02|15|30|524500|139.259995|127.029999|137.429993|138.919998|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|22|NASDAQ|2020|02|28|15|30|559300|136.199997|126.230003|135.539993|126.230003|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|23|NASDAQ|2020|02|27|15|30|395500|143.320007|130.960007|130.960007|138.529999|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|24|NASDAQ|2020|02|26|15|30|153800|151.690002|144.410004|144.729996|149.199997|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|25|NASDAQ|2020|02|25|15|30|256100|156.770004|147.740005|148.070007|155|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|26|NASDAQ|2020|02|24|15|30|183000|159.679993|151.240005|154.720001|157.520004|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|27|NASDAQ|2020|02|21|15|30|305900|163.649994|158.25|162.860001|163.169998|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|28|NASDAQ|2020|02|20|15|30|191300|165.610001|163.130005|163.630005|164.75|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|29|NASDAQ|2020|02|19|15|30|204600|165.899994|161.149994|164.869995|164.110001|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|30|NASDAQ|2020|02|18|15|30|206800|166.240005|162.449997|165.529999|164.809998|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|31|NASDAQ|2020|02|14|15|30|74300|167.960007|164.869995|165.449997|166.580002|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|32|NASDAQ|2020|02|13|15|30|87300|168|164.419998|167.100006|165.279999|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|33|NASDAQ|2020|02|12|15|30|116100|166.929993|163.320007|166.380005|164.529999|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|34|NASDAQ|2020|02|11|15|30|102900|164.229996|160.539993|164.020004|160.539993|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|35|NASDAQ|2020|02|10|15|30|193000|162.779999|158.979996|159.899994|162.759995|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|36|NASDAQ|2020|02|07|15|30|230100|167.050003|162.360001|162.580002|167.050003|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|37|NASDAQ|2020|02|06|15|30|115800|174.5|167.669998|167.779999|172.759995|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|38|NASDAQ|2020|02|05|15|30|170500|174.240005|170.309998|171.740005|172.75|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|39|NASDAQ|2020|02|04|15|30|141300|171.639999|168.229996|171.009995|168.380005|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|40|NASDAQ|2020|02|03|15|30|202700|169.800003|164.770004|165.740005|167.080002|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|41|NASDAQ|2020|01|31|15|30|224700|169.369995|166.089996|168.039993|168.639999|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|42|NASDAQ|2020|01|30|15|30|244100|172.869995|164.339996|169.729996|167|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|43|NASDAQ|2020|01|29|15|30|321400|170.860001|162.520004|163.160004|170.860001|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|44|NASDAQ|2020|01|28|15|30|164500|171.990005|167.699997|170.759995|167.699997|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|45|NASDAQ|2020|01|27|15|30|260200|170.089996|166.690002|166.690002|170.089996|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
ALGT|46|NASDAQ|2020|01|24|15|30|127700|176.899994|170.089996|173|175.330002|regionalairlines|19.1|0.9|0.9|5.74|3.42|4363|usa|1.61|1.41|24.84|Apr 29 AMC|services|87.099998|1430
